iter	Logloss
0	0.6928820306
1	0.6926947808
2	0.6922449198
3	0.6919701781
4	0.6917306268
5	0.6915033987
6	0.6912485786
7	0.6911419002
8	0.6909086956
9	0.6906648633
10	0.6904016255
11	0.6900645535
12	0.6898454146
13	0.6895693211
14	0.6893289272
15	0.6890448854
16	0.6888827111
17	0.6886450373
18	0.6884460677
19	0.6881798429
20	0.6879327955
21	0.6877288152
22	0.687590887
23	0.6873272567
24	0.687214677
25	0.6870616208
26	0.6868653494
27	0.6865941481
28	0.6863658259
29	0.6861559763
30	0.6857704475
31	0.6854363843
32	0.6852834221
33	0.6850814443
34	0.6847813732
35	0.6845154694
36	0.684236088
37	0.6839948589
38	0.6837870241
39	0.6835901186
40	0.6833285484
41	0.6831103313
42	0.6828634798
43	0.6827374584
44	0.6826132248
45	0.6823734145
46	0.682113535
47	0.6818450684
48	0.6817358226
49	0.681531916
50	0.6814544598
51	0.6812507531
52	0.6810826285
53	0.6808943502
54	0.6806883987
55	0.6805083308
56	0.6802740358
57	0.6800469327
58	0.6798611853
59	0.6795314439
60	0.6793498047
61	0.6791264641
62	0.6789285174
63	0.6787335708
64	0.6785594465
65	0.6783374844
66	0.6781647934
67	0.677874803
68	0.6777236891
69	0.6775241224
70	0.6773564895
71	0.6770443055
72	0.6767985617
73	0.6765553174
74	0.6763369411
75	0.6761537996
76	0.6760030722
77	0.6758345026
78	0.6757692918
79	0.6755833643
80	0.6753634915
81	0.675162417
82	0.6750710227
83	0.6749255849
84	0.6745937048
85	0.6744551396
86	0.6742751981
87	0.6740889117
88	0.6738888779
89	0.6736867456
90	0.6734248516
91	0.6731382277
92	0.6729279142
93	0.6727341548
94	0.6725802868
95	0.6721780653
96	0.6720580517
97	0.6717581427
98	0.6714723914
99	0.6712607683
100	0.6710177475
101	0.6708390951
102	0.67054109
103	0.670385278
104	0.6702052099
105	0.6699775225
106	0.669825575
107	0.6696405129
108	0.6693487489
109	0.6691139663
110	0.6689367859
111	0.6687580242
112	0.6685357721
113	0.6683791372
114	0.6681225319
115	0.6679984277
116	0.6678241001
117	0.6676488735
118	0.6674483792
119	0.6672583907
120	0.6670882362
121	0.6668054789
122	0.6665814122
123	0.6663120309
124	0.6661537304
125	0.665915934
126	0.6658305904
127	0.6656433802
128	0.6654665276
129	0.6653776617
130	0.6652378266
131	0.6650987077
132	0.664926485
133	0.6647174563
134	0.6646456324
135	0.6644692511
136	0.6642935026
137	0.6641473966
138	0.6639833124
139	0.6638030396
140	0.6636192081
141	0.6635110845
142	0.6632951111
143	0.6631438166
144	0.6630429894
145	0.6628454348
146	0.662720576
147	0.662445403
148	0.6621526904
149	0.6619379051
