iter	Passed	Remaining
0	4	608
1	6	515
2	9	488
3	12	474
4	15	462
5	18	455
6	21	447
7	24	441
8	27	434
9	30	430
10	33	425
11	36	423
12	39	419
13	42	414
14	45	413
15	49	412
16	52	408
17	55	405
18	58	403
19	62	403
20	65	400
21	68	396
22	72	398
23	75	393
24	78	390
25	81	387
26	84	383
27	87	380
28	90	377
29	93	374
30	96	370
31	99	367
32	102	364
33	106	362
34	109	359
35	112	355
36	115	352
37	118	348
38	121	345
39	124	341
40	127	338
41	130	334
42	133	332
43	136	328
44	140	327
45	143	324
46	146	321
47	149	318
48	152	313
49	155	310
50	158	307
51	161	304
52	164	300
53	167	297
54	170	295
55	174	292
56	177	289
57	180	286
58	183	283
59	186	280
60	190	278
61	193	275
62	197	272
63	200	268
64	202	265
65	206	262
66	209	259
67	212	255
68	215	252
69	218	249
70	221	246
71	224	243
72	227	239
73	230	236
74	232	232
75	236	229
76	238	226
77	241	223
78	244	219
79	247	216
80	250	213
81	253	210
82	256	207
83	259	204
84	262	201
85	265	197
86	268	194
87	271	191
88	275	188
89	277	185
90	281	182
91	284	179
92	286	175
93	289	172
94	292	169
95	296	166
96	298	163
97	301	160
98	305	157
99	308	154
100	311	150
101	313	147
102	317	144
103	320	141
104	322	138
105	326	135
106	329	132
107	332	129
108	336	126
109	339	123
110	342	120
111	345	117
112	348	114
113	351	111
114	354	107
115	357	104
116	360	101
117	363	98
118	367	95
119	370	92
120	373	89
121	376	86
122	379	83
123	383	80
124	386	77
125	389	74
126	392	71
127	395	67
128	398	64
129	401	61
130	404	58
131	408	55
132	411	52
133	414	49
134	417	46
135	420	43
136	423	40
137	426	37
138	430	34
139	433	30
140	436	27
141	439	24
142	441	21
143	444	18
144	447	15
145	451	12
146	454	9
147	457	6
148	461	3
149	464	0
