pitcher_id,year,avg_fastball_velo,pitches_thrown,games
434378,2024,87.73088607594936,1580,17
434378,2025,88.2391288160834,2686,31
445276,2024,91.50886699507389,812,58
445276,2025,91.83919213973799,916,65
445926,2024,87.81455223880597,1072,49
445926,2025,86.75333333333333,210,7
448179,2024,78.70140845070422,71,4
448179,2025,81.04385964912281,171,2
450203,2024,87.26188798872843,2839,33
450203,2025,88.06291208791208,2548,34
453286,2024,86.66128550074738,669,9
453286,2025,88.61818181818182,1672,21
455119,2024,92.42109955423477,673,48
455119,2025,92.06229260935143,662,52
456501,2024,86.86167664670658,167,2
458677,2024,92.83676470588236,816,64
458677,2025,91.38180737217598,839,64
458681,2024,89.77268016957136,2123,25
471911,2024,87.39220318960426,1693,22
471911,2025,86.5530612244898,833,12
472610,2024,91.46347634763477,909,63
472610,2025,90.34724669603524,908,59
476594,2025,89.964406779661,59,2
476595,2024,,0,4
477132,2024,85.02182539682539,504,7
477132,2025,84.34216867469878,1826,25
489119,2024,86.75338983050847,118,3
489119,2025,88.39170731707317,205,3
489446,2024,90.4333650190114,1052,65
489446,2025,89.85754838709678,775,51
493603,2024,86.26947988223749,1019,61
493603,2025,87.60238095238095,42,5
500743,2024,47.721428571428575,14,1
500743,2025,47.881159420289855,69,4
500779,2024,86.16486235694401,3231,36
500779,2025,86.73396392432907,2272,28
502043,2024,86.638689217759,2838,32
502043,2025,86.59535714285714,280,4
502085,2024,90.17756097560975,1230,71
502085,2025,88.47210031347961,319,21
502171,2024,90.61206896551724,348,5
502179,2024,81.15239726027397,292,5
502624,2024,86.4297619047619,1092,30
503449,2024,86.85531914893616,47,3
506433,2024,87.00647887323943,1419,18
506433,2025,86.69516539440204,1179,16
516853,2024,92.39259259259259,27,2
516853,2025,92.11428571428571,28,3
518397,2024,88.98409893992932,566,45
518397,2025,88.25945205479452,365,24
518489,2024,90.35009380863039,533,38
518489,2025,90.31064356435644,404,29
518585,2024,87.60246045694201,1138,72
518585,2025,85.30617283950617,890,55
518586,2024,,0,1
518617,2024,90.38514548238898,653,46
518617,2025,,0,1
518633,2024,86.8,23,2
518876,2024,89.30646766169154,1206,15
518876,2025,89.31679310344828,2899,34
518886,2024,90.65109034267913,963,59
518886,2025,90.4395652173913,230,14
519008,2024,83.44826762246117,836,79
519008,2025,83.50451388888888,288,30
519043,2024,87.69713958810068,874,55
519043,2025,,0,2
519141,2024,,0,2
519141,2025,90.75108932461873,918,66
519151,2024,89.23843813387424,986,61
519151,2025,89.17397881996975,661,46
519242,2024,87.12213143872113,2815,30
519242,2025,86.74751354012803,2031,23
519293,2024,83.91723625557206,673,48
519326,2024,88.25017064846416,1172,76
519326,2025,88.52521994134896,341,21
521230,2025,90.52050209205022,239,17
523260,2024,93.78354203935599,559,36
527048,2024,86.59552620366426,2347,28
527048,2025,85.29513618677042,1028,13
527054,2024,85.89999999999999,127,3
528748,2024,87.03172043010753,186,8
534910,2025,89.908547008547,117,6
541640,2024,88.57014084507043,355,15
541640,2025,88.50316455696202,158,9
542585,2024,91.18810975609756,328,19
542881,2024,84.41461908030199,2914,32
542881,2025,84.28888413852074,2339,27
542882,2024,87.91477272727273,88,4
542888,2024,91.76017699115044,1130,60
542888,2025,91.03885017421604,1148,73
542932,2025,56.029411764705884,51,4
542947,2024,,0,2
543037,2024,91.45055331991952,1986,22
543056,2024,85.13270440251573,477,35
543056,2025,86.04015645371578,767,58
543063,2024,85.79428571428572,35,1
543101,2025,88.23375394321766,634,13
543135,2024,89.80507246376811,2622,30
543135,2025,87.59536216779573,1919,23
543238,2024,91.82911392405063,79,5
543243,2024,88.06246476037052,2483,28
543243,2025,87.35244876693297,2879,34
543294,2024,83.28548009367681,2135,31
543294,2025,82.50668480373106,2573,33
543305,2024,65.94999999999999,18,1
543339,2024,92.0169946332737,1118,73
543351,2024,87.12468354430379,474,23
543391,2024,86.57564102564102,78,2
543391,2025,88.71666666666665,24,2
543475,2024,85.94305555555555,72,7
543510,2024,45.13,10,1
543518,2024,89.67528455284554,614,29
543518,2025,88.43463855421686,332,15
543592,2025,54.05172413793103,29,1
543606,2024,85.2574074074074,54,1
543766,2024,90.05263157894737,95,9
543766,2025,88.89090909090909,44,2
543859,2024,88.5212141882674,1465,59
543859,2025,89.04911838790932,397,21
544150,2024,89.52711409395974,2234,34
544150,2025,87.87553648068669,233,7
545121,2024,51.28695652173913,23,2
546276,2024,86.43571428571428,28,3
547001,2024,88.44503171247358,473,7
547001,2025,87.37205882352941,68,1
547179,2024,89.21472105016409,2133,28
547179,2025,88.19511400651466,2456,29
547184,2024,87.84798387096774,496,32
547184,2025,88.3838905775076,658,42
547973,2024,94.65287456445994,1148,69
547973,2025,96.1108024691358,972,71
548384,2024,83.47207792207793,154,10
548384,2025,85.1167525773196,388,30
548389,2024,86.96768589298124,1439,24
548389,2025,,0,1
552640,2024,91.31531954887218,1064,78
552640,2025,92.03486454652533,849,59
554340,2024,91.47673716012085,661,42
554340,2025,91.80507614213197,394,24
554430,2024,91.44740433105903,3371,35
554430,2025,91.48854330708662,2540,26
554431,2024,90.21173184357542,179,15
554431,2025,91.14094488188977,127,7
570257,2024,86.93846153846154,273,17
570632,2024,91.56170454545455,1760,35
570632,2025,91.76980146290491,957,21
570666,2024,,0,2
571466,2024,46.0,11,1
571466,2025,43.78181818181818,22,1
571479,2024,90.43157894736842,57,3
571510,2024,85.25465253239105,849,11
571510,2025,85.86673560841089,2901,35
571527,2024,86.84326241134751,141,3
571539,2024,88.45235849056604,212,11
571578,2024,85.69455279085408,2974,33
571578,2025,85.72886398763524,2588,31
571656,2024,87.75367521367522,1170,64
571657,2024,41.517073170731706,41,3
571657,2025,42.542857142857144,7,1
571670,2024,87.49214145383104,1018,70
571710,2024,85.39767441860465,43,2
571760,2024,87.12735261808861,2731,32
571760,2025,85.34841498559078,2082,28
571771,2024,51.81111111111111,45,4
571771,2025,54.128,125,5
571863,2024,89.88813559322033,59,7
571882,2024,90.37843567251461,1368,77
571882,2025,,0,1
571912,2024,63.826153846153844,65,3
571912,2025,66.98461538461538,13,1
571927,2024,89.43358116480792,807,15
571927,2025,89.18096723868955,1282,56
571945,2024,88.12548736462094,2770,34
571945,2025,87.48878941222266,2569,32
571946,2024,91.15145739910315,892,54
571946,2025,91.69248322147651,746,51
571948,2024,84.59434324065197,1043,64
571948,2025,83.18302828618968,1202,76
572020,2024,88.3923937360179,1788,22
572143,2024,89.51964873765093,911,53
572143,2025,90.78421052631579,19,2
572383,2024,,0,1
572383,2025,,0,2
572888,2024,82.4076923076923,13,4
572955,2024,88.11334768568354,929,61
572955,2025,88.33412371134021,968,66
572971,2024,85.58863636363637,308,4
573009,2024,84.2870349492672,887,78
573009,2025,83.03333333333333,231,13
573124,2024,86.48455210237661,1094,68
573124,2025,85.30357518401682,951,60
573186,2024,86.74691943127962,2743,31
573186,2025,86.36443914081146,838,11
573204,2024,84.81217587373168,887,59
