batter,pitch_group,game_pk,game_date,woba_sum,woba_denom,pa
444482,breaking,744998,2024-07-03,0.0,2.0,2
444482,breaking,745050,2024-08-31,0.0,1.0,1
444482,breaking,745052,2024-08-30,0.9,1.0,1
444482,breaking,745132,2024-08-27,0.0,1.0,1
444482,breaking,745133,2024-08-26,1.25,3.0,3
444482,breaking,745134,2024-08-28,0.9,1.0,1
444482,breaking,745135,2024-08-29,0.7,2.0,2
444482,breaking,745214,2024-09-11,0.0,1.0,1
444482,breaking,745286,2024-09-13,0.0,1.0,1
444482,breaking,745287,2024-09-15,0.0,1.0,1
444482,breaking,745358,2024-09-22,0.0,2.0,2
444482,breaking,745366,2024-09-17,0.0,1.0,1
444482,breaking,745368,2024-09-08,0.7,1.0,1
444482,breaking,745372,2024-09-07,0.7,2.0,2
444482,breaking,745374,2024-08-20,0.9,3.0,3
444482,breaking,745375,2024-08-21,0.0,1.0,1
444482,breaking,745377,2024-08-24,0.0,1.0,1
444482,breaking,745378,2024-08-23,0.9,2.0,2
444482,breaking,745379,2024-08-22,0.0,1.0,1
444482,breaking,745380,2024-08-19,0.0,1.0,1
444482,breaking,745389,2024-07-30,0.0,3.0,3
444482,breaking,745393,2024-07-09,0.9,2.0,2
444482,breaking,745394,2024-07-10,0.0,1.0,1
444482,breaking,745395,2024-07-06,0.9,1.0,1
444482,breaking,745398,2024-07-05,0.9,1.0,1
444482,breaking,745401,2024-06-20,0.0,1.0,1
444482,breaking,745402,2024-06-22,0.0,1.0,1
444482,breaking,745407,2024-06-09,0.9,1.0,1
444482,breaking,745410,2024-06-08,1.95,2.0,2
444482,breaking,745411,2024-05-25,0.0,1.0,1
444482,breaking,745413,2024-05-26,0.0,1.0,1
444482,breaking,745415,2024-05-24,0.0,1.0,1
444482,breaking,745563,2024-06-18,0.7,2.0,2
444482,breaking,745567,2024-06-17,0.9,1.0,1
444482,breaking,745807,2024-06-16,0.9,2.0,2
444482,breaking,746025,2024-08-11,0.0,1.0,1
444482,breaking,746026,2024-08-10,2.15,2.0,2
444482,breaking,746032,2024-08-09,0.0,2.0,2
444482,breaking,746088,2024-09-26,0.7,2.0,2
444482,breaking,746515,2024-08-17,0.0,1.0,1
444482,breaking,746516,2024-08-18,0.0,2.0,2
444482,breaking,746518,2024-08-16,1.25,1.0,1
444482,breaking,746613,2024-07-20,0.7,1.0,1
444482,breaking,747008,2024-07-28,0.0,1.0,1
444482,breaking,747145,2024-09-27,0.9,1.0,1
444482,breaking,747146,2024-09-28,0.0,2.0,2
444482,breaking,747147,2024-09-29,0.0,2.0,2
444482,breaking,775317,2024-10-11,0.0,1.0,1
