batter,p_throws,game_pk,game_date,woba_sum,woba_denom,iso_sum,iso_n,pa,k,bb,hard,bip
444482,L,745048,2024-09-01,0.7,1.0,0.0,1,1,0,1,0,0
444482,L,745132,2024-08-27,0.0,1.0,0.0,1,1,0,0,0,1
444482,L,745133,2024-08-26,0.0,1.0,0.0,1,1,0,0,0,1
444482,L,745287,2024-09-15,0.0,1.0,0.0,1,1,1,0,0,0
444482,L,745373,2024-09-02,0.0,1.0,0.0,1,1,0,0,0,1
444482,L,745378,2024-08-23,0.7,1.0,0.0,1,1,0,1,0,0
444482,L,745379,2024-08-22,0.0,1.0,0.0,1,1,1,0,0,0
444482,L,745396,2024-06-23,0.0,1.0,0.0,1,1,1,0,0,0
444482,L,745398,2024-07-05,0.9,1.0,0.0,1,1,0,0,0,1
444482,L,745401,2024-06-20,0.0,1.0,0.0,1,1,0,0,0,1
444482,L,745407,2024-06-09,1.6,3.0,0.0,3,3,1,0,1,1
444482,L,745410,2024-06-08,1.95,2.0,1.0,2,2,0,0,0,1
444482,L,745469,2024-08-07,0.0,1.0,0.0,1,1,0,0,1,1
444482,L,745807,2024-06-16,0.0,1.0,0.0,1,1,0,0,0,1
444482,L,746025,2024-08-11,0.0,1.0,0.0,1,1,1,0,0,0
444482,L,746515,2024-08-17,0.7,2.0,0.0,2,2,0,1,0,1
444482,L,747006,2024-07-27,0.0,1.0,0.0,1,1,0,0,1,1
444482,L,747146,2024-09-28,1.6,4.0,0.0,4,4,2,1,1,1
444482,L,747147,2024-09-29,0.0,1.0,0.0,1,1,1,0,0,0
444482,L,775320,2024-10-09,1.8,2.0,0.0,2,2,0,0,2,2
444482,L,775321,2024-10-08,0.0,1.0,0.0,1,1,1,0,0,0
444482,R,744824,2024-07-24,0.0,1.0,0.0,1,1,0,0,0,1
444482,R,744996,2024-07-04,0.9,3.0,0.0,3,3,1,0,0,2
444482,R,744998,2024-07-03,2.0,4.0,3.0,4,4,1,0,1,3
444482,R,745048,2024-09-01,0.9,4.0,0.0,4,4,1,0,2,3
444482,R,745050,2024-08-31,0.0,4.0,0.0,4,4,0,0,1,4
444482,R,745052,2024-08-30,2.9,3.0,3.0,3,3,1,0,1,2
444482,R,745132,2024-08-27,0.9,3.0,0.0,3,3,1,0,1,2
444482,R,745133,2024-08-26,1.25,3.0,1.0,3,3,0,0,1,3
444482,R,745134,2024-08-28,0.9,3.0,0.0,3,3,0,0,0,3
444482,R,745135,2024-08-29,0.7,3.0,0.0,3,3,0,1,1,2
444482,R,745214,2024-09-11,0.0,1.0,0.0,1,1,0,0,0,1
444482,R,745286,2024-09-13,0.0,3.0,0.0,3,3,2,0,0,1
444482,R,745287,2024-09-15,1.8,3.0,0.0,3,3,0,0,1,3
444482,R,745358,2024-09-22,0.0,3.0,0.0,3,3,1,0,0,2
444482,R,745360,2024-09-21,3.25,4.0,4.0,4,4,1,0,2,3
444482,R,745366,2024-09-17,0.0,1.0,0.0,1,1,1,0,0,0
444482,R,745368,2024-09-08,0.7,1.0,0.0,1,1,0,1,0,0
444482,R,745370,2024-09-04,0.7,1.0,0.0,1,1,0,1,0,0
444482,R,745372,2024-09-07,1.6,4.0,0.0,4,4,1,1,1,2
444482,R,745373,2024-09-02,0.0,2.0,0.0,2,2,1,0,1,1
444482,R,745374,2024-08-20,0.9,4.0,0.0,4,4,0,0,1,4
444482,R,745375,2024-08-21,0.9,3.0,0.0,3,3,1,0,1,2
444482,R,745376,2024-08-25,0.0,1.0,0.0,2,2,0,0,0,1
444482,R,745377,2024-08-24,0.0,1.0,0.0,1,1,1,0,0,0
444482,R,745378,2024-08-23,1.8,3.0,0.0,3,3,0,0,2,3
444482,R,745379,2024-08-22,2.5,3.0,0.0,3,3,0,1,1,2
444482,R,745380,2024-08-19,0.0,3.0,0.0,3,3,0,0,0,3
444482,R,745381,2024-08-14,2.9,4.0,3.0,4,4,0,0,3,4
444482,R,745382,2024-08-13,2.9,3.0,3.0,3,3,1,0,2,2
444482,R,745383,2024-08-12,0.0,2.0,0.0,2,2,0,0,1,2
444482,R,745384,2024-08-04,2.7,3.0,3.0,3,3,0,1,1,2
444482,R,745385,2024-07-14,0.0,1.0,0.0,1,1,0,0,1,1
444482,R,745388,2024-08-03,0.0,3.0,0.0,3,3,0,0,2,3
444482,R,745389,2024-07-30,0.0,4.0,0.0,4,4,2,0,0,2
444482,R,745390,2024-07-12,0.0,3.0,0.0,3,3,1,0,1,2
444482,R,745391,2024-07-07,0.0,3.0,0.0,3,3,1,0,0,2
444482,R,745392,2024-07-13,3.05,4.0,1.0,4,4,0,0,0,4
444482,R,745393,2024-07-09,0.9,3.0,0.0,3,3,1,0,2,2
444482,R,745394,2024-07-10,0.9,4.0,0.0,4,4,0,0,1,4
444482,R,745395,2024-07-06,0.9,2.0,0.0,2,2,0,0,1,2
444482,R,745396,2024-06-23,0.0,3.0,0.0,3,3,0,0,1,3
444482,R,745397,2024-06-24,0.0,1.0,0.0,1,1,0,0,0,1
444482,R,745398,2024-07-05,1.25,2.0,1.0,2,2,0,0,1,2
444482,R,745401,2024-06-20,0.7,3.0,0.0,3,3,0,1,2,2
444482,R,745402,2024-06-22,0.9,4.0,0.0,4,4,0,0,1,4
444482,R,745403,2024-06-21,0.7,2.0,0.0,2,2,0,1,1,1
444482,R,745404,2024-06-11,0.0,1.0,0.0,1,1,0,0,1,1
444482,R,745406,2024-06-07,0.7,5.0,0.0,5,5,0,1,1,4
444482,R,745407,2024-06-09,0.0,1.0,0.0,1,1,0,0,0,1
444482,R,745408,2024-06-06,0.9,2.0,0.0,2,2,0,0,0,2
444482,R,745410,2024-06-08,2.85,3.0,1.0,3,3,0,1,2,2
444482,R,745411,2024-05-25,0.0,4.0,0.0,4,4,3,0,0,1
444482,R,745413,2024-05-26,0.7,2.0,0.0,2,2,1,1,0,0
444482,R,745415,2024-05-24,0.0,1.0,0.0,1,1,1,0,0,0
444482,R,745416,2024-05-27,0.0,1.0,0.0,1,1,0,0,0,1
444482,R,745466,2024-08-08,2.9,4.0,3.0,4,4,1,0,2,3
444482,R,745467,2024-08-06,0.9,3.0,0.0,3,3,0,0,0,3
444482,R,745469,2024-08-07,1.4,2.0,0.0,2,2,0,2,0,0
444482,R,745563,2024-06-18,0.7,3.0,0.0,3,3,2,1,0,0
444482,R,745567,2024-06-17,0.9,1.0,0.0,1,1,0,0,1,1
444482,R,745805,2024-06-15,0.0,1.0,0.0,1,1,1,0,0,0
444482,R,745807,2024-06-16,1.8,3.0,0.0,3,3,0,0,2,3
444482,R,745810,2024-06-14,0.0,1.0,0.0,1,1,0,0,1,1
444482,R,746025,2024-08-11,1.25,3.0,1.0,3,3,1,0,1,2
444482,R,746026,2024-08-10,3.4,4.0,2.0,4,4,1,0,2,3
444482,R,746032,2024-08-09,0.9,4.0,0.0,4,4,1,0,3,3
444482,R,746088,2024-09-26,0.7,2.0,0.0,2,2,0,1,0,1
444482,R,746095,2024-09-25,0.0,1.0,0.0,1,1,0,0,0,1
444482,R,746221,2024-06-05,0.0,3.0,0.0,3,3,0,0,0,3
444482,R,746222,2024-06-04,0.0,1.0,0.0,1,1,0,0,0,1
444482,R,746224,2024-06-03,0.0,1.0,0.0,1,1,0,0,1,1
444482,R,746303,2024-05-31,0.0,2.0,0.0,2,2,1,0,1,1
