batter,primary_stand,pa
660271,L,1618
665742,L,1494
592450,R,1478
665489,R,1466
624413,R,1463
656941,L,1456
680776,L,1446
677951,R,1424
668227,R,1419
621566,L,1417
518692,L,1404
650402,R,1403
650333,L,1392
642715,R,1390
661388,R,1388
677594,R,1380
683002,L,1379
607043,L,1376
683011,R,1373
592518,R,1363
553993,R,1352
606192,R,1346
514888,R,1345
605141,R,1336
647304,L,1335
646240,L,1333
621493,R,1329
682998,L,1329
668930,L,1327
663538,R,1325
672580,R,1319
521692,R,1319
667670,R,1314
682985,L,1308
680757,L,1301
542303,R,1289
592206,R,1284
543807,R,1275
650490,R,1273
621020,R,1269
673548,R,1268
686469,L,1267
641355,L,1259
543760,R,1253
641857,L,1250
547180,L,1246
682928,L,1244
665862,L,1238
668715,R,1235
607208,R,1219
671218,R,1213
630105,L,1212
694192,R,1209
663697,R,1204
502671,R,1201
665161,R,1201
673237,R,1199
572233,R,1193
683737,L,1192
666969,R,1186
663993,L,1185
656305,R,1184
691026,R,1175
665487,R,1173
694384,L,1172
678882,R,1172
680977,L,1169
686217,L,1163
681082,L,1161
687263,R,1159
641487,L,1157
669701,L,1156
608324,R,1154
665833,L,1144
681624,R,1144
664761,R,1143
676475,L,1141
686668,R,1141
694671,R,1133
671739,L,1120
665926,L,1119
701538,L,1118
676391,R,1117
669257,R,1116
666971,R,1101
683734,R,1097
679529,R,1093
691718,L,1088
678662,R,1088
671732,L,1083
670623,R,1081
596019,L,1073
571448,R,1072
457705,R,1069
690993,L,1065
593428,R,1058
669127,R,1058
671277,L,1056
687401,R,1056
656811,L,1055
657757,L,1054
666158,L,1043
670770,L,1039
660821,L,1036
573262,L,1033
664034,R,1032
672640,R,1029
695578,L,1028
666176,R,1024
608070,L,1016
656775,L,1004
663728,L,1004
592885,L,1000
664023,L,999
592663,R,998
643396,R,998
643217,L,996
666182,R,993
668709,L,988
663457,L,988
664040,L,981
608369,L,978
663656,L,977
681351,R,976
668901,R,976
668804,L,976
624424,L,976
672386,R,975
663647,R,972
682829,L,972
663616,L,968
669394,R,956
621043,R,954
664056,R,953
643446,L,947
502054,R,945
669224,L,942
669016,L,933
680777,R,931
681297,L,930
621439,R,930
575929,R,921
666624,R,918
663586,R,917
672820,R,913
676694,R,898
624585,R,897
657077,L,890
596146,L,889
696285,R,887
656716,L,881
666160,L,879
663624,R,871
677800,L,871
663886,R,866
662139,L,865
676609,R,860
702616,L,858
656555,R,856
673357,R,856
664728,L,852
670541,L,842
691016,L,838
666310,L,835
519317,R,834
643289,R,831
691406,R,830
669707,R,825
666139,L,824
606115,R,823
663757,L,823
605137,L,821
681481,L,820
571970,L,817
671289,R,812
650489,L,812
676059,R,807
669357,L,807
678246,R,807
657656,R,806
696100,R,803
693304,R,797
680718,L,796
687462,L,793
593871,L,793
595777,L,782
571771,R,777
645277,L,775
808982,L,775
596115,R,774
687597,R,773
672695,L,772
608348,R,766
467793,L,760
595879,R,758
624428,L,757
592626,L,755
516782,R,754
606466,L,742
643565,L,736
642133,L,734
457759,R,732
668904,R,731
641598,R,730
621438,R,730
700250,L,730
666023,R,729
669289,R,723
700932,L,720
664983,L,718
668939,L,717
657041,R,714
671056,R,712
527038,R,708
676914,R,707
666134,L,704
663837,R,704
602104,R,700
673962,R,699
657557,R,691
650859,L,690
668942,L,687
664238,R,685
500743,R,685
545361,R,684
669720,R,684
641933,R,683
672275,L,682
578428,R,682
670042,L,679
657136,R,676
641680,L,676
650559,R,673
680474,R,672
663898,R,667
623993,L,667
669065,L,667
682626,R,666
609280,R,665
570482,R,664
643376,R,664
673490,R,661
672515,R,660
686681,L,658
670242,L,654
682177,L,653
680869,R,649
664774,L,643
666181,L,642
672356,R,642
553869,R,635
807799,L,634
660670,R,634
669364,L,632
672761,L,628
805779,R,628
572191,R,627
608385,L,622
687363,L,619
663698,R,617
543309,R,613
677587,L,612
686780,R,608
682622,R,608
669221,R,604
683146,L,603
641584,L,600
664770,L,599
693307,R,593
676572,R,589
592192,R,589
641343,L,588
682663,R,586
680574,R,585
666149,R,584
663743,R,580
681807,R,580
691023,R,578
518595,R,577
665750,L,576
677950,L,574
545341,R,572
678009,L,572
660688,L,566
666018,L,566
663853,R,566
669911,L,554
642708,R,547
642731,R,547
624641,R,544
571657,R,542
624431,R,541
605170,L,541
679032,R,541
702332,R,540
592669,R,538
669004,L,537
681393,R,533
642086,L,532
543877,R,531
608701,R,525
669397,R,521
502110,R,519
666152,L,515
672284,L,515
665019,L,512
666397,L,511
668670,R,506
805367,R,505
677649,R,504
456781,R,503
453568,L,501
656582,R,497
701358,R,495
701762,L,490
686527,L,486
647351,L,485
642350,R,484
686797,L,483
664913,L,478
670032,L,473
700242,L,473
665966,R,472
665804,R,468
666163,L,468
669304,R,467
669477,R,461
807713,R,461
669261,L,456
686611,R,455
669242,L,454
669743,R,453
677942,R,451
628451,R,447
656976,L,446
686948,L,446
645302,R,445
667472,R,442
802415,L,441
649966,R,440
682657,L,440
668885,R,438
686676,R,436
656896,R,430
621028,R,428
571745,R,425
676356,R,423
656180,R,418
572138,L,417
519203,L,414
620443,R,414
670764,L,412
607732,R,411
663368,L,407
680779,R,406
681146,R,400
678554,R,398
689414,L,392
596142,R,388
621035,R,387
676801,R,386
600869,L,385
694497,L,382
691594,R,379
686823,L,379
678877,R,378
642136,L,378
596103,R,374
543510,R,373
518934,R,372
691176,L,370
669234,R,369
665828,L,369
680700,L,367
694388,L,367
622534,R,364
592273,R,361
679845,R,359
607680,R,357
518792,L,357
671213,L,356
681460,L,355
672279,L,353
695734,L,351
650391,R,349
595909,L,347
695336,R,347
595978,R,343
691723,R,340
682641,R,340
677588,L,338
689172,L,336
593160,R,336
641313,R,332
687231,R,332
594807,R,330
592696,L,329
641658,R,327
669134,R,326
665839,L,326
664702,R,322
656537,R,321
666185,L,319
608841,R,316
642201,R,314
455117,R,310
686555,L,310
669003,L,308
624415,L,307
681546,L,306
701350,L,303
624512,L,299
660162,L,298
691019,L,297
681715,R,296
810938,R,295
622761,R,292
663968,L,292
656413,R,288
660644,L,284
695657,L,284
670156,L,283
677008,L,283
595281,L,283
642180,L,283
663527,R,278
655316,R,278
624503,L,276
672724,R,276
444482,L,275
666150,L,275
605361,L,275
691781,R,274
669222,R,267
700337,L,266
692225,R,263
672744,R,262
608336,L,261
687952,R,260
608671,L,257
702284,L,257
656577,R,256
641432,L,254
660766,R,252
660707,R,248
623912,R,246
545121,L,246
805373,R,242
677870,R,242
605113,R,238
543685,R,238
682668,R,236
695238,L,235
805300,L,234
670224,L,233
695506,L,232
676369,R,230
663662,R,228
642215,R,227
694374,R,225
641943,L,224
645444,L,220
656541,L,220
691777,R,220
680728,L,220
805249,R,220
688363,L,217
702358,R,215
641645,L,208
571912,R,208
665953,R,207
690022,R,207
690987,L,207
695391,R,207
807712,R,207
667452,R,202
663330,R,201
605131,R,200
677347,R,199
592178,R,196
658668,R,196
621466,L,194
542932,R,193
671221,L,193
683766,R,191
596117,L,188
669236,R,185
695681,R,184
518735,L,183
665506,R,183
668800,R,181
656248,R,181
666135,L,179
696030,L,177
621512,R,177
665052,L,175
670231,L,175
666464,R,175
621550,R,174
701305,R,174
676116,L,171
808975,L,170
650968,R,168
605204,R,166
682988,R,165
670223,L,163
669326,R,162
663604,R,162
672016,R,159
668832,L,157
572761,L,157
687529,L,156
691720,R,156
687221,L,156
702176,L,153
690291,L,152
683021,R,150
665877,R,149
542194,R,147
692585,L,147
606992,R,146
677595,L,146
682653,R,146
686554,L,145
676070,R,145
692216,L,145
670097,R,144
660844,L,143
666211,L,143
664901,R,142
680118,R,140
686765,L,140
687637,L,138
691785,L,137
623168,L,135
691182,L,134
687515,R,132
668845,R,131
642851,R,130
493329,R,129
694359,L,129
543257,R,126
592200,R,126
687859,L,121
683227,R,121
671286,R,121
680737,R,120
547989,R,120
690924,R,120
645305,R,120
676439,L,120
682729,L,120
682868,R,120
640902,R,118
694212,L,118
656484,L,117
643265,R,116
665561,L,116
687093,R,114
666915,R,114
694377,R,114
681962,R,114
664314,L,111
571466,L,111
669208,R,111
680862,R,111
687551,L,110
676701,R,110
668952,R,110
700246,R,107
678225,L,106
683083,L,106
664059,R,105
694362,R,104
680577,L,102
668731,L,100
640492,R,100
592325,L,99
666126,L,99
641555,L,98
622569,R,98
678894,R,98
675961,R,96
543228,R,96
681987,R,96
677956,R,96
663611,R,95
593934,R,95
681508,L,93
669717,R,91
663609,R,91
663550,L,91
686452,L,90
686894,R,89
665923,R,88
669369,L,86
663897,R,86
672569,L,85
674441,L,85
676044,L,84
669200,R,83
690976,L,81
682617,R,81
543063,L,80
596129,L,79
689200,L,79
642020,R,79
553882,L,79
663584,R,78
694376,R,78
644433,R,76
676632,L,75
676113,L,75
682927,L,75
683770,L,75
691783,R,74
688760,R,74
677592,R,73
670092,L,73
678011,L,73
671284,R,73
661531,R,71
605346,R,71
672012,L,70
683090,R,70
695600,L,69
694208,L,69
665155,L,68
669699,L,67
676679,R,67
678391,L,66
701675,L,65
668723,R,64
621311,L,63
645801,L,63
701398,R,63
681584,R,62
669087,R,62
669450,L,62
660757,R,61
691185,R,61
665120,L,60
669288,L,58
671083,R,58
682073,R,58
686475,R,57
666703,R,57
666165,L,56
671655,L,55
695257,R,55
679822,R,53
678489,R,53
680837,L,53
805904,L,53
541645,R,51
687957,L,50
668853,L,50
650907,R,50
680716,R,50
641856,L,49
673995,R,49
623520,R,48
663967,L,48
642197,R,48
669374,R,48
668974,R,47
676724,L,47
694728,R,47
682848,L,46
543305,L,46
699625,L,46
680911,R,44
677941,R,44
694203,R,43
664874,R,43
685301,R,42
543592,R,41
621545,R,39
669137,R,39
669722,L,39
595751,R,39
687478,R,38
608596,R,38
683748,L,38
693049,L,38
691728,L,37
621563,L,37
691011,L,37
686482,L,37
805811,L,37
672642,L,36
657061,L,35
670276,L,35
657088,L,35
622268,L,34
649557,R,34
665861,R,34
663905,L,32
665782,R,31
676480,R,31
676812,R,30
613564,L,30
664068,R,29
641779,R,28
683357,L,27
664954,L,26
592348,L,26
607054,L,26
680769,L,25
666197,R,25
663536,R,23
682634,R,22
694175,R,21
501303,L,20
641511,R,19
663731,R,19
669352,R,18
682183,L,18
542364,L,17
669398,L,17
804668,R,17
542963,L,16
676466,R,16
670869,L,16
672359,L,16
640459,R,15
656883,R,15
663630,R,15
656185,L,14
671117,L,14
669392,R,14
677060,R,14
671976,L,12
605353,L,12
657193,L,11
605244,R,11
669256,R,11
682119,R,11
677943,R,10
622110,R,10
621458,L,10
679881,L,10
663796,R,10
643393,L,10
689041,L,10
676551,R,9
691373,R,9
695670,R,9
664058,R,9
682515,R,9
687799,L,9
506702,L,8
675659,L,8
667428,R,8
660636,R,8
690984,L,8
666198,R,8
668843,L,8
665856,R,7
691907,L,7
624513,L,7
800050,L,7
682997,L,6
595284,L,6
656448,R,6
693409,L,6
694355,R,5
660758,R,5
668752,L,5
605119,R,5
685744,R,4
672701,L,4
682619,R,3
676946,R,3
667690,R,3
675915,R,3
642727,L,2
669432,L,2
681909,R,2
669194,R,1
687066,R,1
683004,R,1
607067,R,1
641302,R,1
543518,R,1
622491,R,1
676896,R,1
679631,L,1
829272,L,1
