game_pk,game_date,game_type,home_team,away_team,home_sp_name,away_sp_name
747953,2024-03-15,S,KC,CLE,"Singer, Brady","Beede, Tyler"
747955,2024-03-15,S,CWS,CHC,"Flexen, Chris","Wicks, Jordan"
747956,2024-03-15,S,DET,ATL,"Manning, Matt","Smith-Shawver, AJ"
747957,2024-03-15,S,STL,MIA,"Matz, Steven","Weathers, Ryan"
747958,2024-03-15,S,HOU,PHI,"Blanco, Ronel","Sánchez, Cristopher"
747959,2024-03-15,S,BOS,MIN,"Whitlock, Garrett","Balazovic, Jordan"
747960,2024-03-15,S,NYY,PIT,"Schmidt, Clarke","Priester, Quinn"
747961,2024-03-15,S,NYM,WSH,"Houser, Adrian","Williams, Trevor"
747962,2024-03-15,S,TOR,DET,"Tiedemann, Ricky","Montero, Keider"
747963,2024-03-15,S,TB,BAL,"Uwasawa, Naoyuki","Kremer, Dean"
747930,2024-03-16,S,ATH,MIL,"Boyle, Joe","Junis, Jakob"
747932,2024-03-16,S,SEA,CWS,"Castillo, Luis","Woodford, Jake"
747933,2024-03-16,S,MIL,TEX,"Peralta, Freddy","Rodríguez, Yerry"
747934,2024-03-16,S,CWS,SF,"Kuhl, Chad","Howard, Spencer"
747935,2024-03-16,S,CIN,SEA,"Lodolo, Nick","Kirby, George"
747936,2024-03-16,S,COL,ATH,"Freeland, Kyle","Muller, Kyle"
747937,2024-03-16,S,CHC,KC,"Smyly, Drew","Lyles, Jordan"
747938,2024-03-16,S,SF,CLE,"Jefferies, Daulton","McKenzie, Triston"
747939,2024-03-16,S,TEX,AZ,"Bradford, Cody","Nelson, Ryne"
747940,2024-03-16,S,LAA,CHC,"Soriano, José","Brown, Ben"
747941,2024-03-16,S,MIA,PHI,"Rogers, Trevor","Allard, Kolby"
747942,2024-03-16,S,NYY,TOR,"Gil, Luis","Espino, Paolo"
747943,2024-03-16,S,MIN,TB,"López, Pablo","Pepiot, Ryan"
747944,2024-03-16,S,WSH,STL,"Law, Derek","Mikolas, Miles"
747945,2024-03-16,S,HOU,NYM,"France, J.P.","Tonkin, Michael"
747946,2024-03-16,S,ATL,PIT,"Morton, Charlie","Jones, Jared"
747947,2024-03-16,S,PIT,DET,"Keller, Mitch","Skubal, Tarik"
747948,2024-03-16,S,BAL,BOS,"Burnes, Corbin","Criswell, Cooper"
747914,2024-03-17,S,KC,MIL,"Ragans, Cole","Clarke, Taylor"
747915,2024-03-17,S,ATH,CWS,"Wood, Alex","Nastrini, Nick"
747916,2024-03-17,S,CHC,TEX,"Assad, Javier","Ureña, José"
747917,2024-03-17,S,SF,COL,"Webb, Logan","Quantrill, Cal"
747918,2024-03-17,S,CLE,CIN,"Bieber, Shane","Williamson, Brandon"
747919,2024-03-17,S,SEA,AZ,"Gilbert, Logan","Walston, Blake"
747920,2024-03-17,S,AZ,LAA,"Gallen, Zac","Sandoval, Patrick"
747921,2024-03-17,S,BOS,NYY,"Houck, Tanner","Warren, Will"
