game_pk,team,batter,game_date,batting_order
744795,KC,502054,2024-09-25,1
744795,KC,677951,2024-09-25,2
744795,KC,686681,2024-09-25,3
744795,KC,521692,2024-09-25,4
744795,KC,493329,2024-09-25,5
744795,KC,543257,2024-09-25,6
744795,KC,669004,2024-09-25,7
744795,KC,672580,2024-09-25,8
744795,KC,664728,2024-09-25,9
744795,WSH,686611,2024-09-25,1
744795,WSH,695578,2024-09-25,2
744795,WSH,671277,2024-09-25,3
744795,WSH,677588,2024-09-25,4
744795,WSH,608336,2024-09-25,5
744795,WSH,545121,2024-09-25,6
744795,WSH,686452,2024-09-25,7
744795,WSH,696285,2024-09-25,8
744795,WSH,683083,2024-09-25,9
744796,KC,502054,2024-09-26,1
744796,KC,677951,2024-09-26,2
744796,KC,521692,2024-09-26,3
744796,KC,493329,2024-09-26,4
744796,KC,666023,2024-09-26,5
744796,KC,592669,2024-09-26,6
744796,KC,672580,2024-09-26,7
744796,KC,657557,2024-09-26,8
744796,KC,641658,2024-09-26,9
744796,WSH,686611,2024-09-26,1
744796,WSH,695578,2024-09-26,2
744796,WSH,660766,2024-09-26,3
744796,WSH,671277,2024-09-26,4
744796,WSH,677588,2024-09-26,5
744796,WSH,660688,2024-09-26,6
744796,WSH,608336,2024-09-26,7
744796,WSH,696285,2024-09-26,8
744796,WSH,683083,2024-09-26,9
744797,PHI,656941,2024-09-27,1
744797,PHI,607208,2024-09-27,2
744797,PHI,547180,2024-09-27,3
744797,PHI,592206,2024-09-27,4
744797,PHI,664761,2024-09-27,5
744797,PHI,681082,2024-09-27,6
744797,PHI,592663,2024-09-27,7
744797,PHI,669016,2024-09-27,8
744797,PHI,669720,2024-09-27,9
744797,WSH,686611,2024-09-27,1
744797,WSH,695578,2024-09-27,2
744797,WSH,660766,2024-09-27,3
744797,WSH,660688,2024-09-27,4
744797,WSH,656448,2024-09-27,5
744797,WSH,671277,2024-09-27,6
744797,WSH,545121,2024-09-27,7
744797,WSH,696285,2024-09-27,8
744797,WSH,683083,2024-09-27,9
744798,PHI,656941,2024-09-29,1
744798,PHI,607208,2024-09-29,2
744798,PHI,592206,2024-09-29,3
744798,PHI,681082,2024-09-29,4
744798,PHI,664761,2024-09-29,5
744798,PHI,669016,2024-09-29,6
744798,PHI,665019,2024-09-29,7
744798,PHI,624641,2024-09-29,8
744798,PHI,596117,2024-09-29,9
744798,WSH,671277,2024-09-29,1
744798,WSH,695578,2024-09-29,2
744798,WSH,660766,2024-09-29,3
744798,WSH,677588,2024-09-29,4
744798,WSH,686611,2024-09-29,5
744798,WSH,608336,2024-09-29,6
744798,WSH,686452,2024-09-29,7
744798,WSH,696285,2024-09-29,8
744798,WSH,683083,2024-09-29,9
744799,PHI,656941,2024-09-28,1
744799,PHI,607208,2024-09-28,2
744799,PHI,547180,2024-09-28,3
744799,PHI,592206,2024-09-28,4
744799,PHI,664761,2024-09-28,5
744799,PHI,592663,2024-09-28,6
744799,PHI,681082,2024-09-28,7
744799,PHI,642215,2024-09-28,8
744799,PHI,669016,2024-09-28,9
744799,WSH,671277,2024-09-28,1
744799,WSH,695578,2024-09-28,2
744799,WSH,660688,2024-09-28,3
744799,WSH,677588,2024-09-28,4
744799,WSH,660766,2024-09-28,5
744799,WSH,686611,2024-09-28,6
744799,WSH,608336,2024-09-28,7
744799,WSH,696285,2024-09-28,8
744799,WSH,683083,2024-09-28,9
744800,MIA,669364,2024-09-13,1
744800,MIA,681393,2024-09-13,2
744800,MIA,669394,2024-09-13,3
744800,MIA,681146,2024-09-13,4
744800,MIA,672640,2024-09-13,5
744800,MIA,665052,2024-09-13,6
744800,MIA,665506,2024-09-13,7
744800,MIA,663743,2024-09-13,8
744800,MIA,691594,2024-09-13,9
744800,WSH,686611,2024-09-13,1
744800,WSH,695578,2024-09-13,2
744800,WSH,665953,2024-09-13,3
744800,WSH,677588,2024-09-13,4
744800,WSH,671277,2024-09-13,5
744800,WSH,608336,2024-09-13,6
744800,WSH,686452,2024-09-13,7
744800,WSH,696285,2024-09-13,8
744800,WSH,683083,2024-09-13,9
744801,MIA,669364,2024-09-15,1
744801,MIA,681393,2024-09-15,2
744801,MIA,669394,2024-09-15,3
744801,MIA,660821,2024-09-15,4
744801,MIA,681146,2024-09-15,5
744801,MIA,672640,2024-09-15,6
744801,MIA,691594,2024-09-15,7
744801,MIA,665506,2024-09-15,8
744801,MIA,640902,2024-09-15,9
744801,WSH,686611,2024-09-15,1
744801,WSH,695578,2024-09-15,2
744801,WSH,665953,2024-09-15,3
744801,WSH,671277,2024-09-15,4
744801,WSH,677588,2024-09-15,5
744801,WSH,660688,2024-09-15,6
744801,WSH,608336,2024-09-15,7
744801,WSH,696285,2024-09-15,8
744801,WSH,683083,2024-09-15,9
744802,KC,502054,2024-09-24,1
744802,KC,677951,2024-09-24,2
744802,KC,521692,2024-09-24,3
744802,KC,493329,2024-09-24,4
744802,KC,666023,2024-09-24,5
744802,KC,592669,2024-09-24,6
744802,KC,672580,2024-09-24,7
744802,KC,641658,2024-09-24,8
744802,KC,664728,2024-09-24,9
744802,WSH,686611,2024-09-24,1
744802,WSH,695578,2024-09-24,2
744802,WSH,660766,2024-09-24,3
744802,WSH,677588,2024-09-24,4
744802,WSH,660688,2024-09-24,5
744802,WSH,671277,2024-09-24,6
744802,WSH,696285,2024-09-24,7
744802,WSH,702358,2024-09-24,8
744802,WSH,683083,2024-09-24,9
744803,MIA,669364,2024-09-14,1
744803,MIA,681393,2024-09-14,2
744803,MIA,669394,2024-09-14,3
744803,MIA,681146,2024-09-14,4
744803,MIA,660821,2024-09-14,5
744803,MIA,672640,2024-09-14,6
744803,MIA,691594,2024-09-14,7
744803,MIA,669065,2024-09-14,8
744803,MIA,663743,2024-09-14,9
744803,WSH,686611,2024-09-14,1
744803,WSH,695578,2024-09-14,2
744803,WSH,660766,2024-09-14,3
744803,WSH,671277,2024-09-14,4
744803,WSH,677588,2024-09-14,5
744803,WSH,660688,2024-09-14,6
744803,WSH,608336,2024-09-14,7
744803,WSH,696285,2024-09-14,8
744803,WSH,683083,2024-09-14,9
744804,ATL,671739,2024-09-11,1
744804,ATL,624585,2024-09-11,2
744804,ATL,542303,2024-09-11,3
744804,ATL,621566,2024-09-11,4
744804,ATL,606115,2024-09-11,5
744804,ATL,657656,2024-09-11,6
744804,ATL,669221,2024-09-11,7
744804,ATL,624415,2024-09-11,8
744804,ATL,570482,2024-09-11,9
744804,WSH,682928,2024-09-11,1
744804,WSH,686611,2024-09-11,2
744804,WSH,665953,2024-09-11,3
744804,WSH,695578,2024-09-11,4
744804,WSH,660766,2024-09-11,5
744804,WSH,677588,2024-09-11,6
744804,WSH,660688,2024-09-11,7
744804,WSH,545121,2024-09-11,8
744804,WSH,696285,2024-09-11,9
744805,MIA,681393,2024-09-12,1
744805,MIA,681146,2024-09-12,2
744805,MIA,669394,2024-09-12,3
744805,MIA,672640,2024-09-12,4
744805,MIA,665506,2024-09-12,5
744805,MIA,669065,2024-09-12,6
744805,MIA,682073,2024-09-12,7
744805,MIA,663743,2024-09-12,8
744805,MIA,691594,2024-09-12,9
744805,WSH,682928,2024-09-12,1
744805,WSH,686611,2024-09-12,2
744805,WSH,695578,2024-09-12,3
744805,WSH,665953,2024-09-12,4
744805,WSH,677588,2024-09-12,5
744805,WSH,660688,2024-09-12,6
744805,WSH,671277,2024-09-12,7
744805,WSH,608336,2024-09-12,8
744805,WSH,696285,2024-09-12,9
744806,CHC,664023,2024-09-01,1
744806,CHC,621020,2024-09-01,2
744806,CHC,673548,2024-09-01,3
744806,CHC,641355,2024-09-01,4
744806,CHC,670623,2024-09-01,5
744806,CHC,621550,2024-09-01,6
744806,CHC,663538,2024-09-01,7
744806,CHC,691718,2024-09-01,8
744806,CHC,665804,2024-09-01,9
744806,WSH,686611,2024-09-01,1
744806,WSH,677588,2024-09-01,2
744806,WSH,665953,2024-09-01,3
744806,WSH,695578,2024-09-01,4
744806,WSH,660766,2024-09-01,5
744806,WSH,682928,2024-09-01,6
