game_pk,pitcher,game_date,team,bf,k,bb,hbp,hr,hits,fb,bip,outs,runs,close_outs,pitches,is_starter
744795,547179,2024-09-25,KC,8,2,1,0,0,0,1,5,7.0,0,7.0,28,True
744795,606930,2024-09-25,WSH,3,0,0,0,0,1,0,3,3.0,0,0.0,9,False
744795,663432,2024-09-25,WSH,3,2,0,0,0,0,0,1,3.0,0,0.0,23,False
744795,663738,2024-09-25,KC,12,2,2,0,0,2,2,8,8.0,0,8.0,42,False
744795,668674,2024-09-25,KC,3,1,0,0,0,0,0,2,3.0,0,0.0,12,False
744795,669674,2024-09-25,KC,3,0,0,0,0,0,1,3,3.0,0,0.0,17,False
744795,670167,2024-09-25,KC,5,2,2,0,0,0,1,1,3.0,0,0.0,24,False
744795,672582,2024-09-25,KC,3,0,0,0,0,0,0,3,3.0,0,0.0,12,False
744795,674285,2024-09-25,WSH,3,0,0,0,0,3,0,3,0.0,2,0.0,8,False
744795,676395,2024-09-25,WSH,3,1,0,0,0,0,1,2,3.0,0,0.0,9,False
744795,686747,2024-09-25,WSH,3,0,0,0,0,0,2,3,3.0,0,0.0,14,False
744795,687792,2024-09-25,WSH,21,3,3,0,0,3,9,15,15.0,1,15.0,81,True
744796,571578,2024-09-26,WSH,23,3,1,0,1,6,12,19,16.0,4,13.0,73,True
744796,571882,2024-09-26,WSH,6,1,0,0,0,0,1,5,5.0,0,5.0,21,False
744796,606930,2024-09-26,WSH,1,0,0,0,0,0,0,1,1.0,0,0.0,2,False
744796,608379,2024-09-26,KC,22,2,1,0,1,5,7,19,15.0,4,14.0,83,True
744796,640448,2024-09-26,WSH,7,0,3,0,0,2,0,4,2.0,3,2.0,28,False
744796,663460,2024-09-26,KC,4,2,0,0,0,1,0,2,3.0,0,3.0,18,False
744796,668674,2024-09-26,KC,3,1,0,0,0,0,0,2,3.0,0,0.0,11,False
744796,670167,2024-09-26,KC,3,0,0,0,0,1,1,3,3.0,0,3.0,12,False
744796,672582,2024-09-26,KC,3,1,0,0,0,0,1,2,3.0,0,3.0,8,False
744796,678606,2024-09-26,WSH,3,0,0,0,0,0,1,3,3.0,0,3.0,13,False
744797,592866,2024-09-27,WSH,19,5,2,0,0,3,2,11,15.0,0,3.0,77,True
744797,614179,2024-09-27,PHI,5,0,0,0,0,3,0,5,3.0,1,0.0,16,False
744797,621237,2024-09-27,PHI,3,0,0,0,0,1,0,3,3.0,0,0.0,11,False
744797,621381,2024-09-27,PHI,4,1,0,0,0,1,1,3,3.0,0,0.0,15,False
744797,621383,2024-09-27,PHI,7,0,1,0,0,2,0,6,3.0,1,0.0,31,False
744797,624133,2024-09-27,PHI,15,2,2,0,1,7,1,11,6.0,6,2.0,59,True
744797,656457,2024-09-27,PHI,9,1,1,0,0,2,1,7,6.0,1,0.0,36,False
744797,663432,2024-09-27,WSH,4,1,0,0,1,1,2,3,3.0,1,0.0,15,False
744797,674285,2024-09-27,WSH,3,1,0,0,0,0,0,2,3.0,0,0.0,9,False
744797,676395,2024-09-27,WSH,3,1,0,0,0,0,0,2,3.0,0,0.0,9,False
744797,686747,2024-09-27,WSH,4,0,1,0,0,0,1,3,3.0,0,0.0,19,False
