game_pk,pitcher,pitch_group,pitches,game_date
744795,547179,breaking,6,2024-09-25
744795,547179,fastball,19,2024-09-25
744795,547179,offspeed,3,2024-09-25
744795,606930,breaking,2,2024-09-25
744795,606930,fastball,7,2024-09-25
744795,663432,breaking,11,2024-09-25
744795,663432,fastball,12,2024-09-25
744795,663738,breaking,22,2024-09-25
744795,663738,fastball,12,2024-09-25
744795,663738,offspeed,8,2024-09-25
744795,668674,breaking,2,2024-09-25
744795,668674,fastball,7,2024-09-25
744795,668674,offspeed,3,2024-09-25
744795,669674,breaking,6,2024-09-25
744795,669674,fastball,11,2024-09-25
744795,670167,breaking,5,2024-09-25
744795,670167,fastball,18,2024-09-25
744795,670167,offspeed,1,2024-09-25
744795,672582,breaking,4,2024-09-25
744795,672582,fastball,8,2024-09-25
744795,674285,breaking,3,2024-09-25
744795,674285,fastball,5,2024-09-25
744795,676395,breaking,2,2024-09-25
744795,676395,fastball,5,2024-09-25
744795,676395,offspeed,2,2024-09-25
744795,686747,breaking,4,2024-09-25
744795,686747,fastball,7,2024-09-25
744795,686747,offspeed,3,2024-09-25
744795,687792,breaking,18,2024-09-25
744795,687792,fastball,46,2024-09-25
744795,687792,offspeed,17,2024-09-25
744796,571578,breaking,39,2024-09-26
744796,571578,fastball,34,2024-09-26
744796,571882,breaking,3,2024-09-26
744796,571882,fastball,17,2024-09-26
744796,571882,offspeed,1,2024-09-26
744796,606930,fastball,2,2024-09-26
744796,608379,breaking,5,2024-09-26
744796,608379,fastball,48,2024-09-26
744796,608379,offspeed,30,2024-09-26
744796,640448,fastball,18,2024-09-26
744796,640448,offspeed,10,2024-09-26
744796,663460,breaking,5,2024-09-26
744796,663460,fastball,12,2024-09-26
744796,663460,offspeed,1,2024-09-26
744796,668674,breaking,1,2024-09-26
744796,668674,fastball,9,2024-09-26
744796,668674,offspeed,1,2024-09-26
744796,670167,breaking,2,2024-09-26
744796,670167,fastball,10,2024-09-26
744796,672582,breaking,3,2024-09-26
744796,672582,fastball,5,2024-09-26
744796,678606,fastball,6,2024-09-26
744796,678606,offspeed,7,2024-09-26
