team,game_date,appearances,pitches,bf,k,bb,hbp,hr,hits,fb,outs,runs,close_outs
ATH,2024-03-28,3,90,24,4,2,2,0,4,6,17.0,2,0.0
ATH,2024-03-29,2,68,16,3,4,0,0,2,4,12.0,1,3.0
ATH,2024-03-30,5,106,30,5,3,1,1,9,8,16.0,7,3.0
ATH,2024-03-31,3,39,13,2,1,1,0,4,1,6.0,3,5.0
ATH,2024-04-01,2,95,23,7,3,0,0,1,7,19.0,1,0.0
ATH,2024-04-02,6,86,24,8,2,0,0,6,3,18.0,2,18.0
ATH,2024-04-03,2,30,8,2,1,0,0,2,0,6.0,0,6.0
ATH,2024-04-05,4,41,11,3,3,0,0,2,2,7.0,1,7.0
ATH,2024-04-06,2,51,12,5,1,0,0,2,2,9.0,0,0.0
ATH,2024-04-07,3,65,17,1,0,0,1,5,4,12.0,1,0.0
ATH,2024-04-09,3,62,17,3,0,0,1,2,5,15.0,1,15.0
ATH,2024-04-10,2,28,7,0,1,0,0,1,2,6.0,0,0.0
ATH,2024-04-11,3,33,8,3,0,1,0,0,1,8.0,0,8.0
ATH,2024-04-12,5,60,14,6,1,0,1,3,3,11.0,1,11.0
ATH,2024-04-13,3,62,18,6,1,0,0,5,1,12.0,2,12.0
ATH,2024-04-14,4,72,18,4,1,0,0,5,4,14.0,2,9.0
ATH,2024-04-15,2,38,12,3,0,1,0,2,3,10.0,1,3.0
ATH,2024-04-16,3,61,16,5,3,0,0,2,2,12.0,2,12.0
ATH,2024-04-17,4,46,11,5,1,0,0,0,2,10.0,0,1.0
ATH,2024-04-19,1,38,11,0,0,0,1,4,2,6.0,3,0.0
ATH,2024-04-20,4,55,15,4,0,0,0,6,2,9.0,2,5.0
ATH,2024-04-21,3,51,15,4,1,3,0,2,3,9.0,3,5.0
ATH,2024-04-22,2,40,9,4,1,0,0,0,2,9.0,0,9.0
ATH,2024-04-23,2,36,8,0,1,2,0,0,0,6.0,0,6.0
ATH,2024-04-24,3,79,22,2,0,0,2,8,3,15.0,5,2.0
ATH,2024-04-25,4,50,14,6,1,0,0,3,1,10.0,0,10.0
ATH,2024-04-26,3,59,14,4,1,0,0,0,1,13.0,0,13.0
