feature,verdict,permutation_logloss_gain,lofo_logloss_delta,stability,target_correlation,max_redundancy,mean_abs_shap,evidence
home_moneyline_price_american,INVESTIGATE,0.001132970796320067,-1.2642904325732562e-05,1.0,-0.17301729534482022,0.9283343195714222,0.015367700581958715,permutation_logloss_gain=+0.001133; LOFO_logloss_delta=-0.000013; positive_fold_fraction=1.00; target_corr=-0.1730; max_redundancy=0.9283
market_vig,INVESTIGATE,0.00023329545508645372,-9.490705593018234e-05,0.75,0.01595396742882048,0.31613663332002734,0.001838951459673672,permutation_logloss_gain=+0.000233; LOFO_logloss_delta=-0.000095; positive_fold_fraction=0.75; target_corr=+0.0160; max_redundancy=0.3161
away_hits_30g,INVESTIGATE,2.257464278579424e-05,-4.128519155202626e-05,0.75,-0.021795012597572175,0.6799575917769831,0.0003946829208208506,permutation_logloss_gain=+0.000023; LOFO_logloss_delta=-0.000041; positive_fold_fraction=0.75; target_corr=-0.0218; max_redundancy=0.6800
away_hits_5g,INVESTIGATE,1.5493689426474923e-05,-0.0001668153611391332,0.5,-0.02217717012970753,0.7672437326825771,0.0003131647944469334,permutation_logloss_gain=+0.000015; LOFO_logloss_delta=-0.000167; positive_fold_fraction=0.50; target_corr=-0.0222; max_redundancy=0.7672
away_walks_30g,INVESTIGATE,3.132448435157656e-06,-0.0001398131143448833,0.25,-0.06211790484026118,0.7064557530861116,0.0011387082563313368,permutation_logloss_gain=+0.000003; LOFO_logloss_delta=-0.000140; positive_fold_fraction=0.25; target_corr=-0.0621; max_redundancy=0.7065
home_hits_10g,INVESTIGATE,2.598946579168704e-06,0.0003690076896994132,0.25,0.012566650065365061,0.7346496854041746,0.000358473246493047,permutation_logloss_gain=+0.000003; LOFO_logloss_delta=+0.000369; positive_fold_fraction=0.25; target_corr=+0.0126; max_redundancy=0.7346
away_walks_5g,INVESTIGATE,-3.028521384044561e-06,1.780698771827738e-05,0.5,-0.033038421599055824,0.7657478092819432,0.0002875574314156401,permutation_logloss_gain=-0.000003; LOFO_logloss_delta=+0.000018; positive_fold_fraction=0.50; target_corr=-0.0330; max_redundancy=0.7657
under_price_decimal,INVESTIGATE,-3.7809821446521687e-06,0.0001985822028693629,0.5,-0.005988249377417688,0.7500898215072451,0.0002987461638494603,permutation_logloss_gain=-0.000004; LOFO_logloss_delta=+0.000199; positive_fold_fraction=0.50; target_corr=-0.0060; max_redundancy=0.7501
away_runs_allowed_30g,INVESTIGATE,-7.136324793571838e-06,0.0003226840185532043,0.25,0.07113516226855707,0.6908447744727552,0.0012475264879262449,permutation_logloss_gain=-0.000007; LOFO_logloss_delta=+0.000323; positive_fold_fraction=0.25; target_corr=+0.0711; max_redundancy=0.6908
total_market_vig,INVESTIGATE,-1.0426062496117956e-05,0.00012063427131150939,0.5,0.006736697876278503,0.7500898215072451,0.000428743918905253,permutation_logloss_gain=-0.000010; LOFO_logloss_delta=+0.000121; positive_fold_fraction=0.50; target_corr=+0.0067; max_redundancy=0.7501
home_runs_10g,INVESTIGATE,-2.487187040487819e-05,0.0004794568039205027,0.25,0.031156933559244475,0.7346496854041746,0.000395619561787742,permutation_logloss_gain=-0.000025; LOFO_logloss_delta=+0.000479; positive_fold_fraction=0.25; target_corr=+0.0312; max_redundancy=0.7346
home_runs_30g,INVESTIGATE,-3.0479750278311624e-05,0.00036547266471625983,0.5,0.04419527853434306,0.6790906613467476,0.0005428979603851573,permutation_logloss_gain=-0.000030; LOFO_logloss_delta=+0.000365; positive_fold_fraction=0.50; target_corr=+0.0442; max_redundancy=0.6791
home_walks_30g,INVESTIGATE,-3.6673798159729085e-05,0.0005444648978455702,0.5,0.0508932394746907,0.7132089502372707,0.0006372607738757461,permutation_logloss_gain=-0.000037; LOFO_logloss_delta=+0.000544; positive_fold_fraction=0.50; target_corr=+0.0509; max_redundancy=0.7132
away_walks_10g,INVESTIGATE,-3.8215252914031155e-05,0.00010172992450116491,0.25,-0.04196867130023149,0.7657478092819432,0.0005833216478296187,permutation_logloss_gain=-0.000038; LOFO_logloss_delta=+0.000102; positive_fold_fraction=0.25; target_corr=-0.0420; max_redundancy=0.7657
away_strikeouts_10g,INVESTIGATE,-4.7968625995838586e-05,6.809127005028004e-05,0.5,0.02152203006944853,0.7977315052181597,0.0005782906791405569,permutation_logloss_gain=-0.000048; LOFO_logloss_delta=+0.000068; positive_fold_fraction=0.50; target_corr=+0.0215; max_redundancy=0.7977
away_runs_allowed_5g,INVESTIGATE,-4.864682866391005e-05,7.195830143985615e-05,0.5,0.036855184221376895,0.7495899124023662,0.00045458693955078693,permutation_logloss_gain=-0.000049; LOFO_logloss_delta=+0.000072; positive_fold_fraction=0.50; target_corr=+0.0369; max_redundancy=0.7496
away_runs_5g,INVESTIGATE,-5.469590350369128e-05,0.00025470035993963025,0.25,-0.03467331716618697,0.7672437326825771,0.00047743098878995767,permutation_logloss_gain=-0.000055; LOFO_logloss_delta=+0.000255; positive_fold_fraction=0.25; target_corr=-0.0347; max_redundancy=0.7672
home_walks_10g,INVESTIGATE,-5.572420292830153e-05,0.0004854535785031311,0.25,0.030418700483760025,0.7704329727529571,0.0003204075179512602,permutation_logloss_gain=-0.000056; LOFO_logloss_delta=+0.000485; positive_fold_fraction=0.25; target_corr=+0.0304; max_redundancy=0.7704
home_strikeouts_10g,INVESTIGATE,-5.688135026568619e-05,0.00019999202752249423,0.0,-0.006571991346428797,0.800644160999883,0.0004519483712284269,permutation_logloss_gain=-0.000057; LOFO_logloss_delta=+0.000200; positive_fold_fraction=0.00; target_corr=-0.0066; max_redundancy=0.8006
home_win_rate_10g,INVESTIGATE,-7.307047117178592e-05,0.0005756719439914681,0.25,0.051435923908879945,0.7670251659074018,0.0006997540454042542,permutation_logloss_gain=-0.000073; LOFO_logloss_delta=+0.000576; positive_fold_fraction=0.25; target_corr=+0.0514; max_redundancy=0.7670
market_over_probability,INVESTIGATE,-7.475468228354543e-05,0.00014921496470396423,0.25,-0.001981927932147983,0.5650149053657448,0.0003398323056924047,permutation_logloss_gain=-0.000075; LOFO_logloss_delta=+0.000149; positive_fold_fraction=0.25; target_corr=-0.0020; max_redundancy=0.5650
home_runs_allowed_5g,INVESTIGATE,-8.344622277831984e-05,-1.938427769826445e-05,0.5,-0.04295546078576358,0.7528600439031762,0.0006461776874372065,permutation_logloss_gain=-0.000083; LOFO_logloss_delta=-0.000019; positive_fold_fraction=0.50; target_corr=-0.0430; max_redundancy=0.7529
market_x_form_edge,INVESTIGATE,-8.588715020743654e-05,0.000732998869758833,0.5,0.009774301338459532,0.31512881313145186,0.0005934898042564894,permutation_logloss_gain=-0.000086; LOFO_logloss_delta=+0.000733; positive_fold_fraction=0.50; target_corr=+0.0098; max_redundancy=0.3151
over_price_decimal,INVESTIGATE,-0.00010249615025680521,0.00015046895964285212,0.0,0.0018281689870767383,0.6659541442958687,0.0003149805054035744,permutation_logloss_gain=-0.000102; LOFO_logloss_delta=+0.000150; positive_fold_fraction=0.00; target_corr=+0.0018; max_redundancy=0.6660
away_runs_10g,INVESTIGATE,-0.00012296016644196736,0.0002595366926033682,0.0,-0.03212997510834663,0.7421271193689161,0.0004402823005012579,permutation_logloss_gain=-0.000123; LOFO_logloss_delta=+0.000260; positive_fold_fraction=0.00; target_corr=-0.0321; max_redundancy=0.7421
away_strikeouts_30g,INVESTIGATE,-0.0001391353125137403,1.9492572153945176e-05,0.0,0.02162937274099863,0.7802912626286823,0.0007422205007005438,permutation_logloss_gain=-0.000139; LOFO_logloss_delta=+0.000019; positive_fold_fraction=0.00; target_corr=+0.0216; max_redundancy=0.7803
home_runs_allowed_10g,INVESTIGATE,-0.00015074647393181762,0.0004150458733163387,0.0,-0.05161464282744695,0.7528600439031762,0.0009177259754617208,permutation_logloss_gain=-0.000151; LOFO_logloss_delta=+0.000415; positive_fold_fraction=0.00; target_corr=-0.0516; max_redundancy=0.7529
away_moneyline_price_american,KEEP,0.0011651170873942982,0.0005967627145654075,1.0,0.17094075625058247,0.9291411836645621,0.013900377164163664,permutation_logloss_gain=+0.001165; LOFO_logloss_delta=+0.000597; positive_fold_fraction=1.00; target_corr=+0.1709; max_redundancy=0.9291
away_moneyline_implied,KEEP,0.001069620367835052,0.0010222583485538228,1.0,-0.18611874771629505,0.9991173564006092,0.011361635929587385,permutation_logloss_gain=+0.001070; LOFO_logloss_delta=+0.001022; positive_fold_fraction=1.00; target_corr=-0.1861; max_redundancy=0.9991
market_home_probability,KEEP,0.0010617184784912266,0.00035330568727034994,1.0,0.18649637019871312,0.9991173564006092,0.011951381179159008,permutation_logloss_gain=+0.001062; LOFO_logloss_delta=+0.000353; positive_fold_fraction=1.00; target_corr=+0.1865; max_redundancy=0.9991
home_moneyline_implied,KEEP,0.0009377198806456246,0.0006984839356640737,1.0,0.186699970212455,0.998971259470572,0.01304035205004321,permutation_logloss_gain=+0.000938; LOFO_logloss_delta=+0.000698; positive_fold_fraction=1.00; target_corr=+0.1867; max_redundancy=0.9990
home_moneyline_price_decimal,KEEP,0.0007929971594289136,0.0006606478966174612,1.0,-0.18088532702269786,0.966106270171449,0.007673903160536273,permutation_logloss_gain=+0.000793; LOFO_logloss_delta=+0.000661; positive_fold_fraction=1.00; target_corr=-0.1809; max_redundancy=0.9661
away_moneyline_price_decimal,KEEP,0.000656465013506404,0.0007804444778856112,1.0,0.17871732083517203,0.9613571398647167,0.008519431160465043,permutation_logloss_gain=+0.000656; LOFO_logloss_delta=+0.000780; positive_fold_fraction=1.00; target_corr=+0.1787; max_redundancy=0.9614
home_hits_30g,KEEP,9.149800276911368e-05,0.0003537402963074143,0.75,0.018008869288890568,0.6790906613467476,0.0004547991991397764,permutation_logloss_gain=+0.000091; LOFO_logloss_delta=+0.000354; positive_fold_fraction=0.75; target_corr=+0.0180; max_redundancy=0.6791
