feature,verdict,permutation_logloss_gain,lofo_logloss_delta,stability,target_correlation,max_redundancy,mean_abs_shap,evidence
market_x_form_edge,INVESTIGATE,7.667769697610367e-05,-0.00014550868473894862,1.0,0.008778553065694835,0.3151057115877581,0.00040852715358911696,permutation_logloss_gain=+0.000077; LOFO_logloss_delta=-0.000146; positive_fold_fraction=1.00; target_corr=+0.0088; max_redundancy=0.3151
home_walks_30g,INVESTIGATE,7.565639906118027e-05,-0.00014941518171368573,0.75,-0.00905337004468709,0.7121792963823149,0.000485891370552715,permutation_logloss_gain=+0.000076; LOFO_logloss_delta=-0.000149; positive_fold_fraction=0.75; target_corr=-0.0091; max_redundancy=0.7122
away_win_rate_10g,INVESTIGATE,7.078207335461013e-05,-1.2090800598524298e-05,0.75,-0.010879522839063308,0.7667539340738071,0.000634395623387066,permutation_logloss_gain=+0.000071; LOFO_logloss_delta=-0.000012; positive_fold_fraction=0.75; target_corr=-0.0109; max_redundancy=0.7668
home_form_edge,INVESTIGATE,3.955603261712737e-05,-0.00017854264930641794,0.75,-0.008040434122284583,0.8263805338417768,0.0007655892798821396,permutation_logloss_gain=+0.000040; LOFO_logloss_delta=-0.000179; positive_fold_fraction=0.75; target_corr=-0.0080; max_redundancy=0.8264
away_runs_allowed_10g,INVESTIGATE,1.3988210985545663e-05,0.00023952553083689265,0.25,0.0014109658072436774,0.7493520686962117,0.0005297937058809972,permutation_logloss_gain=+0.000014; LOFO_logloss_delta=+0.000240; positive_fold_fraction=0.25; target_corr=+0.0014; max_redundancy=0.7494
home_hits_10g,INVESTIGATE,1.2523813796035578e-05,-6.82892608357688e-05,0.75,-0.007943849095708075,0.7347481057348193,0.0004398277107603192,permutation_logloss_gain=+0.000013; LOFO_logloss_delta=-0.000068; positive_fold_fraction=0.75; target_corr=-0.0079; max_redundancy=0.7347
home_walks_10g,INVESTIGATE,1.0286628085785326e-05,-0.00016063920884104577,0.5,-0.004798820775250834,0.7692900243550058,0.0002447687187870139,permutation_logloss_gain=+0.000010; LOFO_logloss_delta=-0.000161; positive_fold_fraction=0.50; target_corr=-0.0048; max_redundancy=0.7693
home_rest_days,INVESTIGATE,2.0206019132514437e-06,-0.00016239152810554325,0.5,0.006753065861094512,0.930137477193802,0.0008366644541476707,permutation_logloss_gain=+0.000002; LOFO_logloss_delta=-0.000162; positive_fold_fraction=0.50; target_corr=+0.0068; max_redundancy=0.9301
away_strikeouts_10g,INVESTIGATE,1.9130411136047965e-06,0.00011623073206876167,0.25,0.006329044401499699,0.7981743702304072,0.0006432071127179151,permutation_logloss_gain=+0.000002; LOFO_logloss_delta=+0.000116; positive_fold_fraction=0.25; target_corr=+0.0063; max_redundancy=0.7982
away_runs_5g,INVESTIGATE,-3.89328668708629e-06,0.00019264972747601306,0.25,-0.004295828728697002,0.7665723274395011,0.00032708911543608525,permutation_logloss_gain=-0.000004; LOFO_logloss_delta=+0.000193; positive_fold_fraction=0.25; target_corr=-0.0043; max_redundancy=0.7666
home_hits_5g,INVESTIGATE,-5.274428910813828e-06,3.756085449566071e-05,0.75,-0.00449544735814347,0.7491056818569575,0.0006913307656694908,permutation_logloss_gain=-0.000005; LOFO_logloss_delta=+0.000038; positive_fold_fraction=0.75; target_corr=-0.0045; max_redundancy=0.7491
home_strikeouts_10g,INVESTIGATE,-6.1979282410159105e-06,-6.058551688403746e-05,0.75,0.0010720199776468483,0.8004927604737733,0.0005789921050576096,permutation_logloss_gain=-0.000006; LOFO_logloss_delta=-0.000061; positive_fold_fraction=0.75; target_corr=+0.0011; max_redundancy=0.8005
home_runs_10g,INVESTIGATE,-7.050323977436653e-06,0.00015530180294981433,0.5,-0.010537466918072766,0.7347481057348193,0.0005738681485725868,permutation_logloss_gain=-0.000007; LOFO_logloss_delta=+0.000155; positive_fold_fraction=0.50; target_corr=-0.0105; max_redundancy=0.7347
