segment,value,n,event_rate,model_mean_probability,market_mean_probability,model_log_loss,market_log_loss,model_log_loss_advantage,model_brier,market_brier,model_auc,calibration_error_signed,fold_log_loss_advantages,folds_model_better,folds_evaluated
moneyline_role,home_favorite_road_underdog,5848,0.5926812585499316,0.5884031926085879,0.5942272360976807,0.6674575126742177,0.6672899329262888,-0.00016757974792891428,0.23742408044372396,0.23736523995583003,0.5719528992932665,-0.004278065941343689,"[0.000693986280490555, -0.0009678374298716097, 0.000105021798973981, -0.0005577476021821903]",2,4
moneyline_role,road_favorite_home_underdog,3243,0.42584027135368485,0.4270835691848726,0.4241983132665846,0.6760815143876097,0.6750030698035644,-0.0010784445840452683,0.2416007297176469,0.2410957088835947,0.5605100990813643,0.0012432978311877568,"[-0.0009830950131834992, 0.0009514458235462264, -0.00047798356855566215, -0.0034893638713227038]",1,4
total_level,high_total,7730,0.5349288486416559,0.5310093959768397,0.5337467449906281,0.6699536845163845,0.6695385934152949,-0.0004150911010896152,0.2386486943121163,0.2384562072736766,0.6140498105490462,-0.0039194526648161886,"[0.00024844850293548326, 0.0003153385569784062, -0.00037950083425630776, -0.0017578424709532303]",2,4
total_level,low_total,1361,0.5231447465099192,0.5299862265544403,0.5325890285416721,0.6738294665438577,0.6728972491004169,-0.0009322174434407415,0.2404208536932899,0.2400579169328959,0.6095029518187012,0.006841480044521043,"[-0.0004140200255062787, -0.003670265653183735, 0.0011165667269259494, -0.0013709983389614822]",1,4
month,4,1288,0.5201863354037267,0.531252237678073,0.5332189885207175,0.6782874432431367,0.6784864356649057,0.00019899242176901755,0.24266952512549866,0.2427062690355434,0.5909940588320532,0.011065902274346139,"[0.00033981844154185037, -0.0012231793730284046, 0.0006454826882267284, 0.0022562626183376677]",3,4
month,5,1251,0.533972821742606,0.5335397546910119,0.5366391981042355,0.6702810043700966,0.672507411625893,0.00222640725579637,0.23889944732619323,0.2398944268232095,0.6114614681443289,-0.00043306705159409703,"[0.0012138801011972733, 0.0037138520787560747, 0.0017614238880062638]",3,3
month,6,1213,0.5317394888705689,0.5295619887165341,0.5324396762859984,0.6755418043712099,0.6734646457837168,-0.002077158587493133,0.2412436305717092,0.24027380153978978,0.6013129162572333,-0.0021775001540346554,"[-0.0005319817089586287, -0.0018340378875714158, -0.0027221539534433292, -0.00895342647700259]",0,4
month,7,1217,0.5258833196384552,0.5338708285519093,0.5350609314579672,0.6696699389132039,0.669217565111152,-0.0004523738020518753,0.23848291025022775,0.23825778417098226,0.6169546143847487,0.007987508913454013,"[0.0014446322443842918, -0.0035175044682986822, -0.0029524813160132224, 0.0010087232091039455]",2,4
month,8,1993,0.5398896136477672,0.5318338905146858,0.5343902285771618,0.6651428604024545,0.6648823320208939,-0.00026052838156065405,0.23628873241926335,0.23620353074901834,0.6267072196794947,-0.008055723133081406,"[-0.0022764585823213945, 0.001753573054238844, 0.0035138182004358365, -0.002389992010257025]",2,4
month,9,1990,0.5422110552763819,0.5281643452813315,0.5321067619392776,0.6667262412072132,0.6647850383490306,-0.0019412028581826668,0.23711169247585198,0.23630388850660194,0.6228650140543598,-0.014046709995050368,"[0.0006552255185576783, -0.0024941235684472485, -0.0024246676206912676, -0.002773050604961469]",1,4
disagreement_direction,market_higher_by_3pp,493,0.5801217038539553,0.5436627043238123,0.5903430166833147,0.6393459861300624,0.63330839131777,-0.0060375948122924905,0.22367483030347626,0.22111913597349314,0.6657883179622309,-0.03645899953014314,"[0.0030896049262357783, -0.014655521253066128, 0.0013397617975350329, -0.012737195145053115]",2,4
disagreement_direction,model_higher_by_3pp,222,0.4009009009009009,0.4342031370938796,0.38645214152609947,0.6567775199539155,0.6537474355882646,-0.003030084365650887,0.2321744709533214,0.23085257592232952,0.5859592802230295,0.03330223619297872,"[0.005494513457460326, 0.008398101348457865, -0.004740296436367086, -0.01327248056477559]",2,4
disagreement_direction,within_3pp,8376,0.5339063992359121,0.5326641685261562,0.5341313901598737,0.6727342054305101,0.6726353289763182,-9.88764541919318e-05,0.23998958512631036,0.2399384313850886,0.6059727970395026,-0.0012422307097560525,"[-4.7540781408339505e-05, 0.00010386770129799938, -9.255736447155716e-05, -0.00037183140570540285]",1,4
disagreement_size,smallest,2273,0.5296964364276286,0.5249213366539892,0.5248781102458648,0.6701097076784119,0.6701645241520731,5.481647366112341e-05,0.23874377552647294,0.23876714719024733,0.6171150732357685,-0.004775099773639521,"[1.743798521813833e-05, -0.00019940640916304986, 0.00020119982088906418, 0.00020769957587052357]",3,4
disagreement_size,small,2273,0.5354157501099868,0.5284963112244588,0.5285608201042468,0.6786194600241787,0.6784459384963861,-0.00017352152779259722,0.24284884947596777,0.24277318773099035,0.5842546251338364,-0.006919438885527967,"[0.00021552452523709853, 0.00024542174867736577, -0.0004871594280876357, -0.0007323000080806663]",2,4
disagreement_size,large,2272,0.5330105633802817,0.5364285456859523,0.5370826663056065,0.6721245658491306,0.6721786576669501,5.4091817819457155e-05,0.2396921656964699,0.23970552038614737,0.609811412974532,0.003417982305670653,"[-0.0006688369335063893, 0.0009848395348706074, 0.0007532684411828416, -0.0009786135651588257]",2,4
disagreement_size,largest,2273,0.5345358556973163,0.5335811332227751,0.5437736472022123,0.6612826544129474,0.6593774708784153,-0.0019051835345321733,0.2343715582121862,0.23353857614513476,0.6393583669786148,-0.0009547224745411443,"[0.001278001030644682, -0.0024900981267775846, -0.0007458247854571498, -0.00471372727355257]",1,4
