segment,value,n,event_rate,model_mean_probability,market_mean_probability,model_log_loss,market_log_loss,model_log_loss_advantage,model_brier,market_brier,model_auc,calibration_error_signed,fold_log_loss_advantages,folds_model_better,folds_evaluated
moneyline_role,home_favorite_road_underdog,5558,0.49136379992803164,0.4909270505616846,0.4997185674166251,0.6925147228677025,0.6928888608146933,0.0003741379469907047,0.24968324483640503,0.24987090752804647,0.5206902058755758,-0.00043674936634711134,"[-0.00045978108855571076, 0.002188614697894775, -0.0009815059318654118, 0.0008015811022534791]",2,4
moneyline_role,road_favorite_home_underdog,3090,0.49029126213592233,0.5011447585196538,0.4995287445993348,0.6936041438225715,0.6931074334729881,-0.0004967103495834291,0.25022562174212626,0.24997994606093718,0.5066591230551627,0.010853496383731391,"[0.0007241434974263328, -0.0017133055508685713, -0.0007031919327880054, -0.0002344337025235177]",1,4
total_level,high_total,7334,0.4844559585492228,0.494385257267647,0.4995911521458901,0.6928827331637116,0.6930916089226183,0.0002088757589067125,0.2498662492934676,0.2499721733506577,0.51158074580466,0.009929298718424231,"[-0.00023575260786312668, 0.0013917910993200833, -0.0008902848201362001, 0.0005116790903606505]",2,4
total_level,low_total,1314,0.5273972602739726,0.49565325269912436,0.49998333993576,0.693022579214441,0.6922712313554914,-0.0007513478589495914,0.24993727067398636,0.2495621141670127,0.5230613008390785,-0.03174400757484821,"[0.000777683050541822, -0.00224033516080957, -0.0008474204998152324, -0.0006471129376931506]",1,4
month,4,1246,0.5056179775280899,0.4954927181149709,0.49780997417748946,0.69254782603805,0.6923209377213538,-0.00022688831669614995,0.24970041536602772,0.24958731068334725,0.520717377860235,-0.01012525941311905,"[-0.0004429955381727302, -0.0004121829266497956, -0.0005544542111152184, 0.001450682173977591]",1,4
month,5,1182,0.494077834179357,0.4937884414319171,0.499269615734486,0.6928629914491617,0.6929900768368511,0.00012708538768935185,0.2498520437408939,0.24992134631591315,0.5217591744170065,-0.00028939274743994655,"[0.0006451123972468498, 0.0006113843825924503, -0.0008873370339460562]",2,3
month,6,1150,0.5,0.4941220769204255,0.4998859986225492,0.6934002466796874,0.6943310573144111,0.0009308106347237777,0.25012760711863136,0.2505917508708724,0.5012022684310019,-0.0058779230795745225,"[0.0006847987835784108, 0.0014744320579479497, 0.001187902099606175, -0.0018749702463968232]",3,4
month,7,1163,0.47893379191745483,0.49391618204421306,0.49971579712717623,0.6931385691291132,0.6920844209858601,-0.0010541481432531086,0.24999361347049406,0.24946840352773655,0.5086418875280706,0.014982390126758194,"[-0.002865273954889447, -0.0027697670892109505, 0.0004600675977439739, -0.00012083592431921808]",1,4
month,8,1884,0.49044585987261147,0.4945478626888205,0.500380384972999,0.6930697062948086,0.6932427360490212,0.000173029754212628,0.2499604691026672,0.25004759673393506,0.5068226911976912,0.00410200281620908,"[-0.0005198267690439407, 0.003063957329374256, -0.0020981080223210213, 0.00011211503914254628]",2,4
month,9,1891,0.4854574299312533,0.49490508009944584,0.5001463499279948,0.6922423842939074,0.6928775354978859,0.0006351512039785012,0.24954661949066975,0.24986536107886703,0.5277022079815139,0.009447650168192547,"[0.0013128531763485496, 0.0019351499922584114, -0.0020559417854203454, 0.0009914868343474659]",3,4
disagreement_direction,market_higher_by_3pp,736,0.47146739130434784,0.4792997011282587,0.5188228349498429,0.6931663694148685,0.6956250765467088,0.0024587071318402653,0.25000575559141897,0.25123860987820634,0.4787862175236882,0.00783230982391084,"[-0.0033509377555572817, 0.003921430034081963, 0.0031033009436488568, 0.010200804476895198]",3,4
disagreement_direction,model_higher_by_3pp,252,0.45634920634920634,0.5222190858653313,0.48228882804385254,0.7024316777894041,0.6925123691862817,-0.009919308603122401,0.2545982119357274,0.24968463974479585,0.4559187559504919,0.06586987951612494,"[0.0028277099257855154, -0.011861994710310242, -0.02810606366685464, -0.012671113381393817]",1,4
disagreement_direction,within_3pp,7660,0.4939947780678851,0.49513656151163327,0.49837979468974036,0.6925653268169926,0.6927265123324121,0.0001611855154195485,0.24970935515154327,0.24978960721711876,0.5153453545098912,0.0011417834437481588,"[0.00022452715793586098, 0.0011788805356853782, -0.0008488273504413391, 7.295726422307247e-05]",3,4
disagreement_size,smallest,2162,0.49167437557816834,0.4936618461932404,0.4938529007878812,0.6934755064096427,0.6933514939769745,-0.00012401243266824125,0.25016400169145436,0.2501021249909475,0.49378850353138964,0.0019874706150721094,"[8.168650833206836e-05, -5.905023081775873e-05, -0.0006589887712382669, 0.00018981593571787414]",2,4
disagreement_size,small,2162,0.4824236817761332,0.49565368431548423,0.4964494083389707,0.6917738635967403,0.6919147471169039,0.00014088352016361494,0.24931393443037836,0.24938426196645827,0.5292502808201749,0.013230002539351105,"[0.00020739212726750278, 0.00038387233972336787, -0.00022700416740761842, 0.00019251599857983415]",3,4
disagreement_size,large,2162,0.4925994449583719,0.4959073750795884,0.4999835402375176,0.6925924305728705,0.69256387870181,-2.8551871060433776e-05,0.24972286969486293,0.24970824661683486,0.513050958439791,0.003307930121216481,"[0.0009120135110552985, -0.0004245362397483632, 7.121177796975964e-05, -0.0006306553201523846]",2,4
disagreement_size,largest,2162,0.49722479185938945,0.4930887738046438,0.5083171194208049,0.6937741263913463,0.694037714542701,0.00026358815135474334,0.2503073560630034,0.2504448379193662,0.5178126270298025,-0.004136018054745721,"[-0.0012960748316778181, 0.0035705797175591414, -0.0026590357260073416, 0.00198143175841492]",2,4
