test_fold,method,feature,importance
2,logistic_meta,base_probability,0.012937000367863582
2,logistic_meta,market_probability,0.005887415444651669
2,logistic_meta,probability_difference,0.0057232659397326874
2,logistic_meta,closing_total,0.1176791605884596
2,logistic_meta,confidence,0.0064869184512322845
2,logistic_meta,home_runs_accel_10v30,0.0001572090305515221
2,logistic_meta,home_hits_accel_5v10,0.03879747225363199
2,logistic_meta,away_bp_er_14g,0.07665157654832708
2,gradient_boosting_meta,base_probability,0.0
2,gradient_boosting_meta,market_probability,0.0
2,gradient_boosting_meta,probability_difference,0.3768896589598074
2,gradient_boosting_meta,closing_total,0.31490570444908944
2,gradient_boosting_meta,confidence,0.07288639056387515
2,gradient_boosting_meta,home_runs_accel_10v30,0.0
2,gradient_boosting_meta,home_hits_accel_5v10,0.0
2,gradient_boosting_meta,away_bp_er_14g,0.235318246027228
3,logistic_meta,base_probability,0.048508396351067545
3,logistic_meta,market_probability,0.03350179581825712
3,logistic_meta,probability_difference,0.009371694903615396
3,logistic_meta,closing_total,0.09777787639360964
3,logistic_meta,confidence,0.06525912229056395
3,logistic_meta,home_runs_accel_10v30,0.009377401497007916
3,logistic_meta,home_hits_accel_5v10,0.03693765578401655
3,logistic_meta,away_bp_er_14g,0.04457739250385085
3,gradient_boosting_meta,base_probability,0.368967936236564
3,gradient_boosting_meta,market_probability,0.0
3,gradient_boosting_meta,probability_difference,0.03834647337867712
3,gradient_boosting_meta,closing_total,0.33347404497586747
3,gradient_boosting_meta,confidence,0.10541871318148102
3,gradient_boosting_meta,home_runs_accel_10v30,0.0
3,gradient_boosting_meta,home_hits_accel_5v10,0.0
3,gradient_boosting_meta,away_bp_er_14g,0.15379283222741028
4,logistic_meta,base_probability,0.030251571475902538
4,logistic_meta,market_probability,0.03089113025794677
4,logistic_meta,probability_difference,0.0034079130296516408
4,logistic_meta,closing_total,0.06562981908004777
4,logistic_meta,confidence,0.033136863526699825
4,logistic_meta,home_runs_accel_10v30,0.000798749736858199
4,logistic_meta,home_hits_accel_5v10,0.008018952883575037
4,logistic_meta,away_bp_er_14g,0.05050173679609345
4,gradient_boosting_meta,base_probability,0.17748945884627548
4,gradient_boosting_meta,market_probability,0.0
4,gradient_boosting_meta,probability_difference,0.023893754267946703
4,gradient_boosting_meta,closing_total,0.22562026058844545
4,gradient_boosting_meta,confidence,0.20806748650118778
4,gradient_boosting_meta,home_runs_accel_10v30,0.0
4,gradient_boosting_meta,home_hits_accel_5v10,0.02359044801606496
4,gradient_boosting_meta,away_bp_er_14g,0.3413385917800796
