method,bin,low,high,n,mean_probability,event_rate
base,1,0.4063456145826266,0.47819714592732837,649,0.46978178910450286,0.45454545454545453
base,2,0.47819714592732837,0.4839815423635942,648,0.48139885279065453,0.4783950617283951
base,3,0.4839815423635942,0.48771982957679394,649,0.4859121592044709,0.48228043143297383
base,4,0.48771982957679394,0.4913042093947192,648,0.4895044664118752,0.4675925925925926
base,5,0.4913042093947192,0.49433615096036887,649,0.4927574226430206,0.49768875192604006
base,6,0.49433615096036887,0.4973632503910731,648,0.4958562762359831,0.49537037037037035
base,7,0.4973632503910731,0.500730702084633,649,0.4990341028644096,0.47303543913713403
base,8,0.500730702084633,0.5051954288111354,648,0.502863080984906,0.5
base,9,0.5051954288111354,0.5121803747491159,649,0.508454606565388,0.4946070878274268
base,10,0.5121803747491159,0.6393103061655356,649,0.5230052744723087,0.5208012326656395
market,1,0.4361122672409113,0.4782608695652174,338,0.46720088162956636,0.4437869822485207
market,2,0.4782608695652174,0.4804509318389158,797,0.4782608695652175,0.4981179422835634
market,3,0.4804509318389158,0.4891657638136511,359,0.48231697183530875,0.45125348189415043
market,4,0.4891657638136511,0.4935039625828245,1078,0.48922817292400594,0.47680890538033394
market,5,0.4935039625828245,0.5,158,0.4958895507807168,0.4810126582278481
market,6,0.5,0.5043297540699689,1146,0.5001019966640291,0.48342059336823734
market,7,0.5043297540699689,0.5108342361863489,148,0.5066213795376358,0.49324324324324326
market,8,0.5108342361863489,0.5195490681610844,1149,0.5114600518489892,0.48912097476066146
market,9,0.5195490681610844,0.5217391304347826,183,0.5195490681610844,0.5191256830601093
market,10,0.5217391304347826,0.552594002855783,1130,0.524436328556624,0.5061946902654867
market_blend,1,0.4406008482404269,0.4802451814042541,649,0.4736462683469286,0.4576271186440678
market_blend,2,0.4802451814042541,0.48549788275340233,648,0.48304565849431397,0.4861111111111111
market_blend,3,0.48549788275340233,0.4894930462357404,649,0.48751492804380325,0.48073959938366717
market_blend,4,0.4894930462357404,0.4933303225876596,648,0.4913785270492025,0.4783950617283951
market_blend,5,0.4933303225876596,0.4966298951441704,649,0.4949320634860807,0.4699537750385208
market_blend,6,0.4966298951441704,0.5001699896279714,648,0.49839686687794515,0.4845679012345679
market_blend,7,0.5001699896279714,0.5035839803226755,649,0.5017877778625345,0.48228043143297383
market_blend,8,0.5035839803226755,0.5075518046527853,648,0.505462973232308,0.5061728395061729
