fold,train_end_index,validation_start,validation_end,bucket,sample_size,predicted_probability,observed_win_rate,calibration_gap,wilson_95_low,wilson_95_high,statistically_significant
1,41,2026-08-04 00:00:00,2026-08-05 00:00:00,0.50–0.55,5,0.52488,0.4,-0.12487999999999999,0.11762077423264783,0.769275718723987,False
1,41,2026-08-04 00:00:00,2026-08-05 00:00:00,0.55–0.60,7,0.5694142857142858,0.5714285714285714,0.002014285714285635,0.2504583645276572,0.8417801447485302,False
1,41,2026-08-04 00:00:00,2026-08-05 00:00:00,0.60–0.65,3,0.6344666666666666,0.6666666666666666,0.032200000000000006,0.2076596008020477,0.9385080552796037,False
1,41,2026-08-04 00:00:00,2026-08-05 00:00:00,0.65–0.70,1,0.6897,1.0,0.3103,0.20654931437723745,1.0,False
2,57,2026-08-06 00:00:00,2026-08-07 00:00:00,0.50–0.55,8,0.516825,0.75,0.23317500000000002,0.40927543031016883,0.9285207872478909,False
2,57,2026-08-06 00:00:00,2026-08-07 00:00:00,0.55–0.60,4,0.56835,0.75,0.18164999999999998,0.30064184258240184,0.9544127391902995,False
2,57,2026-08-06 00:00:00,2026-08-07 00:00:00,0.60–0.65,2,0.6269,0.5,-0.1269,0.09453120573423074,0.9054687942657693,False
2,57,2026-08-06 00:00:00,2026-08-07 00:00:00,0.65–0.70,2,0.6867,0.0,-0.6867,0.0,0.6576197724933469,True
3,73,2026-08-07 00:00:00,2026-08-09 00:00:00,0.50–0.55,5,0.5269999999999999,0.4,-0.1269999999999999,0.11762077423264783,0.769275718723987,False
3,73,2026-08-07 00:00:00,2026-08-09 00:00:00,0.55–0.60,4,0.5922000000000001,0.5,-0.09220000000000006,0.15003898915214947,0.8499610108478506,False
3,73,2026-08-07 00:00:00,2026-08-09 00:00:00,0.60–0.65,3,0.6192666666666667,0.3333333333333333,-0.28593333333333343,0.06149194472039621,0.7923403991979522,False
3,73,2026-08-07 00:00:00,2026-08-09 00:00:00,0.65–0.70,2,0.6690499999999999,1.0,0.3309500000000001,0.34238022750665303,1.0,False
3,73,2026-08-07 00:00:00,2026-08-09 00:00:00,0.70–0.75,2,0.7086,0.5,-0.2086,0.09453120573423074,0.9054687942657693,False
4,89,2026-08-09 00:00:00,2026-08-10 00:00:00,0.50–0.55,2,0.53685,0.0,-0.53685,0.0,0.6576197724933469,False
4,89,2026-08-09 00:00:00,2026-08-10 00:00:00,0.55–0.60,4,0.58535,0.25,-0.33535000000000004,0.04558726080970055,0.6993581574175981,False
4,89,2026-08-09 00:00:00,2026-08-10 00:00:00,0.60–0.65,4,0.625525,0.75,0.124475,0.30064184258240184,0.9544127391902995,False
4,89,2026-08-09 00:00:00,2026-08-10 00:00:00,0.65–0.70,5,0.6733,0.4,-0.2733,0.11762077423264783,0.769275718723987,False
4,89,2026-08-09 00:00:00,2026-08-10 00:00:00,0.75–1.00,1,0.7634,1.0,0.23660000000000003,0.20654931437723745,1.0,False
