feature,gain,gain_rank,permutation_importance,permutation_rank,mean_abs_shap,shap_rank,lofo_log_loss_delta,lofo_auc_delta,lofo_rank,mean_rank,stability,rank_std_across_folds,fold_count,outcome_correlation,mean_shap,value_shap_corr,direction,method_agreement,methods_available,confidence,engineering_verdict,verdict_reason
away_fip,,,0.0133514617645884,1,0.0543691466494518,1,0.0009,-0.002595,11,4.33,0.6455,6.557,4,0.0343,0.0069086533972621,0.9987,POSITIVE,0.6879,3,Medium,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000900 when this feature was dropped, mean_rank 4.33/38, stability 0.6455, agreement Medium"
home_hr_rate,,,0.0041833385031884,3,0.0224797435313955,3,0.000901,-0.000998,10,5.33,0.6776,5.965,4,-0.0083,-0.0019408787730751,0.9988,POSITIVE,0.7815,3,Medium,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000901 when this feature was dropped, mean_rank 5.33/38, stability 0.6776, agreement Medium"
home_bat_iso,,,0.0019180879181113,5,0.0083058980167963,10,0.006313,-0.031729,1,5.33,0.1036,16.583,4,0.1198,-0.0017845351253643,0.9648,POSITIVE,0.7563,3,Medium,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.006313 when this feature was dropped, mean_rank 5.33/38, stability 0.1036, agreement Medium"
home_L10_ra,,,0.001036845990191,7,0.0095047287715452,8,0.001554,-0.004358,7,7.33,0.0779,17.059,4,-0.0963,-0.0028949754383424,-0.9481,NEGATIVE,0.9688,3,High,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.001554 when this feature was dropped, mean_rank 7.33/38, stability 0.0779, agreement High"
home_bat_k_rate,,,0.0011063622625171,6,0.0123715823216229,7,0.000842,-0.002385,12,8.33,0.4734,9.743,4,-0.0529,2.502303617721788e-06,-0.9839,NEGATIVE,0.8262,3,Medium,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000842 when this feature was dropped, mean_rank 8.33/38, stability 0.4734, agreement Medium"
home_k_rate,,,0.0009829822188117,8,0.0085956543016421,9,0.001098,-0.007704,9,8.67,0.3015,12.923,4,0.0112,-0.001666469171517,-0.9864,NEGATIVE,0.9688,3,High,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.001098 when this feature was dropped, mean_rank 8.67/38, stability 0.3015, agreement High"
away_L10_ra,,,0.0007284708951272,9,0.0059909705060494,14,0.002614,-0.01012,4,9.0,0.261,13.672,4,0.0738,0.0008645826727358,0.9864,POSITIVE,0.7297,3,Medium,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.002614 when this feature was dropped, mean_rank 9.0/38, stability 0.261, agreement Medium"
away_bat_k_rate,,,0.0001333530131892,13,0.00658362130281,13,0.003027,-0.003387,2,9.33,0.078,17.056,4,0.0852,-0.0004635389581841,0.984,POSITIVE,0.6567,3,Medium,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.003027 when this feature was dropped, mean_rank 9.33/38, stability 0.078, agreement Medium"
home_fip,,,0.0029689719762453,4,0.0212342350593707,4,-7e-06,-0.001308,25,11.0,0.0,18.52,4,-0.0392,0.0021475532772063,-0.9978,NEGATIVE,0.3446,3,Low,INVESTIGATE,"rank stability 0.0 < 0.5 across 4 walk-forward folds (fold ranks [4, 1, 35, 34]), mean_rank 11.0/38, agreement Low"
away_hr_rate,,,0.0098298372258376,2,0.0376901510441418,2,-0.00021,0.004001,30,11.33,0.7056,5.447,4,0.0125,-0.0005767107852361,-0.9977,NEGATIVE,0.1262,3,Low,KEEP,"mean_rank 11.33/38, stability 0.7056, agreement Low, walk-forward ablation delta -0.000210"
home_bat_hard_hit_pct,,,7.66436223150091e-05,15,0.0045251303047555,17,0.000648,0.001566,13,15.0,0.5259,8.77,4,0.0268,7.848525059345112e-05,0.9556,POSITIVE,0.8919,3,High,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000648 when this feature was dropped, mean_rank 15.0/38, stability 0.5259, agreement High"
home_fb_velo,,,0.0001128091512058,14,0.0079079113375444,11,6.2e-05,-0.001246,23,16.0,0.3177,12.623,4,0.0171,-0.0005746749995802,0.9723,POSITIVE,0.6624,3,Medium,INVESTIGATE,"rank stability 0.3177 < 0.5 across 4 walk-forward folds (fold ranks [29, 9, 14, 36]), mean_rank 16.0/38, agreement Medium"
away_xwoba_against,,,-0.0002590823529448,28,0.0044320589009476,19,0.002777,-0.008327,3,16.67,0.1857,15.064,4,0.0683,0.0004925511305744,-0.9734,NEGATIVE,0.3156,3,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.002777 when this feature was dropped, mean_rank 16.67/38, stability 0.1857, agreement Low"
home_bb_rate,,,-0.0001847070967865,26,0.0031946819529413,22,0.001612,-0.005655,5,17.67,0.4734,9.743,4,-0.0462,-0.0006850381491544,0.9637,POSITIVE,0.3973,3,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.001612 when this feature was dropped, mean_rank 17.67/38, stability 0.4734, agreement Low"
away_bb_rate,,,0.0006192722118424,10,0.0159433459351758,6,-0.00153,0.007747,38,18.0,0.4062,10.985,4,0.0294,-0.0018093039282283,-0.9976,NEGATIVE,0.0575,3,Low,INVESTIGATE,"rank stability 0.4062 < 0.5 across 4 walk-forward folds (fold ranks [33, 38, 13, 24]), mean_rank 18.0/38, agreement Low"
home_L10_wr,,,4.3755604869011314e-05,18,0.0016582744672946,30,0.001588,-0.004509,6,18.0,0.6245,6.946,4,0.0614,-0.0008866640869742,0.8461,POSITIVE,0.3514,3,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.001588 when this feature was dropped, mean_rank 18.0/38, stability 0.6245, agreement Low"
home_xwoba_against,,,0.0003031839957972,12,0.0044566637259783,18,-2.9e-05,-0.000892,26,18.67,0.7623,4.397,4,-0.041,0.0005825175567067,-0.9894,NEGATIVE,0.6203,3,Low,KEEP,"mean_rank 18.67/38, stability 0.7623, agreement Low, walk-forward ablation delta -0.000029"
away_hard_hit_pct,,,5.6666564326346425e-05,16,0.0031864211051207,23,0.000352,0.0019,18,19.0,0.7261,5.066,4,0.0083,0.0029787970518243,0.6636,POSITIVE,0.8051,3,Medium,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000352 when this feature was dropped, mean_rank 19.0/38, stability 0.7261, agreement Medium"
away_is_lefty,,,-0.0002189848700165,27,0.0026824277554365,24,0.001172,-0.002654,8,19.67,0.8875,2.082,4,0.0166,-0.0026824277554365,-0.9975,NEGATIVE,0.4479,3,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.001172 when this feature was dropped, mean_rank 19.67/38, stability 0.8875, agreement Low"
away_fb_velo,,,-0.0005575631168451,35,0.0066538772810634,12,0.00058,-0.002941,14,20.33,0.466,9.878,4,-0.0184,0.0002859394692586,-0.9621,NEGATIVE,0.3113,3,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000580 when this feature was dropped, mean_rank 20.33/38, stability 0.466, agreement Low"
away_bat_iso,,,-0.0003037364501577,30,0.0039398290464311,21,0.000366,-0.00157,16,22.33,0.844,2.887,4,-0.0334,0.0011578593729508,-0.9469,NEGATIVE,0.6165,3,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000366 when this feature was dropped, mean_rank 22.33/38, stability 0.844, agreement Low"
away_bat_woba,,,-0.0014210822981323,38,0.0187280031659615,5,2.6e-05,0.006227,24,22.33,0.2187,14.454,4,-0.0461,-0.0009079139041591,-0.9917,NEGATIVE,0.1047,3,Low,INVESTIGATE,"rank stability 0.2187 < 0.5 across 4 walk-forward folds (fold ranks [38, 28, 6, 35]), mean_rank 22.33/38, agreement Low"
