feature,gain,gain_rank,permutation_importance,permutation_rank,mean_abs_shap,shap_rank,lofo_log_loss_delta,lofo_auc_delta,lofo_rank,mean_rank
away_fip,,,0.013351461764588447,1,0.05436914664945185,1,0.0009,-0.002595,11,4.33
home_hr_rate,,,0.0041833385031884275,3,0.02247974353139554,3,0.000901,-0.000998,10,5.33
home_bat_iso,,,0.0019180879181113775,5,0.008305898016796324,10,0.006313,-0.031729,1,5.33
home_L10_ra,,,0.0010368459901910708,7,0.0095047287715452,8,0.001554,-0.004358,7,7.33
home_bat_k_rate,,,0.0011063622625171465,6,0.012371582321622977,7,0.000842,-0.002385,12,8.33
home_k_rate,,,0.0009829822188117232,8,0.008595654301642133,9,0.001098,-0.007704,9,8.67
away_L10_ra,,,0.0007284708951272645,9,0.005990970506049498,14,0.002614,-0.01012,4,9.0
away_bat_k_rate,,,0.0001333530131892302,13,0.006583621302810041,13,0.003027,-0.003387,2,9.33
home_fip,,,0.0029689719762453826,4,0.021234235059370707,4,-7e-06,-0.001308,25,11.0
away_hr_rate,,,0.009829837225837601,2,0.03769015104414182,2,-0.00021,0.004001,30,11.33
home_bat_hard_hit_pct,,,7.66436223150091e-05,15,0.004525130304755582,17,0.000648,0.001566,13,15.0
home_fb_velo,,,0.00011280915120588375,14,0.007907911337544442,11,6.2e-05,-0.001246,23,16.0
away_xwoba_against,,,-0.0002590823529448727,28,0.00443205890094762,19,0.002777,-0.008327,3,16.67
home_bb_rate,,,-0.0001847070967865294,26,0.003194681952941367,22,0.001612,-0.005655,5,17.67
away_bb_rate,,,0.0006192722118424143,10,0.01594334593517583,6,-0.00153,0.007747,38,18.0
home_L10_wr,,,4.3755604869011314e-05,18,0.0016582744672946454,30,0.001588,-0.004509,6,18.0
home_xwoba_against,,,0.0003031839957972959,12,0.004456663725978349,18,-2.9e-05,-0.000892,26,18.67
away_hard_hit_pct,,,5.6666564326346425e-05,16,0.0031864211051207962,23,0.000352,0.0019,18,19.0
away_is_lefty,,,-0.00021898487001658084,27,0.002682427755436567,24,0.001172,-0.002654,8,19.67
away_fb_velo,,,-0.0005575631168451168,35,0.006653877281063423,12,0.00058,-0.002941,14,20.33
away_bat_iso,,,-0.0003037364501577433,30,0.003939829046431124,21,0.000366,-0.00157,16,22.33
away_bat_woba,,,-0.0014210822981323035,38,0.018728003165961543,5,2.6e-05,0.006227,24,22.33
away_bat_hard_hit_pct,,,4.7896982237738414e-05,17,0.0013434130568221714,33,0.000284,-0.001004,19,23.0
away_L10_wr,,,-0.000328343615325033,31,0.0023188115138533215,27,0.000563,-0.003003,15,24.33
away_k_rate,,,-0.0002644578062907188,29,0.00240832433164471,26,0.000257,-0.001551,20,25.0
away_L10_rs,,,-0.0010870311731499438,37,0.005020673868566378,16,0.000138,0.002568,22,25.0
away_days_rest,,,-8.502990209842131e-05,25,0.0008501862843698591,34,0.000357,-0.001377,17,25.33
home_days_rest,,,-0.0008159009358345015,36,0.005540978143378078,15,-0.000124,0.000817,28,26.33
home_bat_woba,,,-1.3019511512646354e-05,24,0.0021796685915517473,29,-9.1e-05,-0.000207,27,26.67
is_coors,,,0.0003689581506419293,11,0.0007692802906060235,35,-0.000485,0.005133,34,26.67
home_L10_rs,,,3.453407989032486e-05,20,0.0014722681493343928,32,-0.000214,0.005266,31,27.67
wind_out_factor,,,-0.0005286431978253958,34,0.002250122122635138,28,0.000159,0.002268,21,27.67
temp_f,,,-0.000389581809354933,33,0.004301470169161329,20,-0.000296,-0.002372,32,28.33
home_hard_hit_pct,,,1.1418756502190597e-05,21,0.0006599570094734257,36,-0.000136,0.002198,29,28.67
wind_mph,,,-5.881683320307918e-06,23,0.0015943116656353831,31,-0.000392,-0.001275,33,29.0
home_is_lefty,,,3.690710268480224e-05,19,0.0006505144224191399,37,-0.001337,0.009137,36,30.67
park_factor,,,-0.0003688623285826309,32,0.002576992229447735,25,-0.001284,0.005329,35,30.67
is_dome,,,-3.7691769208314518e-06,22,0.00029773916114909254,38,-0.001423,0.009607,37,32.33
