feature,mean_abs_shap,mean_shap,value_shap_corr,shap_method
away_fip,0.05436914664945185,0.0069086533972621935,0.9987,kernel
away_hr_rate,0.03769015104414182,-0.0005767107852361427,-0.9977,kernel
home_hr_rate,0.02247974353139554,-0.0019408787730751758,0.9988,kernel
home_fip,0.021234235059370707,0.0021475532772063407,-0.9978,kernel
away_bat_woba,0.018728003165961543,-0.0009079139041591894,-0.9917,kernel
away_bb_rate,0.01594334593517583,-0.0018093039282283715,-0.9976,kernel
home_bat_k_rate,0.012371582321622977,2.5023036177217877e-06,-0.9839,kernel
home_L10_ra,0.0095047287715452,-0.0028949754383424103,-0.9481,kernel
home_k_rate,0.008595654301642133,-0.0016664691715170606,-0.9864,kernel
home_bat_iso,0.008305898016796324,-0.0017845351253643867,0.9648,kernel
home_fb_velo,0.007907911337544442,-0.000574674999580201,0.9723,kernel
away_fb_velo,0.006653877281063423,0.00028593946925866467,-0.9621,kernel
away_bat_k_rate,0.006583621302810041,-0.00046353895818412476,0.984,kernel
away_L10_ra,0.005990970506049498,0.0008645826727358676,0.9864,kernel
home_days_rest,0.005540978143378078,-0.0013076819216283947,-0.9814,kernel
away_L10_rs,0.005020673868566378,0.0002529604372162006,-0.9383,kernel
home_bat_hard_hit_pct,0.004525130304755582,7.848525059345112e-05,0.9556,kernel
home_xwoba_against,0.004456663725978349,0.0005825175567067888,-0.9894,kernel
away_xwoba_against,0.00443205890094762,0.000492551130574488,-0.9734,kernel
temp_f,0.004301470169161329,-0.0003058428369876198,-0.9923,kernel
away_bat_iso,0.003939829046431124,0.0011578593729508744,-0.9469,kernel
home_bb_rate,0.003194681952941367,-0.0006850381491544733,0.9637,kernel
away_hard_hit_pct,0.0031864211051207962,0.0029787970518243122,0.6636,kernel
away_is_lefty,0.002682427755436567,-0.002682427755436567,-0.9975,kernel
park_factor,0.002576992229447735,-0.00098052546255102,0.9382,kernel
away_k_rate,0.00240832433164471,-0.00012286443090200414,0.1391,kernel
away_L10_wr,0.0023188115138533215,1.3250105617292896e-05,-0.8897,kernel
wind_out_factor,0.002250122122635138,-0.00027783827389858803,0.9362,kernel
home_bat_woba,0.0021796685915517473,-0.0007687403994771984,-0.8801,kernel
home_L10_wr,0.0016582744672946454,-0.0008866640869742979,0.8461,kernel
wind_mph,0.0015943116656353831,-6.866352144027688e-06,0.963,kernel
home_L10_rs,0.0014722681493343928,-0.00016961969521101303,-0.9274,kernel
away_bat_hard_hit_pct,0.0013434130568221714,-0.0009147826814196398,-0.3505,kernel
away_days_rest,0.0008501862843698591,0.0001284842770677236,-0.9662,kernel
is_coors,0.0007692802906060235,-0.0007692802906060235,-0.9965,kernel
home_hard_hit_pct,0.0006599570094734257,-9.18334269503285e-05,0.5723,kernel
home_is_lefty,0.0006505144224191399,0.0006505144224191399,0.9367,kernel
is_dome,0.00029773916114909254,9.370437835129124e-05,0.7439,kernel
