feature,baseline_log_loss,log_loss_without,log_loss_delta,baseline_auc,auc_without,auc_delta
home_bat_iso,0.693533,0.698486,0.004954,0.54386,0.517922,-0.025938
home_bat_k_rate,0.693533,0.696188,0.002655,0.54386,0.533575,-0.010284
away_k_rate,0.693533,0.694622,0.001089,0.54386,0.535844,-0.008016
away_fip,0.693533,0.693906,0.000373,0.54386,0.541591,-0.002269
away_bb_rate,0.693533,0.693834,0.000301,0.54386,0.537205,-0.006655
away_L10_wr,0.693533,0.69358,4.7e-05,0.54386,0.530248,-0.013612
home_k_rate,0.693533,0.693271,-0.000262,0.54386,0.540079,-0.003781
home_fip,0.693533,0.692678,-0.000855,0.54386,0.540684,-0.003176
home_fb_velo,0.693533,0.69265,-0.000883,0.54386,0.545221,0.001361
away_fb_velo,0.693533,0.691904,-0.001629,0.54386,0.545977,0.002117
wind_out_factor,0.693533,0.691787,-0.001745,0.54386,0.538113,-0.005747
home_bat_hard_hit_pct,0.693533,0.691642,-0.001891,0.54386,0.550514,0.006655
away_bat_woba,0.693533,0.690467,-0.003066,0.54386,0.54023,-0.00363
away_L10_ra,0.693533,0.690419,-0.003114,0.54386,0.544918,0.001059
away_xwoba_against,0.693533,0.690264,-0.003269,0.54386,0.553237,0.009377
away_hard_hit_pct,0.693533,0.68985,-0.003683,0.54386,0.555051,0.011192
home_bat_woba,0.693533,0.68917,-0.004363,0.54386,0.547641,0.003781
away_L10_rs,0.693533,0.688914,-0.004619,0.54386,0.549304,0.005445
wind_mph,0.693533,0.684667,-0.008866,0.54386,0.56216,0.0183
home_L10_ra,0.693533,0.684096,-0.009437,0.54386,0.565185,0.021325
