feature,mean_abs_shap,shap_method
away_bat_woba,0.037042347213049935,tree
away_k_rate,0.03388378683817853,tree
home_L10_ra,0.018898756486710414,tree
home_bat_k_rate,0.010687901691799916,tree
wind_mph,0.010106176497649735,tree
home_fb_velo,0.007972514942289066,tree
away_hard_hit_pct,0.0075237759771035525,tree
home_bat_hard_hit_pct,0.005074831193877606,tree
home_bat_iso,0.004726256845311858,tree
wind_out_factor,0.004227050107146551,tree
away_bb_rate,0.0034098234950311872,tree
away_L10_rs,0.003020507481901211,tree
away_bat_k_rate,0.0029220008527311636,tree
home_bat_woba,0.0026347875474414706,tree
away_L10_ra,0.002459101511774091,tree
away_xwoba_against,0.0018691690935011159,tree
park_factor,0.0015871962381678048,tree
away_bat_iso,0.0015304654221340614,tree
home_k_rate,0.0014371952402089233,tree
away_L10_wr,0.0013701107398073834,tree
temp_f,0.001302868123091762,tree
away_fb_velo,0.0011620947577472482,tree
home_bb_rate,0.0011059812125270194,tree
home_fip,0.0010881415265235682,tree
home_hard_hit_pct,0.001040927440975953,tree
home_L10_wr,0.0008761560706093369,tree
home_hr_rate,0.0005358524497564039,tree
away_hr_rate,0.00022565233681809212,tree
home_xwoba_against,0.0,tree
home_is_lefty,0.0,tree
home_days_rest,0.0,tree
away_fip,0.0,tree
away_is_lefty,0.0,tree
away_days_rest,0.0,tree
away_bat_hard_hit_pct,0.0,tree
home_L10_rs,0.0,tree
is_dome,0.0,tree
is_coors,0.0,tree
