feature,importance_mean,importance_std
away_bat_k_rate,0.002415375413106413,0.001297458011293154
away_bat_woba,0.001504210134496975,0.001550885067113057
home_L10_ra,0.001058937028064566,0.0006268187302947946
home_bat_k_rate,0.0010461391638330263,0.001101834046798561
home_k_rate,0.0007587004631646965,0.0007113804424636105
away_hard_hit_pct,0.0006998861523524691,0.0007117876360874896
away_fb_velo,0.0003842416690984063,0.0006878882256217179
away_k_rate,0.0003674747815777146,0.0026960058571942943
away_bat_iso,0.0003656703337464928,0.0006925919423810146
away_hr_rate,0.0003088757363782224,0.0004217030869746454
home_bat_iso,0.00030645067756737145,0.00031157152089108695
away_L10_ra,0.00028491267220870364,0.00012425013692741855
home_bat_woba,0.00021082526139958312,0.0001855627867751581
home_fip,0.0001770831793334926,0.00020909744402787916
home_hr_rate,0.0001142551256900326,0.00011828523783003218
home_bat_hard_hit_pct,8.325848484730392e-05,5.1326243370326255e-05
away_fip,2.299510933221338e-05,6.197333007882824e-05
home_hard_hit_pct,0.0,0.0
home_is_lefty,0.0,0.0
away_is_lefty,0.0,0.0
away_days_rest,0.0,0.0
home_L10_wr,0.0,0.0
is_dome,0.0,0.0
is_coors,0.0,0.0
park_factor,-7.485566169052049e-06,0.0002973477526307936
wind_mph,-2.029238314448234e-05,0.00032254120148865007
home_days_rest,-6.68058288781026e-05,3.970983162293837e-05
home_xwoba_against,-8.277544523082048e-05,0.00020014441545451297
home_L10_rs,-9.573546141354861e-05,0.00022273669091347996
away_xwoba_against,-0.00011118718185322285,6.872437953239904e-05
away_bat_hard_hit_pct,-0.00013978753578417492,9.681052202062156e-05
away_L10_rs,-0.00014371995458838381,8.004126568948077e-05
home_bb_rate,-0.00014879925813452433,0.00013271116117132375
away_bb_rate,-0.00016861636533213042,8.584548036116037e-05
wind_out_factor,-0.000254523190836653,0.00020123305053724435
away_L10_wr,-0.00030650635458934206,0.0001693614678517039
temp_f,-0.00031771427896550854,0.0001542591080088215
home_fb_velo,-0.0007495955948723321,0.0009363033236253302
