feature,gain,gain_pct
away_k_rate,225.74051237106323,14.08
away_bat_woba,188.41336810588837,11.75
home_fb_velo,124.51851823925972,7.77
home_bat_k_rate,120.40334093570709,7.51
away_bat_k_rate,95.75741004943848,5.97
home_k_rate,81.38758444786072,5.08
home_L10_ra,70.58305943012238,4.4
away_bat_iso,68.45183992385864,4.27
away_hard_hit_pct,56.46215009689331,3.52
away_hr_rate,55.6936901807785,3.47
park_factor,53.159730076789856,3.32
home_bat_iso,52.57375979423523,3.28
wind_mph,49.46353268623352,3.09
home_fip,44.46574801206589,2.77
away_fb_velo,42.11854016780853,2.63
home_bb_rate,32.439170122146606,2.02
home_xwoba_against,30.751410007476807,1.92
temp_f,29.423219442367554,1.84
wind_out_factor,26.027620315551758,1.62
home_bat_woba,24.630760192871094,1.54
away_L10_wr,22.64069962501526,1.41
home_L10_rs,20.280636847019196,1.27
home_hr_rate,13.814879894256592,0.86
away_fip,13.733489990234375,0.86
away_L10_ra,12.188790082931519,0.76
away_bb_rate,11.028189897537231,0.69
home_bat_hard_hit_pct,10.677760243415833,0.67
away_L10_rs,9.102103114128113,0.57
home_days_rest,6.227739930152893,0.39
away_bat_hard_hit_pct,5.520969867706299,0.34
away_xwoba_against,5.233760118484497,0.33
home_hard_hit_pct,0.0,0.0
home_is_lefty,0.0,0.0
away_is_lefty,0.0,0.0
away_days_rest,0.0,0.0
home_L10_wr,0.0,0.0
is_dome,0.0,0.0
is_coors,0.0,0.0
