precision,recall,threshold
0.455,1.0,0.3191
0.4557,1.0,0.3225
0.4563,1.0,0.3238
0.4555,0.997,0.3239
0.4548,0.994,0.3268
0.4554,0.994,0.3321
0.456,0.994,0.3325
0.4553,0.991,0.3357
0.4559,0.991,0.3365
0.4566,0.991,0.3368
0.4558,0.988,0.3387
0.4564,0.988,0.3415
0.4571,0.988,0.3432
0.4563,0.985,0.3462
0.4556,0.982,0.347
0.4562,0.982,0.3474
0.4554,0.979,0.3476
0.4561,0.979,0.3481
0.4553,0.976,0.3486
0.4559,0.976,0.349
0.4552,0.9731,0.3493
0.4558,0.9731,0.351
0.4551,0.9701,0.3513
0.4543,0.9671,0.3519
0.4535,0.9641,0.3527
0.4542,0.9641,0.3561
0.4534,0.9611,0.3571
0.454,0.9611,0.3587
0.4533,0.9581,0.3589
0.4525,0.9551,0.3604
0.4517,0.9521,0.3609
0.4523,0.9521,0.3618
0.453,0.9521,0.3622
0.4536,0.9521,0.3625
0.4543,0.9521,0.3645
0.4549,0.9521,0.3646
0.4556,0.9521,0.3647
0.4562,0.9521,0.3653
0.4569,0.9521,0.367
0.4576,0.9521,0.3675
0.4568,0.9491,0.3678
0.4574,0.9491,0.368
0.4581,0.9491,0.3688
0.4588,0.9491,0.3699
0.4594,0.9491,0.3712
0.4586,0.9461,0.3731
0.4578,0.9431,0.3734
0.4585,0.9431,0.3735
0.4592,0.9431,0.3736
0.4584,0.9401,0.374
0.4591,0.9401,0.3747
0.4597,0.9401,0.375
0.4604,0.9401,0.3751
0.4611,0.9401,0.3753
0.4618,0.9401,0.3756
0.4624,0.9401,0.376
0.4617,0.9371,0.376
0.4623,0.9371,0.3761
0.4615,0.9341,0.3764
0.4622,0.9341,0.377
0.4629,0.9341,0.3773
0.4636,0.9341,0.3774
0.4628,0.9311,0.3775
0.462,0.9281,0.3776
0.4612,0.9251,0.3791
0.4619,0.9251,0.3796
0.4626,0.9251,0.3797
0.4633,0.9251,0.381
0.4625,0.9222,0.3811
0.4632,0.9222,0.3815
0.4639,0.9222,0.3817
0.4646,0.9222,0.382
0.4653,0.9222,0.3821
0.466,0.9222,0.3822
0.4652,0.9192,0.3827
0.4643,0.9162,0.3827
0.465,0.9162,0.3829
0.4658,0.9162,0.3829
0.4649,0.9132,0.3832
0.4641,0.9102,0.3832
0.4633,0.9072,0.3833
0.464,0.9072,0.3839
0.4632,0.9042,0.3844
0.4639,0.9042,0.3847
0.4631,0.9012,0.3847
0.4638,0.9012,0.3848
0.463,0.8982,0.385
0.4637,0.8982,0.3855
0.4644,0.8982,0.3857
0.4651,0.8982,0.3859
0.4658,0.8982,0.386
0.465,0.8952,0.3871
0.4642,0.8922,0.3872
0.4649,0.8922,0.3877
0.4656,0.8922,0.3881
0.4648,0.8892,0.3882
0.4655,0.8892,0.3886
0.4647,0.8862,0.3887
0.4654,0.8862,0.389
0.4661,0.8862,0.389
0.4669,0.8862,0.3895
0.466,0.8832,0.3897
0.4668,0.8832,0.3902
0.4659,0.8802,0.3907
0.4651,0.8772,0.3908
0.4658,0.8772,0.3909
0.4666,0.8772,0.3911
0.4673,0.8772,0.3912
0.4665,0.8743,0.3912
0.4672,0.8743,0.3915
0.4679,0.8743,0.3916
0.4687,0.8743,0.3916
0.4695,0.8743,0.3917
0.4702,0.8743,0.3922
0.4694,0.8713,0.3926
0.4701,0.8713,0.3932
0.4709,0.8713,0.3935
0.4716,0.8713,0.3937
0.4708,0.8683,0.3938
0.4715,0.8683,0.3939
0.4723,0.8683,0.3939
0.4731,0.8683,0.3939
0.4739,0.8683,0.394
0.4746,0.8683,0.3941
0.4754,0.8683,0.3941
0.4745,0.8653,0.3944
0.4737,0.8623,0.3945
0.4728,0.8593,0.3948
0.4719,0.8563,0.3951
0.4727,0.8563,0.3953
0.4719,0.8533,0.3955
0.4726,0.8533,0.3955
0.4734,0.8533,0.3957
0.4742,0.8533,0.3958
0.475,0.8533,0.3961
0.4758,0.8533,0.3964
0.4749,0.8503,0.397
0.4757,0.8503,0.3976
0.4748,0.8473,0.3981
0.4756,0.8473,0.3982
0.4747,0.8443,0.3986
0.4739,0.8413,0.3988
0.4747,0.8413,0.3988
0.4738,0.8383,0.3988
0.4746,0.8383,0.3991
0.4754,0.8383,0.3991
0.4762,0.8383,0.3992
0.4753,0.8353,0.3996
0.4761,0.8353,0.3997
0.4769,0.8353,0.3998
0.476,0.8323,0.4001
0.4768,0.8323,0.4002
0.4777,0.8323,0.4003
0.4785,0.8323,0.4005
0.4793,0.8323,0.4009
0.4784,0.8293,0.4009
0.4775,0.8263,0.4009
0.4783,0.8263,0.4016
0.4774,0.8234,0.4016
0.4783,0.8234,0.4017
0.4791,0.8234,0.4018
0.4799,0.8234,0.4026
0.4808,0.8234,0.4026
0.4816,0.8234,0.4029
0.4807,0.8204,0.4031
0.4798,0.8174,0.4035
0.4789,0.8144,0.4035
0.4797,0.8144,0.404
0.4806,0.8144,0.4044
0.4796,0.8114,0.4047
0.4805,0.8114,0.405
0.4796,0.8084,0.4051
0.4786,0.8054,0.4052
0.4795,0.8054,0.4056
0.4804,0.8054,0.4059
0.4812,0.8054,0.4061
0.4821,0.8054,0.4062
0.4811,0.8024,0.4066
0.4802,0.7994,0.4067
0.4793,0.7964,0.4068
0.4801,0.7964,0.4068
0.4792,0.7934,0.4078
0.4801,0.7934,0.4078
0.4809,0.7934,0.408
0.4818,0.7934,0.4083
0.4809,0.7904,0.4086
0.4818,0.7904,0.4086
0.4826,0.7904,0.4088
0.4817,0.7874,0.4088
0.4826,0.7874,0.4093
0.4835,0.7874,0.4099
0.4843,0.7874,0.4101
0.4852,0.7874,0.4102
0.4861,0.7874,0.4104
0.487,0.7874,0.4104
0.4879,0.7874,0.4105
0.487,0.7844,0.4111
0.4879,0.7844,0.4112
0.4888,0.7844,0.4113
0.4879,0.7814,0.4115
0.4888,0.7814,0.4116
0.4878,0.7784,0.4117
0.4868,0.7754,0.4117
0.4878,0.7754,0.4117
0.4868,0.7725,0.4119
0.4858,0.7695,0.412
0.4867,0.7695,0.412
0.4877,0.7695,0.4122
0.4867,0.7665,0.4127
0.4876,0.7665,0.4128
0.4866,0.7635,0.4129
0.4876,0.7635,0.4131
0.4885,0.7635,0.4135
0.4875,0.7605,0.4136
0.4885,0.7605,0.4136
0.4894,0.7605,0.4136
0.4884,0.7575,0.414
0.4894,0.7575,0.4143
0.4903,0.7575,0.4145
0.4913,0.7575,0.4153
0.4903,0.7545,0.4154
0.4912,0.7545,0.4154
0.4922,0.7545,0.4156
0.4912,0.7515,0.4159
0.4902,0.7485,0.4164
0.4892,0.7455,0.4169
0.4882,0.7425,0.417
0.4872,0.7395,0.4178
0.4862,0.7365,0.418
0.4871,0.7365,0.4184
0.4881,0.7365,0.4186
0.4891,0.7365,0.4187
0.49,0.7365,0.4189
0.491,0.7365,0.4189
0.492,0.7365,0.419
0.491,0.7335,0.4192
0.492,0.7335,0.4192
0.493,0.7335,0.4192
0.4919,0.7305,0.4194
0.4929,0.7305,0.4194
0.4939,0.7305,0.4198
0.4929,0.7275,0.4201
0.4939,0.7275,0.4205
0.4929,0.7246,0.4206
0.4939,0.7246,0.4211
0.4949,0.7246,0.4215
0.4939,0.7216,0.4221
0.4928,0.7186,0.4222
0.4918,0.7156,0.4224
0.4928,0.7156,0.4225
0.4938,0.7156,0.4227
0.4948,0.7156,0.4228
0.4959,0.7156,0.4229
0.4948,0.7126,0.423
0.4958,0.7126,0.423
0.4969,0.7126,0.4233
0.4958,0.7096,0.4234
0.4969,0.7096,0.4236
0.4979,0.7096,0.4236
0.4968,0.7066,0.4242
0.4979,0.7066,0.4242
0.4968,0.7036,0.4244
0.4958,0.7006,0.4245
0.4968,0.7006,0.4247
0.4979,0.7006,0.4254
0.4989,0.7006,0.4254
0.4979,0.6976,0.4255
0.4968,0.6946,0.4256
0.4979,0.6946,0.4257
0.4989,0.6946,0.4259
0.4978,0.6916,0.4263
0.4968,0.6886,0.4268
0.4957,0.6856,0.427
0.4946,0.6826,0.4273
0.4935,0.6796,0.4279
0.4946,0.6796,0.4281
0.4934,0.6766,0.4284
0.4923,0.6737,0.4285
0.4912,0.6707,0.4285
0.4923,0.6707,0.4286
0.4912,0.6677,0.4288
0.4901,0.6647,0.4288
0.4889,0.6617,0.4289
0.4878,0.6587,0.4291
0.4867,0.6557,0.4294
0.4878,0.6557,0.4295
0.4866,0.6527,0.4296
0.4855,0.6497,0.4297
0.4865,0.6497,0.4299
0.4854,0.6467,0.4301
0.4865,0.6467,0.4301
0.4876,0.6467,0.4302
0.4887,0.6467,0.4303
0.4875,0.6437,0.4306
0.4886,0.6437,0.4307
0.4875,0.6407,0.4308
0.4886,0.6407,0.4311
0.4874,0.6377,0.4315
0.4862,0.6347,0.4316
0.4874,0.6347,0.4318
0.4885,0.6347,0.4321
