fpr,tpr,threshold
0.0,0.0,inf
0.0025,0.0,0.5918
0.005,0.0,0.576
0.005,0.003,0.5756
0.0075,0.003,0.5741
0.0075,0.009,0.5652
0.01,0.009,0.5632
0.01,0.012,0.5631
0.02,0.012,0.5556
0.02,0.015,0.5551
0.03,0.015,0.5533
0.03,0.018,0.5529
0.0325,0.018,0.5529
0.0325,0.021,0.5523
0.035,0.021,0.5516
0.035,0.0269,0.5489
0.04,0.0269,0.5476
0.04,0.0299,0.5475
0.0425,0.0299,0.5466
0.0425,0.0329,0.5461
0.0525,0.0329,0.5439
0.0525,0.0419,0.5424
0.055,0.0419,0.5424
0.055,0.0479,0.5416
0.0575,0.0479,0.5414
0.0575,0.0539,0.5393
0.06,0.0539,0.538
0.06,0.0569,0.5376
0.0625,0.0569,0.5376
0.0625,0.0599,0.5373
0.065,0.0599,0.5367
0.065,0.0838,0.5338
0.0675,0.0838,0.5335
0.0675,0.0898,0.5327
0.07,0.0898,0.5311
0.07,0.0988,0.5301
0.0725,0.0988,0.53
0.0725,0.1018,0.5298
0.075,0.1018,0.5296
0.075,0.1078,0.5285
0.08,0.1078,0.5276
0.08,0.1108,0.5274
0.085,0.1108,0.5262
0.085,0.1138,0.5257
0.0875,0.1138,0.5255
0.0875,0.1168,0.5254
0.0975,0.1168,0.5233
0.0975,0.1228,0.5225
0.105,0.1228,0.5214
0.105,0.1257,0.5214
0.1075,0.1257,0.521
0.1075,0.1317,0.5199
0.11,0.1317,0.5197
0.11,0.1347,0.5193
0.115,0.1347,0.5191
0.115,0.1377,0.519
0.1175,0.1377,0.5185
0.1175,0.1407,0.5185
0.1225,0.1407,0.5183
0.1225,0.1437,0.5175
0.13,0.1437,0.5171
0.13,0.1467,0.517
0.1325,0.1467,0.5169
0.1325,0.1527,0.5157
0.135,0.1527,0.5156
0.135,0.1587,0.5154
0.1425,0.1587,0.5139
0.1425,0.1647,0.5137
0.145,0.1647,0.5132
0.145,0.1737,0.5128
0.1475,0.1737,0.5127
0.1475,0.1766,0.5126
0.165,0.1766,0.51
0.165,0.1796,0.5095
0.1675,0.1796,0.5093
0.1675,0.1826,0.5092
0.17,0.1826,0.5089
0.17,0.1856,0.5087
0.1725,0.1856,0.5079
0.1725,0.1916,0.5077
0.175,0.1916,0.5072
0.175,0.1946,0.507
0.185,0.1946,0.5055
0.185,0.1976,0.5053
0.1875,0.1976,0.5053
0.1875,0.2066,0.5045
0.19,0.2066,0.5043
0.19,0.2156,0.5033
0.1925,0.2156,0.5032
0.1925,0.2216,0.5021
0.1975,0.2216,0.5019
0.1975,0.2246,0.5018
0.205,0.2246,0.5016
0.205,0.2275,0.5015
0.21,0.2275,0.5008
0.21,0.2305,0.5005
0.215,0.2305,0.5001
0.215,0.2335,0.4997
0.22,0.2335,0.4991
0.22,0.2365,0.499
0.2225,0.2365,0.4988
0.2225,0.2395,0.4982
0.2275,0.2395,0.4979
0.2275,0.2425,0.4978
0.2325,0.2425,0.4972
0.2325,0.2455,0.4972
0.2375,0.2455,0.495
0.2375,0.2515,0.4931
0.24,0.2515,0.493
0.24,0.2605,0.4918
0.2525,0.2605,0.491
0.2525,0.2665,0.4906
0.255,0.2665,0.4901
0.255,0.2725,0.4895
0.26,0.2725,0.4884
0.26,0.2784,0.4878
0.2625,0.2784,0.4874
0.2625,0.2904,0.4861
0.265,0.2904,0.4859
0.265,0.2934,0.4849
0.275,0.2934,0.4842
0.275,0.2964,0.4841
0.2775,0.2964,0.484
0.2775,0.2994,0.4838
0.28,0.2994,0.4837
0.28,0.3084,0.4818
0.2825,0.3084,0.4817
0.2825,0.3114,0.4808
0.2875,0.3114,0.4804
0.2875,0.3144,0.4802
0.29,0.3144,0.4798
0.29,0.3204,0.479
0.295,0.3204,0.4782
0.295,0.3234,0.4782
0.2975,0.3234,0.478
0.2975,0.3413,0.4767
0.3,0.3413,0.4766
0.3,0.3443,0.4763
0.3025,0.3443,0.4753
0.3025,0.3473,0.475
0.315,0.3473,0.4744
0.315,0.3503,0.4743
0.32,0.3503,0.4739
0.32,0.3593,0.4732
0.325,0.3593,0.4728
0.325,0.3623,0.4727
0.33,0.3623,0.4722
0.33,0.3653,0.4715
0.335,0.3653,0.471
0.335,0.3683,0.4707
0.3375,0.3683,0.47
0.3375,0.3713,0.4699
0.34,0.3713,0.4698
0.34,0.3743,0.4695
0.3575,0.3743,0.4675
0.3575,0.3862,0.4666
0.36,0.3862,0.4666
0.36,0.3922,0.4661
0.3625,0.3922,0.466
0.3625,0.3982,0.465
0.37,0.3982,0.4643
0.37,0.4012,0.4641
0.38,0.4012,0.4633
0.38,0.4042,0.4631
0.39,0.4042,0.461
0.39,0.4222,0.4602
0.3975,0.4222,0.4594
0.3975,0.4281,0.4591
0.4025,0.4281,0.4579
0.4025,0.4341,0.4564
0.405,0.4341,0.4563
0.405,0.4371,0.4562
0.4075,0.4371,0.456
0.4075,0.4401,0.4558
0.4125,0.4401,0.4553
0.4125,0.4431,0.4546
0.415,0.4431,0.4542
0.415,0.4461,0.4541
0.42,0.4461,0.454
0.42,0.4491,0.4539
0.4275,0.4491,0.4532
0.4275,0.4551,0.4522
0.43,0.4551,0.4518
0.43,0.4641,0.4513
0.4425,0.4641,0.4503
0.4425,0.4671,0.45
0.445,0.4671,0.45
0.445,0.476,0.4484
0.4475,0.476,0.4479
0.4475,0.479,0.4479
0.4525,0.479,0.4474
0.4525,0.482,0.4473
0.4575,0.482,0.4471
0.4575,0.485,0.4467
0.46,0.485,0.4465
0.46,0.488,0.4463
0.4625,0.488,0.4463
0.4625,0.5,0.4459
0.47,0.5,0.4457
0.47,0.503,0.4452
0.4725,0.503,0.445
0.4725,0.506,0.4446
0.485,0.506,0.4434
0.485,0.518,0.4431
0.4875,0.518,0.4426
0.4875,0.5269,0.442
0.495,0.5269,0.4414
0.495,0.5359,0.4409
0.5,0.5359,0.4404
0.5,0.5389,0.4402
0.5025,0.5389,0.4402
0.5025,0.5449,0.44
0.505,0.5449,0.4399
0.505,0.5479,0.4398
0.51,0.5479,0.4395
0.51,0.5509,0.4389
0.515,0.5509,0.4386
0.515,0.5629,0.4382
0.525,0.5629,0.4376
0.525,0.5778,0.4368
0.5275,0.5778,0.4359
0.5275,0.5868,0.4355
0.53,0.5868,0.4354
0.53,0.5898,0.4353
0.535,0.5898,0.4353
0.535,0.5988,0.435
0.5375,0.5988,0.4349
0.5375,0.6078,0.4346
0.54,0.6078,0.4345
0.54,0.6108,0.4345
0.5425,0.6108,0.4344
0.5425,0.6138,0.4343
0.55,0.6138,0.4341
0.55,0.6168,0.4339
0.5525,0.6168,0.4337
0.5525,0.6198,0.4337
0.555,0.6198,0.4335
0.555,0.6347,0.4321
0.56,0.6347,0.4316
0.56,0.6407,0.4311
0.5625,0.6407,0.4308
0.5625,0.6437,0.4307
0.565,0.6437,0.4306
0.565,0.6467,0.4303
0.5725,0.6467,0.4301
0.5725,0.6497,0.4299
0.575,0.6497,0.4297
0.575,0.6557,0.4295
0.5775,0.6557,0.4294
0.5775,0.6707,0.4286
0.58,0.6707,0.4285
0.58,0.6796,0.4281
0.5825,0.6796,0.4279
0.5825,0.6946,0.4259
0.5875,0.6946,0.4256
0.5875,0.7006,0.4254
0.595,0.7006,0.4245
0.595,0.7066,0.4242
0.5975,0.7066,0.4242
0.5975,0.7096,0.4236
0.6025,0.7096,0.4234
0.6025,0.7126,0.4233
0.6075,0.7126,0.423
0.6075,0.7156,0.4229
0.6175,0.7156,0.4224
0.6175,0.7246,0.4215
0.6225,0.7246,0.4206
0.6225,0.7275,0.4205
0.625,0.7275,0.4201
0.625,0.7305,0.4198
0.63,0.7305,0.4194
0.63,0.7335,0.4192
0.635,0.7335,0.4192
0.635,0.7365,0.419
0.65,0.7365,0.418
0.65,0.7545,0.4156
0.655,0.7545,0.4154
0.655,0.7575,0.4153
0.6625,0.7575,0.414
0.6625,0.7605,0.4136
0.6675,0.7605,0.4136
0.6675,0.7635,0.4135
0.6725,0.7635,0.4129
0.6725,0.7665,0.4128
0.675,0.7665,0.4127
0.675,0.7695,0.4122
0.68,0.7695,0.412
0.68,0.7754,0.4117
0.6825,0.7754,0.4117
0.6825,0.7814,0.4116
0.685,0.7814,0.4115
0.685,0.7844,0.4113
0.69,0.7844,0.4111
0.69,0.7874,0.4105
0.7075,0.7874,0.4088
0.7075,0.7904,0.4088
0.7125,0.7904,0.4086
0.7125,0.7934,0.4083
0.72,0.7934,0.4078
0.72,0.7964,0.4068
0.7225,0.7964,0.4068
0.7225,0.8054,0.4062
0.7325,0.8054,0.4052
0.7325,0.8114,0.405
0.735,0.8114,0.4047
0.735,0.8144,0.4044
0.74,0.8144,0.4035
0.74,0.8234,0.4029
0.7525,0.8234,0.4016
0.7525,0.8263,0.4016
0.755,0.8263,0.4009
0.755,0.8323,0.4009
0.765,0.8323,0.4001
0.765,0.8353,0.3998
0.77,0.8353,0.3996
0.77,0.8383,0.3992
0.7775,0.8383,0.3988
0.7775,0.8413,0.3988
0.78,0.8413,0.3988
0.78,0.8473,0.3982
0.7825,0.8473,0.3981
0.7825,0.8503,0.3976
0.785,0.8503,0.397
0.785,0.8533,0.3964
0.7975,0.8533,0.3955
0.7975,0.8563,0.3953
0.8,0.8563,0.3951
0.8,0.8683,0.3941
0.815,0.8683,0.3938
0.815,0.8713,0.3937
0.8225,0.8713,0.3926
0.8225,0.8743,0.3922
0.835,0.8743,0.3912
0.835,0.8772,0.3912
0.8425,0.8772,0.3908
0.8425,0.8832,0.3902
0.845,0.8832,0.3897
0.845,0.8862,0.3895
0.8525,0.8862,0.3887
0.8525,0.8892,0.3886
0.855,0.8892,0.3882
0.855,0.8922,0.3881
