precision,recall,threshold
0.455,1.0,0.1996
0.4557,1.0,0.2423
0.4563,1.0,0.254
0.4555,0.997,0.2605
0.4562,0.997,0.2641
0.4568,0.997,0.2678
0.456,0.994,0.2696
0.4553,0.991,0.2717
0.4559,0.991,0.2745
0.4566,0.991,0.2801
0.4572,0.991,0.2844
0.4578,0.991,0.2858
0.4584,0.991,0.2864
0.4577,0.988,0.2867
0.4583,0.988,0.2894
0.459,0.988,0.2898
0.4596,0.988,0.2914
0.4603,0.988,0.294
0.4595,0.985,0.2954
0.4587,0.982,0.2976
0.458,0.979,0.2999
0.4586,0.979,0.3004
0.4579,0.976,0.3031
0.4571,0.9731,0.3072
0.4577,0.9731,0.3085
0.457,0.9701,0.3106
0.4562,0.9671,0.3134
0.4554,0.9641,0.3142
0.4561,0.9641,0.3151
0.4567,0.9641,0.3159
0.456,0.9611,0.316
0.4566,0.9611,0.3161
0.4573,0.9611,0.3164
0.4579,0.9611,0.3165
0.4586,0.9611,0.3177
0.4592,0.9611,0.3178
0.4585,0.9581,0.3179
0.4591,0.9581,0.3185
0.4583,0.9551,0.3185
0.459,0.9551,0.321
0.4582,0.9521,0.3222
0.4574,0.9491,0.3233
0.4566,0.9461,0.3271
0.4573,0.9461,0.3276
0.458,0.9461,0.3296
0.4586,0.9461,0.3297
0.4593,0.9461,0.33
0.46,0.9461,0.3314
0.4606,0.9461,0.3339
0.4613,0.9461,0.3341
0.462,0.9461,0.335
0.4612,0.9431,0.336
0.4619,0.9431,0.3362
0.4611,0.9401,0.3366
0.4618,0.9401,0.3384
0.4624,0.9401,0.3385
0.4631,0.9401,0.3396
0.4638,0.9401,0.3402
0.463,0.9371,0.342
0.4637,0.9371,0.342
0.4629,0.9341,0.3427
0.4621,0.9311,0.3446
0.4628,0.9311,0.345
0.4635,0.9311,0.3453
0.4627,0.9281,0.3457
0.4634,0.9281,0.3464
0.4626,0.9251,0.3479
0.4618,0.9222,0.3496
0.461,0.9192,0.3497
0.4602,0.9162,0.3497
0.4608,0.9162,0.3498
0.46,0.9132,0.35
0.4607,0.9132,0.3502
0.4614,0.9132,0.3502
0.4621,0.9132,0.3502
0.4628,0.9132,0.3506
0.462,0.9102,0.3508
