fpr,tpr,threshold
0.0,0.0,inf
0.0,0.003,0.6937
0.005,0.003,0.6539
0.005,0.006,0.6536
0.0075,0.006,0.6489
0.0075,0.009,0.6475
0.01,0.009,0.6408
0.01,0.012,0.6388
0.0125,0.012,0.6375
0.0125,0.015,0.636
0.015,0.015,0.6342
0.015,0.018,0.6327
0.0175,0.018,0.6326
0.0175,0.021,0.6318
0.0225,0.021,0.6173
0.0225,0.024,0.6165
0.0275,0.024,0.6143
0.0275,0.0299,0.6114
0.0325,0.0299,0.6038
0.0325,0.0389,0.5996
0.035,0.0389,0.5989
0.035,0.0419,0.5953
0.0375,0.0419,0.5947
0.0375,0.0449,0.5913
0.04,0.0449,0.5913
0.04,0.0479,0.589
0.045,0.0479,0.5849
0.045,0.0509,0.5841
0.05,0.0509,0.5837
0.05,0.0569,0.5832
0.0525,0.0569,0.5808
0.0525,0.0629,0.5805
0.065,0.0629,0.576
0.065,0.0689,0.5744
0.07,0.0689,0.5732
0.07,0.0719,0.5683
0.0725,0.0719,0.5669
0.0725,0.0808,0.5645
0.075,0.0808,0.5633
0.075,0.0868,0.5625
0.0775,0.0868,0.5619
0.0775,0.0988,0.5579
0.08,0.0988,0.5576
0.08,0.1048,0.556
0.0825,0.1048,0.5556
0.0825,0.1078,0.5544
0.085,0.1078,0.554
0.085,0.1198,0.553
0.09,0.1198,0.5526
0.09,0.1228,0.5524
0.0925,0.1228,0.5514
0.0925,0.1317,0.5506
0.095,0.1317,0.5503
0.095,0.1347,0.5501
0.1025,0.1347,0.5491
0.1025,0.1377,0.5483
0.105,0.1377,0.5459
0.105,0.1497,0.5439
0.1125,0.1497,0.5428
0.1125,0.1527,0.5428
0.115,0.1527,0.5418
0.115,0.1587,0.5412
0.1175,0.1587,0.5407
0.1175,0.1617,0.5401
0.1225,0.1617,0.5395
0.1225,0.1647,0.5387
0.13,0.1647,0.538
0.13,0.1707,0.537
0.14,0.1707,0.5353
0.14,0.1737,0.5353
0.1475,0.1737,0.5341
0.1475,0.1766,0.5335
0.15,0.1766,0.5327
0.15,0.1796,0.5326
0.155,0.1796,0.531
0.155,0.1826,0.5307
0.16,0.1826,0.53
0.16,0.1856,0.5299
0.165,0.1856,0.5293
0.165,0.1886,0.5285
0.17,0.1886,0.5269
0.17,0.1916,0.5267
0.175,0.1916,0.5256
0.175,0.1976,0.5252
0.1775,0.1976,0.5247
0.1775,0.2036,0.5238
0.18,0.2036,0.523
0.18,0.2096,0.5217
0.19,0.2096,0.5207
0.19,0.2126,0.5203
0.2,0.2126,0.5193
0.2,0.2186,0.5187
0.2075,0.2186,0.5184
0.2075,0.2216,0.518
0.21,0.2216,0.5178
0.21,0.2246,0.5176
0.2175,0.2246,0.515
0.2175,0.2305,0.5147
0.22,0.2305,0.5145
0.22,0.2425,0.5139
0.2225,0.2425,0.5138
0.2225,0.2455,0.5138
0.225,0.2455,0.5134
0.225,0.2695,0.5113
