feature,baseline_log_loss,log_loss_without,log_loss_delta,baseline_auc,auc_without,auc_delta
home_bat_iso,0.690261,0.696704,0.006443,0.540592,0.497187,-0.043405
away_xwoba_against,0.690261,0.693861,0.0036,0.540592,0.51391,-0.026681
home_hard_hit_pct,0.690261,0.693304,0.003043,0.540592,0.517161,-0.02343
home_bat_hard_hit_pct,0.690261,0.693288,0.003027,0.540592,0.514628,-0.025964
home_k_rate,0.690261,0.693054,0.002793,0.540592,0.523715,-0.016877
home_bb_rate,0.690261,0.692975,0.002714,0.540592,0.522979,-0.017613
away_k_rate,0.690261,0.692887,0.002627,0.540592,0.520916,-0.019676
home_fb_velo,0.690261,0.692846,0.002586,0.540592,0.516247,-0.024344
home_hr_rate,0.690261,0.692635,0.002375,0.540592,0.521899,-0.018693
away_is_lefty,0.690261,0.6923,0.00204,0.540592,0.518897,-0.021695
away_bb_rate,0.690261,0.692145,0.001884,0.540592,0.530221,-0.01037
is_coors,0.690261,0.69213,0.00187,0.540592,0.526515,-0.014077
away_days_rest,0.690261,0.692094,0.001834,0.540592,0.519871,-0.02072
home_days_rest,0.690261,0.691914,0.001653,0.540592,0.521096,-0.019496
away_L10_ra,0.690261,0.691907,0.001646,0.540592,0.530537,-0.010054
home_bat_k_rate,0.690261,0.691859,0.001599,0.540592,0.521273,-0.019319
wind_mph,0.690261,0.691826,0.001566,0.540592,0.529536,-0.011055
wind_out_factor,0.690261,0.69169,0.001429,0.540592,0.527999,-0.012592
away_fip,0.690261,0.691649,0.001388,0.540592,0.519703,-0.020889
away_L10_rs,0.690261,0.691523,0.001262,0.540592,0.529717,-0.010875
away_bat_iso,0.690261,0.691514,0.001254,0.540592,0.528143,-0.012449
away_L10_wr,0.690261,0.691503,0.001242,0.540592,0.527592,-0.012999
home_L10_ra,0.690261,0.691451,0.00119,0.540592,0.520986,-0.019605
home_fip,0.690261,0.691449,0.001188,0.540592,0.523001,-0.017591
home_bat_woba,0.690261,0.691447,0.001186,0.540592,0.521948,-0.018643
away_fb_velo,0.690261,0.691411,0.00115,0.540592,0.526581,-0.01401
home_xwoba_against,0.690261,0.691158,0.000898,0.540592,0.529178,-0.011414
away_hr_rate,0.690261,0.691111,0.000851,0.540592,0.531378,-0.009214
away_bat_k_rate,0.690261,0.691041,0.000781,0.540592,0.536091,-0.0045
home_is_lefty,0.690261,0.690917,0.000656,0.540592,0.528232,-0.01236
park_factor,0.690261,0.690622,0.000362,0.540592,0.535564,-0.005028
temp_f,0.690261,0.690471,0.00021,0.540592,0.537241,-0.003351
away_hard_hit_pct,0.690261,0.690444,0.000184,0.540592,0.532973,-0.007619
is_dome,0.690261,0.69027,1e-05,0.540592,0.532906,-0.007686
away_bat_woba,0.690261,0.690268,7e-06,0.540592,0.530592,-0.009999
away_bat_hard_hit_pct,0.690261,0.690087,-0.000174,0.540592,0.538441,-0.002151
home_L10_rs,0.690261,0.690072,-0.000189,0.540592,0.535777,-0.004814
home_L10_wr,0.690261,0.688813,-0.001448,0.540592,0.537681,-0.002911
