feature,gain,gain_rank,permutation_importance,permutation_rank,mean_abs_shap,shap_rank,lofo_log_loss_delta,lofo_auc_delta,lofo_rank,mean_rank
away_bullpen_bb_rate_season,502.3138909339905,2,0.0022496243774210445,1,0.04961141578176152,1,-0.008516,0.028736,7.0,2.75
home_bullpen_bb_rate_season,371.8701105117798,4,0.0003922136142756605,9,0.02884491575767071,3,-0.009726,0.034785,4.0,5.0
home_pitch_mix_x_lineup_matchup,275.1252496242523,12,0.0007731704474906564,3,0.023808719734918646,4,0.009791,-0.024652,3.0,5.5
home_bullpen_era_season,289.8086278438568,10,0.0005935194943153088,5,0.02341819923659798,5,-0.008771,0.031307,6.0,6.5
away_fb_velo,301.35228061676025,8,-0.00036669696639641814,11,0.017926633976717978,7,-0.008327,0.027828,8.0,8.5
away_lineup_woba_vs_pitcher_hand,327.96152210235596,6,-0.0008349864787479011,2,0.018468311897836313,6,-0.003336,0.016485,20.0,8.5
home_L10_ra,214.37105226516724,18,0.0004523422067675309,7,0.01634668838338567,9,-0.007593,0.021779,10.0,11.0
away_bat_woba,322.40880966186523,7,-0.0002487544363263927,15,0.017857407442887344,8,-0.004434,0.014973,19.0,12.25
home_bullpen_whip_30d,215.50905084609985,17,0.0007228766189195212,4,0.00804304797647464,19,-0.006549,0.026618,12.0,13.0
home_bat_iso,351.92640590667725,5,-0.00020473424317845045,17,0.0077253051029548495,22,,,,14.67
away_bullpen_xfip_30d,219.68354892730713,15,-0.00019471779399465872,19,0.011691266782926975,11,-0.00473,0.014973,18.0,15.75
away_bullpen_k_rate_season,226.27062940597534,13,-0.0003225214267659982,12,0.00708420682324804,29,-0.006539,0.026467,13.0,16.75
away_bat_hard_hit_pct,277.12048625946045,11,-0.00012920615598615014,31,0.011135546097850254,13,-0.005403,0.016334,14.0,17.25
home_fb_velo,161.91492176055908,31,-0.0005097696383147166,6,0.009871517117942,16,-0.004826,0.016636,17.0,17.5
away_lineup_strength_vs_pitcher_hand,210.31428003311157,19,-0.00042373415043875926,8,0.0071079421335133765,27,-0.004837,0.019661,16.0,17.5
away_lineup_bb_rate_vs_pitcher_hand,170.49066019058228,28,0.00019707210034068944,18,0.011250862434390234,12,-0.005329,0.022081,15.0,18.25
away_L10_rs,157.6731195449829,33,0.0003745677233762179,10,0.007850656500679714,20,-0.006963,0.031004,11.0,18.5
away_hard_hit_pct,297.6318197250366,9,6.985478299765812e-05,52,0.013696001904731657,10,-0.00893,0.03176,5.0,19.0
home_lineup_k_rate_vs_pitcher_hand,218.7378807067871,16,0.0001878411601038632,20,0.0077214376865286346,23,,,,19.67
away_k_rate,400.88472175598145,3,1.0515487110862587e-05,75,0.03484503839825107,2,-0.008293,0.026618,9.0,22.25
home_bat_k_rate,173.86421060562134,26,0.0002388631030886823,16,0.007199401913418938,25,,,,22.33
temp_f,534.6402983665466,1,1.0724159495456575e-05,74,0.010811823332033763,14,-0.013192,0.052632,2.0,22.75
home_bullpen_xfip_season,199.27109837532043,21,0.0002704020733242607,14,0.005131169351475882,40,,,,25.0
away_bb_rate,197.31101989746094,22,-0.0001505908842771464,27,0.007101758899584104,28,,,,25.67
away_bullpen_xfip_season,154.66693210601807,35,0.0003089127009125225,13,0.002947927991724317,60,-0.015989,0.057471,1.0,27.25
home_lineup_woba_vs_pitcher_hand,171.05236053466797,27,0.00015336214129155757,25,0.006003320751118203,33,,,,28.33
home_lineup_hard_hit_vs_pitcher_hand,196.31523942947388,23,-0.00011047336958253107,41,0.007322584711332208,24,,,,29.33
