feature,gain,gain_pct
temp_f,534.6402983665466,4.2
away_bullpen_bb_rate_season,502.3138909339905,3.94
away_k_rate,400.88472175598145,3.15
home_bullpen_bb_rate_season,371.8701105117798,2.92
home_bat_iso,351.92640590667725,2.76
away_lineup_woba_vs_pitcher_hand,327.96152210235596,2.58
away_bat_woba,322.40880966186523,2.53
away_fb_velo,301.35228061676025,2.37
away_hard_hit_pct,297.6318197250366,2.34
home_bullpen_era_season,289.8086278438568,2.28
away_bat_hard_hit_pct,277.12048625946045,2.18
home_pitch_mix_x_lineup_matchup,275.1252496242523,2.16
away_bullpen_k_rate_season,226.27062940597534,1.78
park_factor,220.9038782119751,1.73
away_bullpen_xfip_30d,219.68354892730713,1.73
home_lineup_k_rate_vs_pitcher_hand,218.7378807067871,1.72
home_bullpen_whip_30d,215.50905084609985,1.69
home_L10_ra,214.37105226516724,1.68
away_lineup_strength_vs_pitcher_hand,210.31428003311157,1.65
home_bat_hard_hit_pct,199.72879934310913,1.57
home_bullpen_xfip_season,199.27109837532043,1.56
away_bb_rate,197.31101989746094,1.55
home_lineup_hard_hit_vs_pitcher_hand,196.31523942947388,1.54
home_lineup_iso_vs_pitcher_hand,182.28721046447754,1.43
wind_mph,179.37546825408936,1.41
home_bat_k_rate,173.86421060562134,1.37
home_lineup_woba_vs_pitcher_hand,171.05236053466797,1.34
away_lineup_bb_rate_vs_pitcher_hand,170.49066019058228,1.34
home_platoon_advantage_score,166.50504112243652,1.31
away_bullpen_hr_rate_season,164.88541984558105,1.29
home_fb_velo,161.91492176055908,1.27
away_platoon_advantage_score,161.68962860107422,1.27
away_L10_rs,157.6731195449829,1.24
home_hr_rate,157.09772157669067,1.23
away_bullpen_xfip_season,154.66693210601807,1.21
home_fip,154.32025909423828,1.21
away_bullpen_whip_season,154.2518904209137,1.21
away_bullpen_fip_30d,148.98745965957642,1.17
home_bullpen_xfip_30d,146.79246044158936,1.15
home_k_rate,139.11263799667358,1.09
away_bat_iso,138.94415163993835,1.09
home_bat_woba,136.54244112968445,1.07
home_hard_hit_pct,133.43065977096558,1.05
away_bat_k_rate,133.1665906906128,1.05
away_lineup_iso_vs_pitcher_hand,131.8016390800476,1.03
away_xwoba_against,130.2351098060608,1.02
home_bullpen_fatigue_x_sp_innings_remaining_x_rest,129.9384593963623,1.02
away_bullpen_fip_season,123.43411111831665,0.97
wind_out_factor,120.23896980285645,0.94
away_lineup_k_rate_vs_pitcher_hand,118.8890609741211,0.93
home_lineup_bb_rate_vs_pitcher_hand,117.2619400024414,0.92
away_bullpen_pitches_7d,112.58306121826172,0.88
away_bullpen_era_30d,112.49437999725342,0.88
away_L10_ra,111.78044891357422,0.88
home_bb_rate,111.77637100219727,0.88
home_bullpen_pitches_7d,108.78762006759644,0.85
away_bullpen_fatigue_x_sp_innings_remaining_x_rest,104.8932695388794,0.82
away_fip,99.20563077926636,0.78
away_bullpen_whip_30d,97.0014009475708,0.76
away_bullpen_era_season,83.91441059112549,0.66
home_bullpen_k_rate_season,80.0937716960907,0.63
away_hr_rate,79.88052034378052,0.63
home_days_rest,73.86897945404053,0.58
home_bullpen_hr_rate_season,71.71396923065186,0.56
away_L10_wr,68.97241973876953,0.54
home_bullpen_era_30d,67.5098192691803,0.53
home_bullpen_whip_season,63.283159255981445,0.5
home_fb_rate_x_wind_out,63.013330936431885,0.49
away_lineup_hard_hit_vs_pitcher_hand,62.81869983673096,0.49
home_L10_rs,59.70038080215454,0.47
home_xwoba_against,52.09562969207764,0.41
away_pitch_mix_x_lineup_matchup,51.722710609436035,0.41
home_bullpen_fip_30d,51.35270023345947,0.4
home_bullpen_fip_season,47.117079973220825,0.37
home_lineup_strength_vs_pitcher_hand,40.1412296295166,0.32
away_fb_rate_x_wind_out,32.255070209503174,0.25
home_L10_wr,24.39435052871704,0.19
away_bullpen_availability_score,21.142939567565918,0.17
away_is_lefty,17.758570194244385,0.14
away_days_rest,16.390530586242676,0.13
home_is_lefty,11.7253999710083,0.09
home_bullpen_availability_score,5.110270023345947,0.04
is_dome,0.0,0.0
is_coors,0.0,0.0
home_bullpen_fatigue_score,0.0,0.0
away_bullpen_fatigue_score,0.0,0.0
