feature,baseline_log_loss,log_loss_without,log_loss_delta,baseline_auc,auc_without,auc_delta
home_pitch_mix_x_lineup_matchup,0.686136,0.695926,0.009791,0.555354,0.530702,-0.024652
away_lineup_woba_vs_pitcher_hand,0.686136,0.682799,-0.003336,0.555354,0.571839,0.016485
away_bat_woba,0.686136,0.681701,-0.004434,0.555354,0.570327,0.014973
away_bullpen_xfip_30d,0.686136,0.681406,-0.00473,0.555354,0.570327,0.014973
home_fb_velo,0.686136,0.681309,-0.004826,0.555354,0.57199,0.016636
away_lineup_strength_vs_pitcher_hand,0.686136,0.681298,-0.004837,0.555354,0.575015,0.019661
away_lineup_bb_rate_vs_pitcher_hand,0.686136,0.680807,-0.005329,0.555354,0.577435,0.022081
away_bat_hard_hit_pct,0.686136,0.680733,-0.005403,0.555354,0.571688,0.016334
away_bullpen_k_rate_season,0.686136,0.679597,-0.006539,0.555354,0.581821,0.026467
home_bullpen_whip_30d,0.686136,0.679587,-0.006549,0.555354,0.581972,0.026618
away_L10_rs,0.686136,0.679173,-0.006963,0.555354,0.586358,0.031004
home_L10_ra,0.686136,0.678543,-0.007593,0.555354,0.577132,0.021779
away_k_rate,0.686136,0.677843,-0.008293,0.555354,0.581972,0.026618
away_fb_velo,0.686136,0.677809,-0.008327,0.555354,0.583182,0.027828
away_bullpen_bb_rate_season,0.686136,0.67762,-0.008516,0.555354,0.58409,0.028736
home_bullpen_era_season,0.686136,0.677365,-0.008771,0.555354,0.586661,0.031307
away_hard_hit_pct,0.686136,0.677206,-0.00893,0.555354,0.587114,0.03176
home_bullpen_bb_rate_season,0.686136,0.67641,-0.009726,0.555354,0.590139,0.034785
temp_f,0.686136,0.672944,-0.013192,0.555354,0.607985,0.052632
away_bullpen_xfip_season,0.686136,0.670146,-0.015989,0.555354,0.612825,0.057471
