precision,recall,threshold
0.4509,1.0,0.3534
0.4514,1.0,0.3612
0.452,1.0,0.3622
0.4513,0.9973,0.3643
0.4519,0.9973,0.3659
0.4524,0.9973,0.3681
0.4517,0.9946,0.3707
0.4511,0.9918,0.372
0.4516,0.9918,0.373
0.4522,0.9918,0.373
0.4527,0.9918,0.3737
0.4521,0.9891,0.3764
0.4526,0.9891,0.3767
0.4532,0.9891,0.377
0.4537,0.9891,0.3787
0.4531,0.9864,0.3794
0.4524,0.9837,0.3795
0.4517,0.9809,0.3815
0.451,0.9782,0.3819
0.4516,0.9782,0.3834
0.4521,0.9782,0.3836
0.4515,0.9755,0.3845
0.4508,0.9728,0.3846
0.4513,0.9728,0.3847
0.4519,0.9728,0.3851
0.4512,0.97,0.3853
0.4505,0.9673,0.3858
0.4511,0.9673,0.3859
0.4517,0.9673,0.3863
0.451,0.9646,0.3866
0.4515,0.9646,0.3868
0.4521,0.9646,0.3875
0.4514,0.9619,0.3878
0.452,0.9619,0.3884
0.4526,0.9619,0.389
0.4531,0.9619,0.3892
0.4537,0.9619,0.3892
0.4543,0.9619,0.3892
0.4549,0.9619,0.3894
0.4542,0.9591,0.3898
0.4535,0.9564,0.3914
0.4541,0.9564,0.3926
0.4547,0.9564,0.3926
0.454,0.9537,0.3928
0.4532,0.951,0.3938
0.4538,0.951,0.394
0.4544,0.951,0.3943
0.455,0.951,0.3944
0.4556,0.951,0.3947
0.4562,0.951,0.3951
0.4568,0.951,0.3952
0.4574,0.951,0.3955
0.4567,0.9482,0.3955
0.4573,0.9482,0.3957
0.4579,0.9482,0.396
0.4585,0.9482,0.396
0.4578,0.9455,0.3962
0.4571,0.9428,0.3962
0.4577,0.9428,0.3964
0.457,0.9401,0.3967
0.4576,0.9401,0.3969
0.4568,0.9373,0.397
0.4574,0.9373,0.3973
0.4581,0.9373,0.3975
0.4587,0.9373,0.3976
0.4593,0.9373,0.3976
0.4599,0.9373,0.3976
0.4605,0.9373,0.3977
0.4611,0.9373,0.3978
0.4617,0.9373,0.3979
0.461,0.9346,0.398
0.4603,0.9319,0.3983
0.4596,0.9292,0.3997
0.4602,0.9292,0.4001
0.4608,0.9292,0.4001
0.4614,0.9292,0.4003
0.4607,0.9264,0.4004
0.46,0.9237,0.4005
0.4606,0.9237,0.4006
0.4612,0.9237,0.4012
0.4605,0.921,0.4015
0.4611,0.921,0.4015
0.4604,0.9183,0.4015
0.461,0.9183,0.4019
0.4616,0.9183,0.4019
0.4609,0.9155,0.4024
0.4615,0.9155,0.403
