fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0027,0.5496
0.0022,0.0027,0.5289
0.0022,0.0082,0.5244
0.0045,0.0082,0.521
0.0045,0.0163,0.5197
0.0089,0.0163,0.5167
0.0089,0.0245,0.5116
0.0179,0.0245,0.5093
0.0179,0.0327,0.5075
0.0201,0.0327,0.5062
0.0201,0.0381,0.5046
0.0268,0.0381,0.5032
0.0268,0.0436,0.5025
0.0358,0.0436,0.5002
0.0358,0.0463,0.5
0.038,0.0463,0.4997
0.038,0.049,0.4996
0.0403,0.049,0.4994
0.0403,0.0518,0.4992
0.047,0.0518,0.498
0.047,0.0708,0.4962
0.0492,0.0708,0.4958
0.0492,0.0736,0.4954
0.0537,0.0736,0.4945
0.0537,0.079,0.4935
0.0559,0.079,0.4934
0.0559,0.0817,0.4933
0.0582,0.0817,0.4922
0.0582,0.0845,0.4915
0.0604,0.0845,0.4911
0.0604,0.0872,0.4907
0.0671,0.0872,0.489
0.0671,0.0926,0.4885
0.0694,0.0926,0.4884
0.0694,0.0981,0.4882
0.0761,0.0981,0.4865
0.0761,0.1035,0.486
0.0805,0.1035,0.4855
0.0805,0.1063,0.4846
0.0828,0.1063,0.4846
0.0828,0.109,0.4845
0.0872,0.109,0.4832
0.0872,0.1117,0.4829
0.0895,0.1117,0.4828
0.0895,0.1144,0.4823
0.0917,0.1144,0.4818
0.0917,0.1172,0.4811
0.094,0.1172,0.4809
0.094,0.1226,0.4802
0.0984,0.1226,0.4797
0.0984,0.1281,0.4794
0.1029,0.1281,0.4789
0.1029,0.1308,0.4787
0.1074,0.1308,0.4782
0.1074,0.1335,0.4779
0.1119,0.1335,0.4778
0.1119,0.1471,0.4757
0.1141,0.1471,0.4757
0.1141,0.1499,0.4747
0.1208,0.1499,0.4736
0.1208,0.1717,0.472
0.1298,0.1717,0.4711
0.1298,0.1771,0.4708
0.1544,0.1771,0.4693
0.1544,0.188,0.4687
0.1588,0.188,0.4683
0.1588,0.1907,0.4683
0.1655,0.1907,0.468
0.1655,0.2016,0.4674
0.1678,0.2016,0.4672
0.1678,0.2044,0.4672
0.17,0.2044,0.4671
0.17,0.2071,0.467
0.1767,0.2071,0.4662
0.1767,0.2098,0.4661
0.1812,0.2098,0.466
0.1812,0.2125,0.4659
0.1834,0.2125,0.4659
0.1834,0.2153,0.4658
0.1879,0.2153,0.4651
0.1879,0.218,0.465
0.1924,0.218,0.4649
0.1924,0.2207,0.4648
0.1946,0.2207,0.4646
0.1946,0.2234,0.4645
0.1969,0.2234,0.4644
0.1969,0.2262,0.464
0.1991,0.2262,0.464
0.1991,0.2316,0.4639
0.2036,0.2316,0.4638
0.2036,0.2371,0.4636
0.2081,0.2371,0.4635
0.2081,0.2425,0.4633
0.2125,0.2425,0.4628
0.2125,0.2452,0.4624
0.2148,0.2452,0.4623
0.2148,0.248,0.4622
0.217,0.248,0.462
0.217,0.2507,0.4616
0.2192,0.2507,0.4616
0.2192,0.2561,0.4613
0.2215,0.2561,0.4613
0.2215,0.2589,0.4612
0.2237,0.2589,0.4611
0.2237,0.2643,0.4609
0.226,0.2643,0.4607
0.226,0.267,0.4605
0.2304,0.267,0.4603
0.2304,0.2752,0.4596
0.2349,0.2752,0.4595
0.2349,0.2779,0.4594
0.2416,0.2779,0.4592
0.2416,0.2807,0.4591
0.2438,0.2807,0.459
0.2438,0.2834,0.4588
0.2461,0.2834,0.4588
0.2461,0.2916,0.4586
0.2506,0.2916,0.4585
0.2506,0.297,0.4584
0.2528,0.297,0.4584
0.2528,0.3188,0.4575
0.2595,0.3188,0.4569
0.2595,0.3215,0.4569
0.2685,0.3215,0.4566
0.2685,0.3351,0.4557
0.2752,0.3351,0.4553
0.2752,0.3379,0.455
0.2841,0.3379,0.4548
0.2841,0.3433,0.4545
0.2886,0.3433,0.4544
0.2886,0.346,0.4541
0.2931,0.346,0.4539
0.2931,0.3488,0.4538
0.2998,0.3488,0.4536
0.2998,0.3542,0.4532
0.3043,0.3542,0.453
0.3043,0.3569,0.4529
0.3065,0.3569,0.4529
0.3065,0.3597,0.4529
0.311,0.3597,0.4526
0.311,0.3678,0.4524
0.3132,0.3678,0.4521
0.3132,0.376,0.452
0.3154,0.376,0.4517
0.3154,0.3787,0.4516
0.3177,0.3787,0.4515
0.3177,0.3869,0.4513
0.3199,0.3869,0.4513
0.3199,0.3924,0.451
0.3356,0.3924,0.4498
0.3356,0.406,0.4492
0.3378,0.406,0.4492
0.3378,0.4114,0.4491
0.34,0.4114,0.449
0.34,0.4142,0.449
0.3445,0.4142,0.4489
0.3445,0.4223,0.4487
0.349,0.4223,0.4486
0.349,0.4278,0.4486
0.3512,0.4278,0.4484
0.3512,0.4305,0.4483
0.3535,0.4305,0.4483
0.3535,0.4387,0.4479
0.3557,0.4387,0.4478
0.3557,0.4414,0.4477
0.3647,0.4414,0.4473
0.3647,0.4496,0.4469
0.3691,0.4496,0.4466
0.3691,0.4605,0.4465
0.3714,0.4605,0.4464
0.3714,0.4659,0.4462
0.3736,0.4659,0.4462
0.3736,0.4687,0.4461
0.3758,0.4687,0.4459
0.3758,0.4714,0.4459
0.3803,0.4714,0.4456
0.3803,0.4741,0.4455
0.3848,0.4741,0.4453
0.3848,0.4768,0.4453
0.3937,0.4768,0.4447
0.3937,0.4796,0.4447
0.396,0.4796,0.4444
0.396,0.4877,0.4442
0.3982,0.4877,0.4441
0.3982,0.4932,0.4439
0.4004,0.4932,0.4439
0.4004,0.4986,0.4437
0.4049,0.4986,0.4432
0.4049,0.5014,0.4431
0.4116,0.5014,0.4426
0.4116,0.5041,0.4426
0.4183,0.5041,0.4422
0.4183,0.5095,0.4422
0.4251,0.5095,0.4421
0.4251,0.5177,0.4418
0.4362,0.5177,0.4415
0.4362,0.5204,0.4415
0.4385,0.5204,0.4415
0.4385,0.5259,0.4413
0.4407,0.5259,0.4412
0.4407,0.5286,0.441
0.4452,0.5286,0.4409
0.4452,0.5313,0.4409
