feature,mean_abs_shap,shap_method
away_bullpen_bb_rate_season,0.04961141578176152,tree
away_k_rate,0.03484503839825107,tree
home_bullpen_bb_rate_season,0.02884491575767071,tree
home_pitch_mix_x_lineup_matchup,0.023808719734918646,tree
home_bullpen_era_season,0.02341819923659798,tree
away_lineup_woba_vs_pitcher_hand,0.018468311897836313,tree
away_fb_velo,0.017926633976717978,tree
away_bat_woba,0.017857407442887344,tree
home_L10_ra,0.01634668838338567,tree
away_hard_hit_pct,0.013696001904731657,tree
away_bullpen_xfip_30d,0.011691266782926975,tree
away_lineup_bb_rate_vs_pitcher_hand,0.011250862434390234,tree
away_bat_hard_hit_pct,0.011135546097850254,tree
temp_f,0.010811823332033763,tree
away_bullpen_hr_rate_season,0.009910897215523547,tree
home_fb_velo,0.009871517117942,tree
away_bullpen_fip_season,0.009691442446846183,tree
home_bullpen_fatigue_x_sp_innings_remaining_x_rest,0.008410351734453836,tree
home_bullpen_whip_30d,0.00804304797647464,tree
away_L10_rs,0.007850656500679714,tree
away_bullpen_whip_30d,0.007817881378822132,tree
home_bat_iso,0.0077253051029548495,tree
home_lineup_k_rate_vs_pitcher_hand,0.0077214376865286346,tree
home_lineup_hard_hit_vs_pitcher_hand,0.007322584711332208,tree
home_bat_k_rate,0.007199401913418938,tree
away_bullpen_fip_30d,0.00712224775321415,tree
away_lineup_strength_vs_pitcher_hand,0.0071079421335133765,tree
away_bb_rate,0.007101758899584104,tree
away_bullpen_k_rate_season,0.00708420682324804,tree
away_platoon_advantage_score,0.0063160278805031375,tree
away_bullpen_whip_season,0.006086057921904276,tree
home_k_rate,0.0060075770439391085,tree
home_lineup_woba_vs_pitcher_hand,0.006003320751118203,tree
home_bullpen_whip_season,0.005957553506585595,tree
home_lineup_iso_vs_pitcher_hand,0.005750634500762716,tree
home_fip,0.005535101474477695,tree
away_bullpen_era_30d,0.005511616934649968,tree
home_bb_rate,0.00530788401742178,tree
away_bullpen_era_season,0.005176607984464508,tree
home_bullpen_xfip_season,0.005131169351475882,tree
park_factor,0.00505010071653137,tree
away_bat_iso,0.004995280104695291,tree
away_bullpen_fatigue_x_sp_innings_remaining_x_rest,0.004977380075107223,tree
home_bullpen_xfip_30d,0.0046990708815870755,tree
home_bat_hard_hit_pct,0.004695634750001145,tree
home_platoon_advantage_score,0.00466643155533044,tree
away_fip,0.004505873431265875,tree
away_xwoba_against,0.004465194376947724,tree
home_hr_rate,0.00421171584903319,tree
home_days_rest,0.004122108090965143,tree
away_lineup_iso_vs_pitcher_hand,0.00410829937040962,tree
away_lineup_k_rate_vs_pitcher_hand,0.00399224492658644,tree
home_bat_woba,0.0035642402139431035,tree
wind_out_factor,0.003248738421609625,tree
away_bullpen_pitches_7d,0.003168646338946093,tree
wind_mph,0.003064392455668823,tree
away_pitch_mix_x_lineup_matchup,0.003045171188959917,tree
home_xwoba_against,0.0029930154567140792,tree
home_bullpen_pitches_7d,0.0029485248568510572,tree
away_bullpen_xfip_season,0.002947927991724317,tree
home_hard_hit_pct,0.0028469518169293366,tree
away_L10_wr,0.002795724267249543,tree
home_lineup_bb_rate_vs_pitcher_hand,0.0027276472316944337,tree
home_fb_rate_x_wind_out,0.0026973995450477,tree
away_L10_ra,0.0025989388998317224,tree
home_bullpen_k_rate_season,0.002572900309517445,tree
home_lineup_strength_vs_pitcher_hand,0.002540066411738752,tree
away_bat_k_rate,0.0023816735524292763,tree
home_L10_rs,0.0022651447034597256,tree
away_hr_rate,0.0020504573478187385,tree
home_bullpen_era_30d,0.0019636633366060356,tree
home_bullpen_fip_30d,0.0017855932794017006,tree
home_bullpen_fip_season,0.001630806629911285,tree
away_fb_rate_x_wind_out,0.0016230111185393872,tree
away_lineup_hard_hit_vs_pitcher_hand,0.0014456208585525482,tree
home_is_lefty,0.0011361863694608074,tree
home_bullpen_hr_rate_season,0.0011278295635392104,tree
away_is_lefty,0.0009174327502852158,tree
home_L10_wr,0.0008899233822909753,tree
away_bullpen_availability_score,0.0007804216573373728,tree
away_days_rest,0.000588423191530857,tree
home_bullpen_availability_score,0.00022026627621220626,tree
is_dome,0.0,tree
is_coors,0.0,tree
home_bullpen_fatigue_score,0.0,tree
away_bullpen_fatigue_score,0.0,tree
