precision,recall,threshold
0.4509,1.0,0.3117
0.4514,1.0,0.3213
0.4507,0.9973,0.3245
0.4501,0.9946,0.3254
0.4506,0.9946,0.3281
0.4512,0.9946,0.3283
0.4517,0.9946,0.3286
0.4523,0.9946,0.3299
0.4529,0.9946,0.3333
0.4534,0.9946,0.3334
0.4527,0.9918,0.3345
0.4533,0.9918,0.3398
0.4539,0.9918,0.3416
0.4544,0.9918,0.3425
0.455,0.9918,0.3432
0.4543,0.9891,0.3442
0.4549,0.9891,0.3442
0.4542,0.9864,0.3451
0.4535,0.9837,0.3453
0.4541,0.9837,0.3455
0.4534,0.9809,0.346
0.4527,0.9782,0.3462
0.4533,0.9782,0.3476
0.4539,0.9782,0.3477
0.4532,0.9755,0.3499
0.4537,0.9755,0.35
0.453,0.9728,0.3503
0.4524,0.97,0.3508
0.4517,0.9673,0.3512
0.4522,0.9673,0.3515
0.4515,0.9646,0.3524
0.4508,0.9619,0.3527
0.4514,0.9619,0.3527
0.4507,0.9591,0.3534
0.4513,0.9591,0.354
0.4506,0.9564,0.3545
0.4512,0.9564,0.3545
0.4517,0.9564,0.3545
0.4523,0.9564,0.3564
0.4516,0.9537,0.3573
0.4522,0.9537,0.358
0.4515,0.951,0.3592
0.4521,0.951,0.3595
0.4514,0.9482,0.3599
0.4519,0.9482,0.36
0.4512,0.9455,0.3608
0.4505,0.9428,0.3613
0.4498,0.9401,0.3616
0.4504,0.9401,0.3618
0.451,0.9401,0.3618
0.4503,0.9373,0.3619
0.4509,0.9373,0.3619
0.4514,0.9373,0.3627
0.452,0.9373,0.3632
0.4526,0.9373,0.3633
0.4519,0.9346,0.3639
0.4512,0.9319,0.3643
0.4518,0.9319,0.3644
0.4511,0.9292,0.3644
0.4517,0.9292,0.3649
0.4509,0.9264,0.3656
0.4515,0.9264,0.3658
0.4521,0.9264,0.3662
0.4527,0.9264,0.3672
0.4533,0.9264,0.3674
0.4526,0.9237,0.3676
0.4519,0.921,0.3677
0.4525,0.921,0.368
0.4531,0.921,0.368
0.4537,0.921,0.3682
0.453,0.9183,0.3684
0.4536,0.9183,0.3687
0.4528,0.9155,0.3687
0.4534,0.9155,0.3701
0.4541,0.9155,0.3702
0.4547,0.9155,0.3703
0.4553,0.9155,0.3705
0.4559,0.9155,0.3705
0.4552,0.9128,0.3706
0.4544,0.9101,0.3707
0.4537,0.9074,0.3707
0.4543,0.9074,0.3716
0.4549,0.9074,0.3722
0.4555,0.9074,0.3722
0.4562,0.9074,0.3725
0.4568,0.9074,0.3726
0.4574,0.9074,0.373
0.458,0.9074,0.3731
0.4573,0.9046,0.3732
0.4566,0.9019,0.3733
0.4558,0.8992,0.3736
0.455,0.8965,0.3736
0.4557,0.8965,0.3742
0.4563,0.8965,0.3743
0.4556,0.8937,0.3748
0.4562,0.8937,0.3752
0.4568,0.8937,0.3753
0.4561,0.891,0.3754
0.4567,0.891,0.3761
0.4573,0.891,0.3764
0.4566,0.8883,0.3765
0.4558,0.8856,0.3766
0.4565,0.8856,0.3767
0.4571,0.8856,0.377
0.4563,0.8828,0.3775
0.4556,0.8801,0.3775
0.4548,0.8774,0.3775
0.4554,0.8774,0.3776
0.4561,0.8774,0.3778
0.4553,0.8747,0.378
0.456,0.8747,0.3781
0.4566,0.8747,0.3784
0.4558,0.8719,0.3786
0.4565,0.8719,0.3787
0.4571,0.8719,0.379
0.4564,0.8692,0.3795
0.457,0.8692,0.3796
0.4577,0.8692,0.3797
0.4569,0.8665,0.3797
0.4576,0.8665,0.3798
0.4582,0.8665,0.3803
0.4589,0.8665,0.3806
0.4595,0.8665,0.3808
0.4588,0.8638,0.3811
0.4594,0.8638,0.3813
0.4586,0.861,0.3816
0.4578,0.8583,0.3817
0.4585,0.8583,0.3824
0.4592,0.8583,0.3829
0.4584,0.8556,0.3829
0.4576,0.8529,0.3831
0.4583,0.8529,0.3832
0.4575,0.8501,0.3834
0.4581,0.8501,0.3836
0.4588,0.8501,0.3837
0.458,0.8474,0.3837
0.4572,0.8447,0.3838
0.4579,0.8447,0.3838
0.4586,0.8447,0.384
0.4593,0.8447,0.3842
0.4599,0.8447,0.3846
0.4606,0.8447,0.3849
0.4613,0.8447,0.385
0.4605,0.842,0.3855
0.4597,0.8392,0.3856
0.4604,0.8392,0.3859
0.4596,0.8365,0.3867
0.4603,0.8365,0.3867
0.4595,0.8338,0.3867
0.4602,0.8338,0.3869
0.4608,0.8338,0.3869
0.46,0.8311,0.3871
0.4607,0.8311,0.3876
0.4614,0.8311,0.3876
0.4606,0.8283,0.3879
0.4598,0.8256,0.3883
0.4605,0.8256,0.3886
0.4597,0.8229,0.3886
0.4604,0.8229,0.389
0.4611,0.8229,0.3891
0.4602,0.8202,0.3893
0.4609,0.8202,0.3898
0.4617,0.8202,0.3899
0.4608,0.8174,0.3903
0.4615,0.8174,0.3903
0.4622,0.8174,0.3907
0.4614,0.8147,0.3909
0.4606,0.812,0.3911
0.4613,0.812,0.3914
0.462,0.812,0.3914
0.4627,0.812,0.3917
0.4619,0.8093,0.3917
0.4626,0.8093,0.392
0.4618,0.8065,0.3927
0.4609,0.8038,0.3929
0.4601,0.8011,0.3929
0.4608,0.8011,0.3933
0.4615,0.8011,0.3936
0.4607,0.7984,0.3937
0.4614,0.7984,0.3939
0.4606,0.7956,0.394
0.4613,0.7956,0.394
0.4604,0.7929,0.3943
0.4596,0.7902,0.3943
0.4603,0.7902,0.3944
0.4595,0.7875,0.3947
0.4586,0.7847,0.3952
0.4593,0.7847,0.3954
0.4601,0.7847,0.3954
0.4592,0.782,0.3955
0.4599,0.782,0.3955
0.4591,0.7793,0.3955
0.4598,0.7793,0.3958
0.4589,0.7766,0.3959
0.4597,0.7766,0.3961
0.4604,0.7766,0.3961
0.4595,0.7738,0.3961
0.4587,0.7711,0.3961
0.4594,0.7711,0.3966
0.4585,0.7684,0.3967
0.4593,0.7684,0.3969
0.46,0.7684,0.398
0.4608,0.7684,0.3983
0.4615,0.7684,0.3984
0.4607,0.7657,0.3985
0.4614,0.7657,0.3996
0.4605,0.7629,0.3997
0.4596,0.7602,0.4002
0.4587,0.7575,0.4004
0.4595,0.7575,0.4005
0.4603,0.7575,0.4016
0.461,0.7575,0.4017
0.4618,0.7575,0.4021
0.4626,0.7575,0.4022
0.4617,0.7548,0.4023
0.4608,0.752,0.4024
0.4615,0.752,0.4025
0.4623,0.752,0.4026
0.4631,0.752,0.4029
0.4639,0.752,0.4031
0.463,0.7493,0.4032
0.4621,0.7466,0.4032
0.4611,0.7439,0.4033
0.4602,0.7411,0.4037
0.4593,0.7384,0.404
0.4584,0.7357,0.404
0.4592,0.7357,0.4042
0.46,0.7357,0.4043
0.4608,0.7357,0.4045
0.4598,0.733,0.4047
0.4589,0.7302,0.4056
0.458,0.7275,0.4057
0.457,0.7248,0.4058
0.4578,0.7248,0.4061
0.4586,0.7248,0.4063
0.4594,0.7248,0.4063
0.4602,0.7248,0.4067
0.461,0.7248,0.407
0.4601,0.7221,0.4074
0.4591,0.7193,0.4075
0.4582,0.7166,0.4076
0.459,0.7166,0.4077
0.458,0.7139,0.4079
0.4588,0.7139,0.408
0.4596,0.7139,0.408
0.4587,0.7112,0.4082
0.4595,0.7112,0.4086
0.4586,0.7084,0.4086
0.4594,0.7084,0.41
0.4602,0.7084,0.4101
0.4592,0.7057,0.4101
0.46,0.7057,0.4102
0.4609,0.7057,0.4102
0.4599,0.703,0.4105
0.4607,0.703,0.4109
0.4615,0.703,0.4109
0.4624,0.703,0.4112
0.4614,0.7003,0.4113
0.4604,0.6975,0.4114
0.4613,0.6975,0.4114
0.4621,0.6975,0.4115
0.4629,0.6975,0.4115
0.462,0.6948,0.4116
0.4628,0.6948,0.4117
0.4618,0.6921,0.4119
0.4608,0.6894,0.4119
0.4599,0.6866,0.4121
0.4589,0.6839,0.4122
0.4597,0.6839,0.4123
0.4606,0.6839,0.4126
0.4614,0.6839,0.4127
0.4604,0.6812,0.4129
0.4594,0.6785,0.4131
0.4584,0.6757,0.4138
0.4593,0.6757,0.4139
0.4601,0.6757,0.414
0.4591,0.673,0.414
0.4581,0.6703,0.4141
0.4571,0.6676,0.4143
0.4579,0.6676,0.4144
0.4569,0.6649,0.4145
0.4578,0.6649,0.4146
0.4586,0.6649,0.4147
0.4595,0.6649,0.4148
0.4604,0.6649,0.4151
0.4612,0.6649,0.4152
0.4602,0.6621,0.4155
0.4611,0.6621,0.4157
0.462,0.6621,0.4158
0.461,0.6594,0.416
0.4618,0.6594,0.4167
0.4608,0.6567,0.4167
0.4598,0.654,0.417
0.4607,0.654,0.417
0.4596,0.6512,0.417
0.4605,0.6512,0.4171
0.4595,0.6485,0.4172
0.4603,0.6485,0.4175
0.4612,0.6485,0.4177
0.4621,0.6485,0.4177
0.4611,0.6458,0.4178
0.46,0.6431,0.4178
0.459,0.6403,0.418
0.4599,0.6403,0.4181
0.4608,0.6403,0.4181
0.4617,0.6403,0.4183
0.4606,0.6376,0.4183
