feature,gain,gain_rank,permutation_importance,permutation_rank,mean_abs_shap,shap_rank,lofo_log_loss_delta,lofo_auc_delta,lofo_rank,mean_rank
away_bat_woba,4.530921936035156,3,-0.0012355890744994546,3,0.010033914264177638,2,-0.041375,0.019359,6.0,3.5
away_bat_hard_hit_pct,4.4625067710876465,5,0.0008445513467103316,6,0.008202527880032527,4,-0.037553,0.011494,8.0,5.75
home_L10_ra,4.229516506195068,15,0.0013374417923311178,1,0.003209989843418352,12,-0.072388,0.038566,1.0,7.25
away_k_rate,4.512423038482666,4,0.0007031014445690653,10,0.008425401665420097,3,-0.018236,0.025106,16.0,8.25
away_L10_rs,4.956492900848389,1,0.0002542655729522725,22,0.003506663477858226,11,-0.03419,0.023291,9.0,10.75
away_hard_hit_pct,4.133995056152344,19,0.0005460671590221677,14,0.01110171798873864,1,-0.031874,0.027526,10.0,11.0
home_bat_woba,4.193826675415039,16,-0.0006782624551865291,11,0.0030902700129856746,15,-0.043608,0.029492,4.0,11.5
home_k_rate,3.816617250442505,30,-0.000801701314569947,8,0.00373663951712534,8,-0.059223,0.036903,2.0,12.0
away_fb_velo,3.877976417541504,27,-0.000825226264871215,7,0.004999719489526954,5,-0.014651,0.015275,17.0,14.0
home_bat_k_rate,4.176490783691406,18,-0.0006614106143540521,12,0.003702489922585018,9,-0.009393,-0.004991,18.0,14.25
away_fip,4.248692512512207,13,0.000745199543140429,9,0.0012261557755622594,29,-0.039118,0.01588,7.0,14.5
home_bat_hard_hit_pct,4.337080955505371,11,0.00036085372726530897,19,0.0031778224731371235,13,-0.018338,0.019056,15.0,14.5
home_fb_velo,4.404769420623779,7,0.00016761518506344108,27,0.0031005052762121477,14,-0.031429,0.040835,11.0,14.75
home_days_rest,4.396743297576904,8,-9.436145579511113e-05,31,0.004708315626753051,6,-0.019787,-0.000756,14.0,14.75
home_bb_rate,4.2574591636657715,12,-0.0004938015174922539,17,0.0028127212348838383,16,,,,15.0
away_bb_rate,4.414077281951904,6,0.00029242289014517195,20,0.0022438067907295913,19,,,,15.0
home_hr_rate,4.241399765014648,14,0.0012355639125585349,4,0.0017155303094238935,24,-0.002268,-0.021627,20.0,15.5
away_bat_k_rate,4.065448760986328,23,0.0008719066016467548,5,0.001167156040958105,30,-0.041419,0.019208,5.0,15.75
wind_out_factor,3.8172459602355957,28,0.0005385863453750029,15,0.004434782456002035,7,-0.022773,0.007562,13.0,15.75
home_xwoba_against,3.816701650619507,29,-0.00019544274788074745,26,0.0035842524839900794,10,-0.043795,0.032214,3.0,17.0
away_xwoba_against,4.0175933837890625,24,-0.0012740864822886277,2,0.0011315882221818304,31,-0.024152,0.023291,12.0,17.25
temp_f,4.580418109893799,2,4.606565611461333e-05,33,0.002481909031326818,18,,,,17.67
away_L10_ra,4.080848217010498,22,0.0005501890728470294,13,0.0021688911895641192,20,-0.007703,-0.009074,19.0,18.5
away_bat_iso,4.191596984863281,17,-0.0002804900641084629,21,0.001498319119537591,26,,,,21.33
park_factor,4.381685733795166,9,-9.71856345805766e-05,30,0.001327696683685778,28,,,,22.33
away_L10_wr,4.106335163116455,20,-0.00043220784124806675,18,0.0009831543309235997,32,,,,23.33
wind_mph,3.94584584236145,25,-0.00021364147641182995,24,0.0019292520661959391,23,,,,24.0
home_L10_wr,4.377426624298096,10,9.86055891937232e-05,29,0.0002719440435348887,34,,,,24.33
home_hard_hit_pct,4.081079006195068,21,0.00014947135348069017,28,0.001661700122554924,25,,,,24.67
home_bat_iso,3.9384868144989014,26,-4.3702283199542616e-05,34,0.0025149713265636624,17,,,,25.67
home_L10_rs,3.7870187759399414,31,-0.0002027843276190211,25,0.0014884937071818728,27,,,,27.67
away_days_rest,3.263796329498291,36,-0.0005384083160807296,16,0.000714082609543349,33,,,,28.33
home_fip,3.716977596282959,33,-3.9526016214330714e-05,35,0.002157439555960056,21,,,,29.67
is_dome,3.7424237728118896,32,-0.00025170655289886713,23,2.5285266625360864e-05,36,,,,30.33
away_hr_rate,3.399216413497925,35,1.9511755586743008e-05,36,0.0020639045205678164,22,,,,31.0
home_is_lefty,3.150968313217163,37,-6.242377530870646e-05,32,0.0,37,,,,35.33
away_is_lefty,3.576651096343994,34,-1.096271646062741e-05,37,0.00010153423584238506,35,,,,35.33
is_coors,0.0,38,0.0,38,0.0,38,,,,38.0
