feature,gain,gain_pct
away_L10_rs,4.956492900848389,3.28
temp_f,4.580418109893799,3.03
away_bat_woba,4.530921936035156,3.0
away_k_rate,4.512423038482666,2.98
away_bat_hard_hit_pct,4.4625067710876465,2.95
away_bb_rate,4.414077281951904,2.92
home_fb_velo,4.404769420623779,2.91
home_days_rest,4.396743297576904,2.91
park_factor,4.381685733795166,2.9
home_L10_wr,4.377426624298096,2.89
home_bat_hard_hit_pct,4.337080955505371,2.87
home_bb_rate,4.2574591636657715,2.82
away_fip,4.248692512512207,2.81
home_hr_rate,4.241399765014648,2.8
home_L10_ra,4.229516506195068,2.8
home_bat_woba,4.193826675415039,2.77
away_bat_iso,4.191596984863281,2.77
home_bat_k_rate,4.176490783691406,2.76
away_hard_hit_pct,4.133995056152344,2.73
away_L10_wr,4.106335163116455,2.72
home_hard_hit_pct,4.081079006195068,2.7
away_L10_ra,4.080848217010498,2.7
away_bat_k_rate,4.065448760986328,2.69
away_xwoba_against,4.0175933837890625,2.66
wind_mph,3.94584584236145,2.61
home_bat_iso,3.9384868144989014,2.6
away_fb_velo,3.877976417541504,2.56
wind_out_factor,3.8172459602355957,2.52
home_xwoba_against,3.816701650619507,2.52
home_k_rate,3.816617250442505,2.52
home_L10_rs,3.7870187759399414,2.5
is_dome,3.7424237728118896,2.47
home_fip,3.716977596282959,2.46
away_is_lefty,3.576651096343994,2.37
away_hr_rate,3.399216413497925,2.25
away_days_rest,3.263796329498291,2.16
home_is_lefty,3.150968313217163,2.08
is_coors,0.0,0.0
