feature,baseline_log_loss,log_loss_without,log_loss_delta,baseline_auc,auc_without,auc_delta
home_hr_rate,0.840251,0.837983,-0.002268,0.494555,0.472928,-0.021627
away_L10_ra,0.840251,0.832548,-0.007703,0.494555,0.485481,-0.009074
home_bat_k_rate,0.840251,0.830858,-0.009393,0.494555,0.489564,-0.004991
away_fb_velo,0.840251,0.8256,-0.014651,0.494555,0.509831,0.015275
away_k_rate,0.840251,0.822015,-0.018236,0.494555,0.519661,0.025106
home_bat_hard_hit_pct,0.840251,0.821912,-0.018338,0.494555,0.513612,0.019056
home_days_rest,0.840251,0.820464,-0.019787,0.494555,0.493799,-0.000756
wind_out_factor,0.840251,0.817477,-0.022773,0.494555,0.502117,0.007562
away_xwoba_against,0.840251,0.816099,-0.024152,0.494555,0.517846,0.023291
home_fb_velo,0.840251,0.808822,-0.031429,0.494555,0.53539,0.040835
away_hard_hit_pct,0.840251,0.808376,-0.031874,0.494555,0.522081,0.027526
away_L10_rs,0.840251,0.806061,-0.03419,0.494555,0.517846,0.023291
away_bat_hard_hit_pct,0.840251,0.802698,-0.037553,0.494555,0.50605,0.011494
away_fip,0.840251,0.801132,-0.039118,0.494555,0.510436,0.01588
away_bat_woba,0.840251,0.798875,-0.041375,0.494555,0.513914,0.019359
away_bat_k_rate,0.840251,0.798832,-0.041419,0.494555,0.513763,0.019208
home_bat_woba,0.840251,0.796642,-0.043608,0.494555,0.524047,0.029492
home_xwoba_against,0.840251,0.796456,-0.043795,0.494555,0.52677,0.032214
home_k_rate,0.840251,0.781028,-0.059223,0.494555,0.531458,0.036903
home_L10_ra,0.840251,0.767863,-0.072388,0.494555,0.533122,0.038566
