fpr,tpr,threshold
0.0,0.0,inf
0.0022,0.0,0.6235
0.0089,0.0,0.5905
0.0089,0.0109,0.5808
0.0112,0.0109,0.5766
0.0112,0.0191,0.5537
0.0157,0.0191,0.5514
0.0157,0.0218,0.5509
0.0179,0.0218,0.55
0.0179,0.0272,0.5437
0.0224,0.0272,0.5422
0.0224,0.03,0.5392
0.0291,0.03,0.5352
0.0291,0.0327,0.5347
0.0313,0.0327,0.5347
0.0313,0.0381,0.5315
0.038,0.0381,0.5307
0.038,0.0436,0.5282
0.0492,0.0436,0.5237
0.0492,0.0518,0.5218
0.0559,0.0518,0.5214
0.0559,0.0627,0.5206
0.0604,0.0627,0.519
0.0604,0.0708,0.5167
0.0626,0.0708,0.5165
0.0626,0.0763,0.5137
0.0649,0.0763,0.5135
0.0649,0.079,0.5134
0.0716,0.079,0.5116
0.0716,0.0817,0.511
0.0828,0.0817,0.5101
0.0828,0.0845,0.5098
0.085,0.0845,0.5096
0.085,0.0872,0.5095
0.0962,0.0872,0.5076
0.0962,0.0899,0.5071
0.1007,0.0899,0.5065
0.1007,0.0926,0.5064
0.1051,0.0926,0.5054
0.1051,0.0954,0.5038
0.1119,0.0954,0.5034
0.1119,0.1008,0.5022
0.1163,0.1008,0.5018
0.1163,0.1035,0.5016
0.1186,0.1035,0.5015
0.1186,0.109,0.5008
0.1253,0.109,0.5004
0.1253,0.1144,0.4998
0.1275,0.1144,0.4997
0.1275,0.1172,0.4993
0.132,0.1172,0.4982
0.132,0.1226,0.497
0.1365,0.1226,0.4964
0.1365,0.1253,0.4963
0.1387,0.1253,0.496
0.1387,0.1335,0.4948
0.1409,0.1335,0.4947
0.1409,0.139,0.4946
0.1521,0.139,0.4942
0.1521,0.1444,0.4926
0.1544,0.1444,0.4926
0.1544,0.1471,0.4926
0.1588,0.1471,0.492
0.1588,0.1526,0.4918
0.1611,0.1526,0.4908
0.1611,0.1608,0.4894
0.1633,0.1608,0.4893
0.1633,0.1635,0.4891
0.1655,0.1635,0.489
0.1655,0.1662,0.4885
0.1812,0.1662,0.4871
0.1812,0.1689,0.4871
0.1857,0.1689,0.4863
0.1857,0.1826,0.4849
0.1924,0.1826,0.4836
0.1924,0.2016,0.4814
0.1946,0.2016,0.481
0.1946,0.2044,0.4805
0.2036,0.2044,0.4795
0.2036,0.2125,0.4785
0.2103,0.2125,0.4773
0.2103,0.2207,0.477
0.2125,0.2207,0.477
0.2125,0.2262,0.4769
0.2148,0.2262,0.4766
0.2148,0.2289,0.476
0.2304,0.2289,0.4752
0.2304,0.2316,0.4751
0.2371,0.2316,0.4746
0.2371,0.2371,0.4744
0.2394,0.2371,0.4741
0.2394,0.2398,0.4739
0.2506,0.2398,0.4733
0.2506,0.2425,0.4731
0.2573,0.2425,0.4724
0.2573,0.2452,0.4717
0.2595,0.2452,0.4714
0.2595,0.2507,0.4702
0.2617,0.2507,0.4694
0.2617,0.2534,0.4694
0.264,0.2534,0.4687
0.264,0.2561,0.4686
0.2662,0.2561,0.4684
0.2662,0.2589,0.4683
0.2752,0.2589,0.4669
0.2752,0.2616,0.4668
0.2908,0.2616,0.4653
0.2908,0.2643,0.4651
0.2975,0.2643,0.4649
0.2975,0.2698,0.4644
0.2998,0.2698,0.4639
0.2998,0.2725,0.4626
0.302,0.2725,0.4624
0.302,0.2752,0.4624
0.3043,0.2752,0.462
0.3043,0.2779,0.4619
0.3065,0.2779,0.4615
0.3065,0.2834,0.4611
0.3132,0.2834,0.4608
0.3132,0.2861,0.4607
0.3177,0.2861,0.4604
0.3177,0.2916,0.4601
0.3221,0.2916,0.4591
0.3221,0.2943,0.459
0.3266,0.2943,0.4587
0.3266,0.297,0.4584
0.3311,0.297,0.4571
0.3311,0.3079,0.4566
0.3378,0.3079,0.4563
0.3378,0.3106,0.4562
0.3423,0.3106,0.4557
0.3423,0.3134,0.4554
0.3468,0.3134,0.4552
0.3468,0.3161,0.4552
0.349,0.3161,0.4548
0.349,0.327,0.4544
0.3512,0.327,0.4544
0.3512,0.3297,0.4543
0.3557,0.3297,0.4541
0.3557,0.3324,0.4538
0.3579,0.3324,0.4537
0.3579,0.3351,0.4536
0.3624,0.3351,0.4535
0.3624,0.3406,0.4534
0.3647,0.3406,0.4533
0.3647,0.3433,0.453
0.3691,0.3433,0.4529
0.3691,0.3515,0.4526
0.3714,0.3515,0.4526
0.3714,0.3542,0.4525
0.3736,0.3542,0.4521
0.3736,0.3569,0.4517
0.3758,0.3569,0.4516
0.3758,0.3678,0.4505
0.3781,0.3678,0.4503
0.3781,0.3733,0.4502
0.387,0.3733,0.4487
0.387,0.3787,0.448
0.3915,0.3787,0.4478
0.3915,0.3842,0.4474
0.396,0.3842,0.4472
0.396,0.3869,0.4472
0.3982,0.3869,0.447
0.3982,0.3978,0.4466
0.4004,0.3978,0.4466
0.4004,0.406,0.4463
0.4027,0.406,0.4463
0.4027,0.4114,0.4462
0.4094,0.4114,0.4458
0.4094,0.4142,0.4455
0.4183,0.4142,0.4449
0.4183,0.4223,0.4447
0.4206,0.4223,0.4447
0.4206,0.4278,0.4445
0.4228,0.4278,0.4443
0.4228,0.4305,0.4441
0.4273,0.4305,0.4438
0.4273,0.4332,0.4437
0.4318,0.4332,0.4433
0.4318,0.436,0.4432
0.434,0.436,0.4432
0.434,0.4387,0.4431
0.4362,0.4387,0.4429
0.4362,0.4414,0.4427
0.4474,0.4414,0.4416
0.4474,0.4441,0.4412
0.4519,0.4441,0.4406
0.4519,0.4496,0.4404
0.4586,0.4496,0.4402
0.4586,0.4741,0.439
0.4631,0.4741,0.4379
0.4631,0.4796,0.4378
0.472,0.4796,0.4371
0.472,0.4823,0.4371
0.4743,0.4823,0.4371
0.4743,0.4905,0.4368
0.4765,0.4905,0.4367
0.4765,0.4932,0.4365
0.4787,0.4932,0.4362
0.4787,0.5041,0.4358
0.481,0.5041,0.4358
0.481,0.5123,0.4356
0.4877,0.5123,0.4352
0.4877,0.5177,0.4349
0.5078,0.5177,0.4336
0.5078,0.5232,0.4335
0.519,0.5232,0.4324
0.519,0.5313,0.4318
0.528,0.5313,0.4314
0.528,0.5368,0.431
0.5324,0.5368,0.4309
0.5324,0.545,0.4301
0.5347,0.545,0.4299
0.5347,0.5477,0.4298
0.5414,0.5477,0.4296
0.5414,0.5504,0.4293
0.5436,0.5504,0.4292
0.5436,0.5531,0.4291
0.5459,0.5531,0.429
0.5459,0.5559,0.4288
0.5481,0.5559,0.4287
0.5481,0.5586,0.4285
0.5503,0.5586,0.4284
0.5503,0.564,0.4283
0.5548,0.564,0.4282
0.5548,0.5668,0.4281
0.557,0.5668,0.4279
0.557,0.5722,0.4277
0.5615,0.5722,0.4274
0.5615,0.5804,0.4273
0.5638,0.5804,0.4273
0.5638,0.5831,0.4271
0.566,0.5831,0.427
0.566,0.5858,0.4267
0.5682,0.5858,0.4267
0.5682,0.5886,0.4266
0.5705,0.5886,0.4266
0.5705,0.5913,0.4263
0.5727,0.5913,0.4254
0.5727,0.5967,0.4253
0.5772,0.5967,0.4247
0.5772,0.5995,0.4247
0.5794,0.5995,0.4247
0.5794,0.6022,0.424
0.5884,0.6022,0.4235
0.5884,0.6158,0.4229
0.5928,0.6158,0.4224
0.5928,0.624,0.4217
0.6018,0.624,0.4212
0.6018,0.6322,0.4207
0.604,0.6322,0.42
0.604,0.6349,0.4194
0.6107,0.6349,0.4187
0.6107,0.6376,0.4186
0.613,0.6376,0.4183
0.613,0.6403,0.4183
0.6197,0.6403,0.418
0.6197,0.6485,0.4177
0.6264,0.6485,0.4172
0.6264,0.6512,0.4171
0.6286,0.6512,0.417
0.6286,0.654,0.417
0.6309,0.654,0.417
0.6309,0.6594,0.4167
0.6331,0.6594,0.416
0.6331,0.6621,0.4158
0.6376,0.6621,0.4155
0.6376,0.6649,0.4152
0.6488,0.6649,0.4145
0.6488,0.6676,0.4144
0.651,0.6676,0.4143
0.651,0.6757,0.414
0.6555,0.6757,0.4138
0.6555,0.6839,0.4127
0.6622,0.6839,0.4122
0.6622,0.6948,0.4117
0.6644,0.6948,0.4116
0.6644,0.6975,0.4115
0.6711,0.6975,0.4114
0.6711,0.703,0.4112
0.6779,0.703,0.4105
0.6779,0.7057,0.4102
0.6823,0.7057,0.4101
0.6823,0.7084,0.4101
0.6868,0.7084,0.4086
0.6868,0.7112,0.4086
0.689,0.7112,0.4082
0.689,0.7139,0.408
0.6935,0.7139,0.4079
0.6935,0.7166,0.4077
0.6957,0.7166,0.4076
0.6957,0.7248,0.407
0.7069,0.7248,0.4058
0.7069,0.7357,0.4045
0.7136,0.7357,0.404
0.7136,0.752,0.4031
0.7226,0.752,0.4024
0.7226,0.7575,0.4022
0.7338,0.7575,0.4004
0.7338,0.7657,0.3996
0.736,0.7657,0.3985
0.736,0.7684,0.3984
0.745,0.7684,0.3967
0.745,0.7711,0.3966
0.7472,0.7711,0.3961
0.7472,0.7766,0.3961
0.7517,0.7766,0.3959
0.7517,0.7793,0.3958
0.7539,0.7793,0.3955
0.7539,0.782,0.3955
0.7562,0.782,0.3955
0.7562,0.7847,0.3954
0.7606,0.7847,0.3952
0.7606,0.7902,0.3944
0.7629,0.7902,0.3943
0.7629,0.7956,0.394
0.7651,0.7956,0.394
0.7651,0.7984,0.3939
0.7673,0.7984,0.3937
0.7673,0.8011,0.3936
0.7718,0.8011,0.3929
0.7718,0.8093,0.392
0.774,0.8093,0.3917
0.774,0.812,0.3917
0.7808,0.812,0.3911
0.7808,0.8174,0.3907
0.7852,0.8174,0.3903
0.7852,0.8202,0.3899
0.7897,0.8202,0.3893
0.7897,0.8229,0.3891
0.7942,0.8229,0.3886
0.7942,0.8256,0.3886
0.7964,0.8256,0.3883
0.7964,0.8311,0.3876
0.8009,0.8311,0.3871
0.8009,0.8338,0.3869
0.8054,0.8338,0.3867
0.8054,0.8365,0.3867
0.8076,0.8365,0.3867
0.8076,0.8392,0.3859
0.8098,0.8392,0.3856
0.8098,0.8447,0.385
0.8233,0.8447,0.3838
0.8233,0.8501,0.3837
0.8277,0.8501,0.3834
0.8277,0.8529,0.3832
0.83,0.8529,0.3831
0.83,0.8583,0.3829
0.8345,0.8583,0.3817
0.8345,0.8638,0.3813
0.8367,0.8638,0.3811
0.8367,0.8665,0.3808
0.8456,0.8665,0.3797
0.8456,0.8692,0.3797
0.8501,0.8692,0.3795
0.8501,0.8719,0.379
0.8546,0.8719,0.3786
0.8546,0.8747,0.3784
0.8591,0.8747,0.378
0.8591,0.8774,0.3778
0.8635,0.8774,0.3775
0.8635,0.8856,0.377
0.868,0.8856,0.3766
0.868,0.891,0.3764
0.8725,0.891,0.3754
0.8725,0.8937,0.3753
0.877,0.8937,0.3748
0.877,0.8965,0.3743
0.8814,0.8965,0.3736
0.8814,0.9074,0.3731
0.8971,0.9074,0.3707
0.8971,0.9155,0.3705
0.9083,0.9155,0.3687
0.9083,0.9183,0.3687
0.9105,0.9183,0.3684
0.9105,0.921,0.3682
0.9172,0.921,0.3677
0.9172,0.9264,0.3674
0.9262,0.9264,0.3656
0.9262,0.9292,0.3649
0.9284,0.9292,0.3644
0.9284,0.9319,0.3644
0.9306,0.9319,0.3643
0.9306,0.9373,0.3633
0.9396,0.9373,0.3619
0.9396,0.9401,0.3618
0.9441,0.9401,0.3616
0.9441,0.9482,0.36
0.9463,0.9482,0.3599
0.9463,0.951,0.3595
0.9485,0.951,0.3592
0.9485,0.9537,0.358
0.9508,0.9537,0.3573
0.9508,0.9564,0.3564
0.9575,0.9564,0.3545
0.9575,0.9591,0.354
0.9597,0.9591,0.3534
0.9597,0.9619,0.3527
0.962,0.9619,0.3527
0.962,0.9673,0.3515
0.9642,0.9673,0.3512
0.9642,0.9755,0.35
0.9664,0.9755,0.3499
0.9664,0.9782,0.3477
0.9709,0.9782,0.3462
0.9709,0.9837,0.3455
0.9732,0.9837,0.3453
0.9732,0.9891,0.3442
0.9754,0.9891,0.3442
0.9754,0.9918,0.3432
0.9843,0.9918,0.3345
0.9843,0.9946,0.3334
0.9978,0.9946,0.3254
0.9978,1.0,0.3213
1.0,1.0,0.3117
