feature,mean_abs_shap,shap_method
away_hard_hit_pct,0.01110171798873864,kernel_tree_explainer_unsupported
away_bat_woba,0.010033914264177638,kernel_tree_explainer_unsupported
away_k_rate,0.008425401665420097,kernel_tree_explainer_unsupported
away_bat_hard_hit_pct,0.008202527880032527,kernel_tree_explainer_unsupported
away_fb_velo,0.004999719489526954,kernel_tree_explainer_unsupported
home_days_rest,0.004708315626753051,kernel_tree_explainer_unsupported
wind_out_factor,0.004434782456002035,kernel_tree_explainer_unsupported
home_k_rate,0.00373663951712534,kernel_tree_explainer_unsupported
home_bat_k_rate,0.003702489922585018,kernel_tree_explainer_unsupported
home_xwoba_against,0.0035842524839900794,kernel_tree_explainer_unsupported
away_L10_rs,0.003506663477858226,kernel_tree_explainer_unsupported
home_L10_ra,0.003209989843418352,kernel_tree_explainer_unsupported
home_bat_hard_hit_pct,0.0031778224731371235,kernel_tree_explainer_unsupported
home_fb_velo,0.0031005052762121477,kernel_tree_explainer_unsupported
home_bat_woba,0.0030902700129856746,kernel_tree_explainer_unsupported
home_bb_rate,0.0028127212348838383,kernel_tree_explainer_unsupported
home_bat_iso,0.0025149713265636624,kernel_tree_explainer_unsupported
temp_f,0.002481909031326818,kernel_tree_explainer_unsupported
away_bb_rate,0.0022438067907295913,kernel_tree_explainer_unsupported
away_L10_ra,0.0021688911895641192,kernel_tree_explainer_unsupported
home_fip,0.002157439555960056,kernel_tree_explainer_unsupported
away_hr_rate,0.0020639045205678164,kernel_tree_explainer_unsupported
wind_mph,0.0019292520661959391,kernel_tree_explainer_unsupported
home_hr_rate,0.0017155303094238935,kernel_tree_explainer_unsupported
home_hard_hit_pct,0.001661700122554924,kernel_tree_explainer_unsupported
away_bat_iso,0.001498319119537591,kernel_tree_explainer_unsupported
home_L10_rs,0.0014884937071818728,kernel_tree_explainer_unsupported
park_factor,0.001327696683685778,kernel_tree_explainer_unsupported
away_fip,0.0012261557755622594,kernel_tree_explainer_unsupported
away_bat_k_rate,0.001167156040958105,kernel_tree_explainer_unsupported
away_xwoba_against,0.0011315882221818304,kernel_tree_explainer_unsupported
away_L10_wr,0.0009831543309235997,kernel_tree_explainer_unsupported
away_days_rest,0.000714082609543349,kernel_tree_explainer_unsupported
home_L10_wr,0.0002719440435348887,kernel_tree_explainer_unsupported
away_is_lefty,0.00010153423584238506,kernel_tree_explainer_unsupported
is_dome,2.5285266625360864e-05,kernel_tree_explainer_unsupported
home_is_lefty,0.0,kernel_tree_explainer_unsupported
is_coors,0.0,kernel_tree_explainer_unsupported
