precision,recall,threshold
0.4717,1.0,0.4265
0.4723,1.0,0.4273
0.4729,1.0,0.4278
0.4723,0.9974,0.4286
0.4716,0.9948,0.4298
0.4722,0.9948,0.4301
0.4728,0.9948,0.4311
0.4734,0.9948,0.4315
0.4727,0.9922,0.4317
0.4733,0.9922,0.4318
0.4739,0.9922,0.4321
0.4745,0.9922,0.4326
0.4751,0.9922,0.4329
0.4757,0.9922,0.4333
0.475,0.9896,0.4341
0.4756,0.9896,0.4346
0.4749,0.987,0.436
0.4743,0.9844,0.4361
0.4749,0.9844,0.4361
0.4755,0.9844,0.4373
0.4748,0.9818,0.4375
0.4754,0.9818,0.4377
0.476,0.9818,0.4397
0.4753,0.9792,0.4399
0.4747,0.9766,0.44
0.474,0.974,0.4413
0.4746,0.974,0.4415
0.474,0.9714,0.4425
0.4733,0.9688,0.4425
0.4739,0.9688,0.4426
0.4732,0.9661,0.4429
0.4738,0.9661,0.4431
0.4744,0.9661,0.4433
0.475,0.9661,0.4444
0.4744,0.9635,0.4445
0.475,0.9635,0.4447
0.4756,0.9635,0.4448
0.4762,0.9635,0.445
0.4768,0.9635,0.4453
0.4774,0.9635,0.4454
0.478,0.9635,0.4471
0.4787,0.9635,0.4474
0.4793,0.9635,0.4474
0.4799,0.9635,0.4475
0.4805,0.9635,0.4476
0.4798,0.9609,0.4478
0.4792,0.9583,0.4482
0.4798,0.9583,0.4485
0.4804,0.9583,0.4485
0.4797,0.9557,0.4487
0.4804,0.9557,0.4492
0.4797,0.9531,0.4493
0.4803,0.9531,0.4499
0.4796,0.9505,0.4501
0.4803,0.9505,0.4502
0.4809,0.9505,0.4505
0.4802,0.9479,0.4509
0.4795,0.9453,0.4512
0.4788,0.9427,0.4516
0.4795,0.9427,0.452
0.4788,0.9401,0.4521
0.4781,0.9375,0.4522
0.4787,0.9375,0.4527
0.4794,0.9375,0.4528
0.4787,0.9349,0.4529
0.4793,0.9349,0.453
0.4799,0.9349,0.4532
0.4806,0.9349,0.4534
0.4812,0.9349,0.4536
0.4819,0.9349,0.4537
0.4812,0.9323,0.4537
0.4818,0.9323,0.4539
0.4825,0.9323,0.454
0.4818,0.9297,0.454
0.4811,0.9271,0.454
0.4817,0.9271,0.4543
0.4824,0.9271,0.4546
0.4817,0.9245,0.4549
0.4823,0.9245,0.455
0.483,0.9245,0.455
0.4837,0.9245,0.4552
0.4843,0.9245,0.4553
0.4836,0.9219,0.4554
0.4829,0.9193,0.4554
0.4836,0.9193,0.4555
0.4829,0.9167,0.4558
0.4821,0.9141,0.4559
0.4828,0.9141,0.4559
0.4835,0.9141,0.4561
0.4828,0.9115,0.4561
