fpr,tpr,threshold
0.0,0.0,inf
0.0023,0.0,0.5699
0.0023,0.0026,0.5575
0.0047,0.0026,0.5512
0.0047,0.0156,0.5466
0.014,0.0156,0.5402
0.014,0.026,0.536
0.0163,0.026,0.5355
0.0163,0.0312,0.5328
0.0209,0.0312,0.5304
0.0209,0.0365,0.5295
0.0279,0.0365,0.5268
0.0279,0.0443,0.5255
0.0326,0.0443,0.5254
0.0326,0.0495,0.5245
0.0349,0.0495,0.5243
0.0349,0.0573,0.5213
0.0395,0.0573,0.5212
0.0395,0.0625,0.5204
0.0419,0.0625,0.5199
0.0419,0.0677,0.518
0.0465,0.0677,0.5177
0.0465,0.0729,0.5172
0.0512,0.0729,0.5171
0.0512,0.0755,0.5168
0.0535,0.0755,0.5166
0.0535,0.0781,0.5163
0.0558,0.0781,0.5161
0.0558,0.0885,0.5146
0.0581,0.0885,0.5145
0.0581,0.0911,0.5143
0.0605,0.0911,0.5143
0.0605,0.0964,0.514
0.0674,0.0964,0.5131
0.0674,0.099,0.513
0.0698,0.099,0.5123
0.0698,0.1042,0.5122
0.0744,0.1042,0.5116
0.0744,0.1068,0.5115
0.0814,0.1068,0.5107
0.0814,0.1094,0.5105
0.0837,0.1094,0.5103
0.0837,0.112,0.5103
0.0884,0.112,0.5102
0.0884,0.1172,0.5099
0.093,0.1172,0.5098
0.093,0.1224,0.5095
0.1,0.1224,0.509
0.1,0.125,0.5083
0.1186,0.125,0.5077
0.1186,0.1328,0.5075
0.1209,0.1328,0.5075
0.1209,0.138,0.5072
0.1233,0.138,0.5071
0.1233,0.1432,0.5065
0.1256,0.1432,0.5065
0.1256,0.1458,0.5061
0.1279,0.1458,0.506
0.1279,0.151,0.5059
0.1302,0.151,0.5057
0.1302,0.1536,0.5057
0.1326,0.1536,0.5054
0.1326,0.1589,0.5053
0.1349,0.1589,0.5052
0.1349,0.1641,0.5051
0.1372,0.1641,0.5051
0.1372,0.1693,0.5048
0.1395,0.1693,0.5048
0.1395,0.1745,0.5047
0.1674,0.1745,0.504
0.1674,0.1797,0.5039
0.1721,0.1797,0.5036
0.1721,0.1823,0.5033
0.1744,0.1823,0.5033
0.1744,0.1849,0.5029
0.1767,0.1849,0.5025
0.1767,0.1875,0.5022
0.1791,0.1875,0.5021
0.1791,0.1901,0.5021
0.1837,0.1901,0.502
0.1837,0.2005,0.5016
0.186,0.2005,0.5016
0.186,0.2057,0.5014
0.1884,0.2057,0.5014
0.1884,0.2135,0.5013
0.1907,0.2135,0.5013
0.1907,0.2214,0.5013
0.1953,0.2214,0.5012
0.1953,0.2266,0.5008
0.2047,0.2266,0.5004
0.2047,0.2292,0.5003
0.207,0.2292,0.5003
0.207,0.2344,0.5002
0.214,0.2344,0.4998
0.214,0.2448,0.4994
0.2186,0.2448,0.4994
0.2186,0.2474,0.4993
0.2233,0.2474,0.499
0.2233,0.25,0.4989
0.2256,0.25,0.4988
0.2256,0.2526,0.4988
0.2279,0.2526,0.4987
0.2279,0.2578,0.4986
0.2372,0.2578,0.4984
0.2372,0.263,0.4983
0.2395,0.263,0.4982
0.2395,0.2656,0.4982
0.2419,0.2656,0.4981
0.2419,0.2682,0.498
0.2465,0.2682,0.4979
0.2465,0.2708,0.4978
0.2512,0.2708,0.4977
0.2512,0.2839,0.4972
0.2535,0.2839,0.497
0.2535,0.2891,0.497
0.2558,0.2891,0.4966
0.2558,0.2917,0.4964
0.2581,0.2917,0.4962
0.2581,0.2943,0.4962
0.2628,0.2943,0.496
0.2628,0.2995,0.4954
0.2651,0.2995,0.4954
0.2651,0.3021,0.4954
0.2674,0.3021,0.4953
0.2674,0.3047,0.4953
0.2721,0.3047,0.4949
0.2721,0.3099,0.4947
0.2744,0.3099,0.4947
0.2744,0.3177,0.4944
0.2791,0.3177,0.4943
0.2791,0.3203,0.4942
0.286,0.3203,0.494
0.286,0.3255,0.4939
0.2884,0.3255,0.4938
0.2884,0.3359,0.4936
0.2953,0.3359,0.4934
0.2953,0.3411,0.4931
0.2977,0.3411,0.493
0.2977,0.3438,0.493
0.3023,0.3438,0.4929
0.3023,0.3464,0.4929
0.314,0.3464,0.4925
0.314,0.349,0.4924
0.3163,0.349,0.4924
0.3163,0.3568,0.4923
0.3233,0.3568,0.4922
0.3233,0.362,0.4921
0.3279,0.362,0.492
0.3279,0.3646,0.4919
0.3326,0.3646,0.4917
0.3326,0.3672,0.4917
0.3395,0.3672,0.4914
0.3395,0.3698,0.4913
0.3442,0.3698,0.4912
0.3442,0.3724,0.4912
0.3465,0.3724,0.4911
0.3465,0.375,0.4911
0.3535,0.375,0.4908
0.3535,0.3802,0.4906
0.3558,0.3802,0.4906
0.3558,0.3906,0.4904
0.3581,0.3906,0.4903
0.3581,0.3958,0.4901
0.3605,0.3958,0.4901
0.3605,0.3984,0.49
0.3651,0.3984,0.4898
0.3651,0.4036,0.4898
0.3674,0.4036,0.4896
0.3674,0.4089,0.4895
0.3698,0.4089,0.4894
0.3698,0.4115,0.4893
0.3721,0.4115,0.4893
0.3721,0.4167,0.4892
0.3744,0.4167,0.4892
0.3744,0.4219,0.489
0.3814,0.4219,0.4886
0.3814,0.4401,0.4882
0.386,0.4401,0.4881
0.386,0.4427,0.488
0.393,0.4427,0.4876
0.393,0.4453,0.4876
0.4023,0.4453,0.4874
0.4023,0.4505,0.4872
0.4186,0.4505,0.4864
0.4186,0.4531,0.4862
0.4279,0.4531,0.4859
0.4279,0.4609,0.4857
0.4302,0.4609,0.4856
0.4302,0.4688,0.4855
0.4326,0.4688,0.4855
0.4326,0.474,0.4854
0.4419,0.474,0.485
0.4419,0.4792,0.485
0.4488,0.4792,0.4848
0.4488,0.4818,0.4848
0.4558,0.4818,0.4842
0.4558,0.487,0.4842
0.4581,0.487,0.484
0.4581,0.4948,0.4836
0.4674,0.4948,0.4835
0.4674,0.5,0.4833
0.4698,0.5,0.4833
0.4698,0.5052,0.4831
0.4721,0.5052,0.4831
0.4721,0.5182,0.4829
0.4744,0.5182,0.4828
0.4744,0.5208,0.4827
0.4767,0.5208,0.4827
0.4767,0.5312,0.4825
0.4791,0.5312,0.4825
0.4791,0.5339,0.4824
0.4837,0.5339,0.4823
0.4837,0.5391,0.4821
0.4884,0.5391,0.4821
0.4884,0.5495,0.4818
0.4907,0.5495,0.4818
0.4907,0.5521,0.4818
0.5,0.5521,0.4814
0.5,0.5651,0.4812
0.5023,0.5651,0.4811
0.5023,0.5677,0.481
0.5093,0.5677,0.4809
