feature,gain,gain_pct
away_fb_velo,1326.6210227012634,6.77
park_factor,1153.8623690605164,5.89
home_bat_k_rate,1114.603138923645,5.69
home_L10_ra,1064.6268528699875,5.43
away_xwoba_against,921.1558556556702,4.7
away_bb_rate,902.0827531814575,4.6
temp_f,817.7776401042938,4.17
away_bat_iso,760.816556096077,3.88
home_bat_woba,742.1698722839355,3.79
wind_out_factor,733.1975402832031,3.74
away_bat_woba,701.3969202041626,3.58
home_k_rate,694.0225489139557,3.54
away_bat_k_rate,689.8458435535431,3.52
home_bb_rate,675.0160118341446,3.45
home_hr_rate,667.823881149292,3.41
wind_mph,567.1910796165466,2.89
away_L10_rs,564.7382616996765,2.88
home_days_rest,554.8158707618713,2.83
home_bat_iso,532.4494698047638,2.72
home_hard_hit_pct,478.57283067703247,2.44
home_fb_velo,465.95711970329285,2.38
home_bat_hard_hit_pct,416.2763396501541,2.12
away_bat_hard_hit_pct,414.61285066604614,2.12
away_fip,398.41196966171265,2.03
away_k_rate,386.8380398750305,1.97
home_fip,358.9715611934662,1.83
home_L10_rs,331.6902289390564,1.69
away_hard_hit_pct,304.2877688407898,1.55
away_hr_rate,296.7142701148987,1.51
home_xwoba_against,234.75737118721008,1.2
away_L10_ra,216.619140625,1.11
is_coors,48.36353015899658,0.25
away_days_rest,47.571540117263794,0.24
is_dome,9.141839981079102,0.05
