date,game_id,home_team,away_team,model_probability,odds,ev_percentage,confidence
2024-03-11 00:00:00,4900,NOP,IND,0.988,1.95,92.6,0.99
2024-03-11 00:00:00,4901,CHI,BOS,0.988,1.95,92.6,0.99
2024-03-11 00:00:00,4902,DET,BRK,0.992,1.95,93.5,0.99
2024-03-11 00:00:00,4903,DET,ORL,0.963,1.95,87.9,0.96
2024-03-11 00:00:00,4906,MIN,MEM,0.991,1.95,93.2,0.99
2024-03-11 00:00:00,4907,MEM,LAL,0.979,1.95,90.9,0.98
2024-03-11 00:00:00,4908,ORL,DAL,0.977,1.95,90.6,0.98
2024-03-11 00:00:00,4909,LAC,UTA,0.991,1.95,93.2,0.99
2024-03-12 00:00:00,4910,SAS,TOR,0.99,1.95,93.0,0.99
2024-03-12 00:00:00,4911,OKC,DAL,0.989,1.95,92.9,0.99
2024-03-12 00:00:00,4912,CHI,BOS,0.99,1.95,93.0,0.99
2024-03-12 00:00:00,4913,IND,DEN,0.989,1.95,92.9,0.99
2024-03-12 00:00:00,4914,LAC,MIL,0.988,1.95,92.6,0.99
2024-03-12 00:00:00,4915,BOS,MIL,0.991,1.95,93.2,0.99
2024-03-12 00:00:00,4917,DAL,LAC,0.893,1.95,74.1,0.89
2024-03-12 00:00:00,4919,PHX,SAC,0.988,1.95,92.6,0.99
2024-03-13 00:00:00,4920,ORL,HOU,0.988,1.95,92.6,0.99
2024-03-13 00:00:00,4923,ORL,TOR,0.649,1.95,26.5,0.65
2024-03-13 00:00:00,4924,ATL,CLE,0.935,1.95,82.3,0.93
2024-03-13 00:00:00,4928,IND,ORL,0.977,1.95,90.4,0.98
2024-03-14 00:00:00,4932,SAS,NOP,0.986,1.95,92.3,0.99
2024-03-14 00:00:00,4933,SAS,MIN,0.937,1.95,82.8,0.94
2024-03-14 00:00:00,4934,GSW,PHX,0.929,1.95,81.1,0.93
2024-03-14 00:00:00,4936,NOP,BOS,0.766,1.95,49.4,0.77
2024-03-14 00:00:00,4938,CHI,BOS,0.739,1.95,44.1,0.74
2024-03-14 00:00:00,4939,POR,BRK,0.957,1.95,86.6,0.96
2024-03-15 00:00:00,4940,NYK,CLE,0.552,1.95,7.7,0.55
2024-03-15 00:00:00,4941,CLE,DEN,0.979,1.95,91.0,0.98
2024-03-15 00:00:00,4942,LAL,MIL,0.803,1.95,56.5,0.8
2024-03-15 00:00:00,4943,CLE,MIL,0.967,1.95,88.6,0.97
2024-03-15 00:00:00,4944,CLE,WAS,0.959,1.95,87.0,0.96
2024-03-15 00:00:00,4949,CHA,TOR,0.915,1.95,78.5,0.92
2024-03-16 00:00:00,4950,UTA,DET,0.986,1.95,92.3,0.99
2024-03-16 00:00:00,4951,HOU,NOP,0.976,1.95,90.4,0.98
2024-03-16 00:00:00,4952,CHI,BOS,0.885,1.95,72.6,0.89
2024-03-16 00:00:00,4953,CLE,PHX,0.932,1.95,81.8,0.93
2024-03-16 00:00:00,4954,OKC,SAC,0.983,1.95,91.7,0.98
2024-03-16 00:00:00,4955,HOU,MIN,0.936,1.95,82.5,0.94
2024-03-16 00:00:00,4956,DEN,LAL,0.91,1.95,77.4,0.91
2024-03-16 00:00:00,4959,LAC,ORL,0.983,1.95,91.7,0.98
2024-03-17 00:00:00,4961,MIN,DAL,0.961,1.95,87.3,0.96
2024-03-17 00:00:00,4962,SAC,ATL,0.988,1.95,92.6,0.99
2024-03-17 00:00:00,4963,NYK,BRK,0.965,1.95,88.3,0.97
2024-03-17 00:00:00,4965,SAS,BOS,0.615,1.95,19.9,0.62
2024-03-17 00:00:00,4968,PHX,NOP,0.71,1.95,38.5,0.71
2024-03-18 00:00:00,4974,PHX,LAC,0.72,1.95,40.4,0.72
2024-03-18 00:00:00,4975,MIL,MIN,0.585,1.95,14.0,0.58
2024-03-18 00:00:00,4976,LAC,SAC,0.896,1.95,74.7,0.9
2024-03-19 00:00:00,4980,HOU,IND,0.964,1.95,88.0,0.96
2024-03-19 00:00:00,4981,DET,PHX,0.917,1.95,78.7,0.92
2024-03-19 00:00:00,4982,HOU,DET,0.674,1.95,31.4,0.67
2024-03-19 00:00:00,4986,OKC,CLE,0.935,1.95,82.4,0.94
2024-03-19 00:00:00,4987,ATL,BRK,0.78,1.95,52.2,0.78
2024-03-19 00:00:00,4988,LAC,MIN,0.974,1.95,90.0,0.97
2024-03-20 00:00:00,4992,OKC,LAC,0.868,1.95,69.2,0.87
2024-03-20 00:00:00,4995,DAL,CLE,0.834,1.95,62.6,0.83
2024-03-20 00:00:00,4997,OKC,MIN,0.959,1.95,87.0,0.96
2024-03-20 00:00:00,4998,CLE,SAC,0.83,1.95,61.8,0.83
2024-03-21 00:00:00,5000,WAS,HOU,0.991,1.95,93.2,0.99
2024-03-21 00:00:00,5003,CHI,BRK,0.912,1.95,77.8,0.91
2024-03-21 00:00:00,5004,BOS,WAS,0.86,1.95,67.8,0.86
2024-03-21 00:00:00,5005,OKC,WAS,0.92,1.95,79.4,0.92
2024-03-21 00:00:00,5006,OKC,BRK,0.757,1.95,47.6,0.76
2024-03-21 00:00:00,5007,PHI,DEN,0.667,1.95,30.1,0.67
2024-03-22 00:00:00,5011,NYK,SAS,0.794,1.95,54.8,0.79
2024-03-22 00:00:00,5012,PHX,BOS,0.598,1.95,16.7,0.6
2024-03-22 00:00:00,5014,DAL,MIL,0.991,1.95,93.3,0.99
2024-03-22 00:00:00,5016,CHA,DAL,0.823,1.95,60.5,0.82
