date,game_id,home_team,away_team,model_probability,odds,ev_percentage,confidence
2026-09-14 00:00:00,2550,KC,OAK,0.993,1.9,88.7,0.99
2026-09-14 00:00:00,2552,NYY,ATL,0.986,1.9,87.4,0.99
2026-09-14 00:00:00,2554,ATL,CIN,0.984,1.9,86.9,0.98
2026-09-14 00:00:00,2556,TB,HOU,0.979,1.9,86.1,0.98
2026-09-14 00:00:00,2557,LAD,WSH,0.977,1.9,85.6,0.98
2026-09-14 00:00:00,2561,MIA,OAK,0.996,1.9,89.3,1.0
2026-09-14 00:00:00,2564,ARZ,BAL,0.989,1.9,87.9,0.99
2026-09-15 00:00:00,2565,PIT,PHI,0.989,1.9,87.9,0.99
2026-09-15 00:00:00,2566,STL,SF,0.971,1.9,84.5,0.97
2026-09-15 00:00:00,2567,DET,PHI,0.965,1.9,83.3,0.96
2026-09-15 00:00:00,2568,NYM,WSH,0.989,1.9,87.9,0.99
2026-09-15 00:00:00,2571,KC,CHC,0.994,1.9,88.9,0.99
2026-09-15 00:00:00,2572,MIL,MIN,0.985,1.9,87.1,0.98
2026-09-15 00:00:00,2573,SEA,LAD,0.993,1.9,88.7,0.99
2026-09-15 00:00:00,2577,CWS,LAA,0.989,1.9,87.9,0.99
2026-09-15 00:00:00,2578,BOS,CLE,0.561,1.9,6.5,0.56
2026-09-16 00:00:00,2582,BOS,OAK,0.985,1.9,87.2,0.99
2026-09-16 00:00:00,2583,STL,OAK,0.815,1.9,54.8,0.81
2026-09-16 00:00:00,2585,BOS,SD,0.939,1.9,78.4,0.94
2026-09-16 00:00:00,2586,LAD,SEA,0.981,1.9,86.4,0.98
2026-09-16 00:00:00,2589,BAL,MIN,0.991,1.9,88.3,0.99
2026-09-16 00:00:00,2592,PIT,COL,0.994,1.9,88.9,0.99
2026-09-16 00:00:00,2593,PIT,ATL,0.963,1.9,82.9,0.96
2026-09-16 00:00:00,2594,NYM,BAL,0.619,1.9,17.7,0.62
2026-09-17 00:00:00,2595,KC,LAD,0.795,1.9,51.0,0.79
2026-09-17 00:00:00,2596,LAA,LAD,0.615,1.9,16.9,0.62
2026-09-17 00:00:00,2597,TOR,NYM,0.692,1.9,31.5,0.69
2026-09-17 00:00:00,2598,CWS,CLE,0.828,1.9,57.3,0.83
2026-09-17 00:00:00,2599,PIT,LAA,0.995,1.9,89.0,0.99
2026-09-17 00:00:00,2603,ARZ,CWS,0.754,1.9,43.3,0.75
2026-09-17 00:00:00,2604,STL,LAD,0.926,1.9,75.9,0.93
2026-09-17 00:00:00,2606,CLE,LAA,0.948,1.9,80.1,0.95
2026-09-17 00:00:00,2607,CLE,TOR,0.954,1.9,81.2,0.95
2026-09-18 00:00:00,2613,WSH,PHI,0.688,1.9,30.7,0.69
2026-09-18 00:00:00,2616,BOS,TOR,0.981,1.9,86.4,0.98
2026-09-18 00:00:00,2617,NYY,WSH,0.994,1.9,89.0,0.99
2026-09-18 00:00:00,2618,HOU,NYM,0.838,1.9,59.2,0.84
