date,matchup,home_team,away_team,market,pick,model_prob,odds,ev_percentage,confidence
2026-09-14 00:00:00,OAK @ KC,KC,OAK,MONEYLINE,HOME,0.976,1.9,85.5,0.98
2026-09-14 00:00:00,ATL @ NYY,NYY,ATL,MONEYLINE,HOME,0.986,1.9,87.3,0.99
2026-09-14 00:00:00,CIN @ ATL,ATL,CIN,MONEYLINE,HOME,0.985,1.9,87.2,0.99
2026-09-14 00:00:00,HOU @ TB,TB,HOU,MONEYLINE,HOME,0.99,1.9,88.2,0.99
2026-09-14 00:00:00,WSH @ LAD,LAD,WSH,MONEYLINE,HOME,0.964,1.9,83.2,0.96
2026-09-14 00:00:00,OAK @ MIA,MIA,OAK,MONEYLINE,HOME,0.993,1.9,88.6,0.99
2026-09-14 00:00:00,BAL @ ARZ,ARZ,BAL,MONEYLINE,HOME,0.985,1.9,87.2,0.99
2026-09-15 00:00:00,PHI @ PIT,PIT,PHI,MONEYLINE,HOME,0.958,1.9,82.0,0.96
2026-09-15 00:00:00,SF @ STL,STL,SF,MONEYLINE,HOME,0.961,1.9,82.6,0.96
2026-09-15 00:00:00,PHI @ DET,DET,PHI,MONEYLINE,HOME,0.947,1.9,80.0,0.95
2026-09-15 00:00:00,WSH @ NYM,NYM,WSH,MONEYLINE,HOME,0.993,1.9,88.7,0.99
2026-09-15 00:00:00,CHC @ KC,KC,CHC,MONEYLINE,HOME,0.99,1.9,88.2,0.99
2026-09-15 00:00:00,MIN @ MIL,MIL,MIN,MONEYLINE,HOME,0.992,1.9,88.6,0.99
2026-09-15 00:00:00,LAD @ SEA,SEA,LAD,MONEYLINE,HOME,0.967,1.9,83.7,0.97
2026-09-15 00:00:00,LAA @ CWS,CWS,LAA,MONEYLINE,HOME,0.958,1.9,82.0,0.96
2026-09-16 00:00:00,OAK @ BOS,BOS,OAK,MONEYLINE,HOME,0.965,1.9,83.4,0.97
2026-09-16 00:00:00,OAK @ STL,STL,OAK,MONEYLINE,HOME,0.646,1.9,22.8,0.65
2026-09-16 00:00:00,SD @ BOS,BOS,SD,MONEYLINE,HOME,0.925,1.9,75.7,0.92
2026-09-16 00:00:00,SEA @ LAD,LAD,SEA,MONEYLINE,HOME,0.934,1.9,77.5,0.93
2026-09-16 00:00:00,MIN @ BAL,BAL,MIN,MONEYLINE,HOME,0.994,1.9,88.8,0.99
2026-09-16 00:00:00,COL @ PIT,PIT,COL,MONEYLINE,HOME,0.99,1.9,88.2,0.99
2026-09-16 00:00:00,ATL @ PIT,PIT,ATL,MONEYLINE,HOME,0.962,1.9,82.8,0.96
2026-09-17 00:00:00,LAD @ KC,KC,LAD,MONEYLINE,HOME,0.824,1.9,56.6,0.82
2026-09-17 00:00:00,LAD @ LAA,LAA,LAD,MONEYLINE,HOME,0.576,1.9,9.4,0.58
2026-09-17 00:00:00,NYM @ TOR,TOR,NYM,MONEYLINE,HOME,0.728,1.9,38.3,0.73
2026-09-17 00:00:00,CLE @ CWS,CWS,CLE,MONEYLINE,HOME,0.929,1.9,76.5,0.93
2026-09-17 00:00:00,LAA @ PIT,PIT,LAA,MONEYLINE,HOME,0.946,1.9,79.7,0.95
2026-09-17 00:00:00,OAK @ ARZ,ARZ,OAK,MONEYLINE,HOME,0.617,1.9,17.3,0.62
2026-09-17 00:00:00,CWS @ ARZ,ARZ,CWS,MONEYLINE,HOME,0.842,1.9,60.0,0.84
2026-09-17 00:00:00,LAD @ STL,STL,LAD,MONEYLINE,HOME,0.916,1.9,74.0,0.92
2026-09-17 00:00:00,LAA @ CLE,CLE,LAA,MONEYLINE,HOME,0.938,1.9,78.2,0.94
2026-09-17 00:00:00,TOR @ CLE,CLE,TOR,MONEYLINE,HOME,0.944,1.9,79.3,0.94
2026-09-18 00:00:00,PHI @ WSH,WSH,PHI,MONEYLINE,HOME,0.671,1.9,27.5,0.67
2026-09-18 00:00:00,TOR @ BOS,BOS,TOR,MONEYLINE,HOME,0.9,1.9,71.0,0.9
2026-09-18 00:00:00,WSH @ NYY,NYY,WSH,MONEYLINE,HOME,0.994,1.9,88.8,0.99
2026-09-18 00:00:00,NYM @ HOU,HOU,NYM,MONEYLINE,HOME,0.858,1.9,63.1,0.86
2026-09-18 00:00:00,NYM @ ARZ,ARZ,NYM,MONEYLINE,HOME,0.64,1.9,21.6,0.64
2026-09-18 00:00:00,TOR @ SEA,SEA,TOR,MONEYLINE,HOME,0.727,1.9,38.0,0.73
