date,matchup,home_team,away_team,market,pick,model_prob,odds,ev_percentage,confidence
2026-09-14 00:00:00,OAK @ KC,KC,OAK,TOTALS,OVER 8.5,0.664,1.9,26.2,0.66
2026-09-14 00:00:00,BOS @ LAD,LAD,BOS,TOTALS,OVER 8.5,0.988,1.9,87.7,0.99
2026-09-14 00:00:00,ATL @ NYY,NYY,ATL,TOTALS,OVER 8.5,0.998,1.9,89.6,1.0
2026-09-14 00:00:00,SF @ MIN,MIN,SF,TOTALS,OVER 8.5,0.823,1.9,56.3,0.82
2026-09-14 00:00:00,CIN @ ATL,ATL,CIN,TOTALS,OVER 8.5,0.951,1.9,80.8,0.95
2026-09-14 00:00:00,CIN @ CHC,CHC,CIN,TOTALS,OVER 8.5,0.665,1.9,26.4,0.67
2026-09-14 00:00:00,HOU @ TB,TB,HOU,TOTALS,OVER 8.5,0.998,1.9,89.6,1.0
2026-09-14 00:00:00,WSH @ LAD,LAD,WSH,TOTALS,OVER 8.5,0.918,1.9,74.4,0.92
2026-09-14 00:00:00,STL @ BOS,BOS,STL,TOTALS,OVER 8.5,0.997,1.9,89.4,1.0
2026-09-14 00:00:00,CWS @ TB,TB,CWS,TOTALS,OVER 8.5,0.845,1.9,60.5,0.84
2026-09-14 00:00:00,TEX @ DET,DET,TEX,TOTALS,OVER 8.5,0.998,1.9,89.6,1.0
2026-09-14 00:00:00,OAK @ MIA,MIA,OAK,TOTALS,OVER 8.5,0.868,1.9,65.0,0.87
2026-09-14 00:00:00,NYM @ TB,TB,NYM,TOTALS,OVER 8.5,0.86,1.9,63.3,0.86
2026-09-14 00:00:00,CLE @ CIN,CIN,CLE,TOTALS,OVER 8.5,0.998,1.9,89.6,1.0
2026-09-14 00:00:00,BAL @ ARZ,ARZ,BAL,TOTALS,OVER 8.5,0.966,1.9,83.5,0.97
2026-09-15 00:00:00,SF @ STL,STL,SF,TOTALS,OVER 8.5,0.993,1.9,88.6,0.99
2026-09-15 00:00:00,PHI @ DET,DET,PHI,TOTALS,OVER 8.5,0.998,1.9,89.6,1.0
2026-09-15 00:00:00,WSH @ NYM,NYM,WSH,TOTALS,OVER 8.5,0.963,1.9,83.0,0.96
2026-09-15 00:00:00,DET @ SD,SD,DET,TOTALS,OVER 8.5,0.995,1.9,89.1,1.0
2026-09-15 00:00:00,PIT @ LAA,LAA,PIT,TOTALS,OVER 8.5,0.946,1.9,79.8,0.95
2026-09-15 00:00:00,CHC @ KC,KC,CHC,TOTALS,OVER 8.5,0.881,1.9,67.3,0.88
2026-09-15 00:00:00,MIN @ MIL,MIL,MIN,TOTALS,OVER 8.5,0.981,1.9,86.4,0.98
2026-09-15 00:00:00,LAD @ SEA,SEA,LAD,TOTALS,OVER 8.5,0.702,1.9,33.4,0.7
2026-09-15 00:00:00,ATL @ OAK,OAK,ATL,TOTALS,OVER 8.5,0.997,1.9,89.3,1.0
2026-09-15 00:00:00,MIA @ SD,SD,MIA,TOTALS,OVER 8.5,0.974,1.9,85.0,0.97
2026-09-15 00:00:00,CLE @ BOS,BOS,CLE,TOTALS,OVER 8.5,0.789,1.9,50.0,0.79
2026-09-15 00:00:00,MIA @ MIN,MIN,MIA,TOTALS,OVER 8.5,0.909,1.9,72.6,0.91
2026-09-16 00:00:00,PIT @ HOU,HOU,PIT,TOTALS,OVER 8.5,0.904,1.9,71.8,0.9
2026-09-16 00:00:00,OAK @ BOS,BOS,OAK,TOTALS,OVER 8.5,0.987,1.9,87.5,0.99
2026-09-16 00:00:00,OAK @ STL,STL,OAK,TOTALS,OVER 8.5,0.996,1.9,89.2,1.0
2026-09-16 00:00:00,HOU @ WSH,WSH,HOU,TOTALS,OVER 8.5,0.995,1.9,89.0,0.99
2026-09-16 00:00:00,SD @ BOS,BOS,SD,TOTALS,OVER 8.5,0.817,1.9,55.3,0.82
2026-09-16 00:00:00,SEA @ LAD,LAD,SEA,TOTALS,OVER 8.5,0.835,1.9,58.6,0.83
2026-09-16 00:00:00,SEA @ LAD,LAD,SEA,TOTALS,OVER 8.5,0.646,1.9,22.8,0.65
2026-09-16 00:00:00,MIA @ TOR,TOR,MIA,TOTALS,OVER 8.5,0.993,1.9,88.7,0.99
2026-09-16 00:00:00,MIN @ BAL,BAL,MIN,TOTALS,OVER 8.5,0.993,1.9,88.6,0.99
2026-09-16 00:00:00,LAD @ LAA,LAA,LAD,TOTALS,OVER 8.5,0.994,1.9,88.8,0.99
2026-09-16 00:00:00,KC @ SF,SF,KC,TOTALS,OVER 8.5,0.997,1.9,89.4,1.0
2026-09-16 00:00:00,COL @ PIT,PIT,COL,TOTALS,OVER 8.5,0.881,1.9,67.3,0.88
2026-09-16 00:00:00,ATL @ PIT,PIT,ATL,TOTALS,OVER 8.5,0.907,1.9,72.4,0.91
2026-09-16 00:00:00,BAL @ NYM,NYM,BAL,TOTALS,OVER 8.5,0.677,1.9,28.7,0.68
2026-09-17 00:00:00,LAD @ KC,KC,LAD,TOTALS,OVER 8.5,0.817,1.9,55.2,0.82
2026-09-17 00:00:00,LAD @ LAA,LAA,LAD,TOTALS,OVER 8.5,0.941,1.9,78.8,0.94
2026-09-17 00:00:00,NYM @ TOR,TOR,NYM,TOTALS,OVER 8.5,0.93,1.9,76.7,0.93
2026-09-17 00:00:00,LAA @ PIT,PIT,LAA,TOTALS,OVER 8.5,0.707,1.9,34.4,0.71
2026-09-17 00:00:00,CHC @ CLE,CLE,CHC,TOTALS,OVER 8.5,0.995,1.9,89.0,0.99
2026-09-17 00:00:00,OAK @ ARZ,ARZ,OAK,TOTALS,OVER 8.5,0.905,1.9,72.0,0.91
2026-09-17 00:00:00,CWS @ ARZ,ARZ,CWS,TOTALS,OVER 8.5,0.947,1.9,79.9,0.95
2026-09-17 00:00:00,LAD @ STL,STL,LAD,TOTALS,OVER 8.5,0.996,1.9,89.3,1.0
2026-09-17 00:00:00,PHI @ TEX,TEX,PHI,TOTALS,OVER 8.5,0.905,1.9,72.0,0.91
2026-09-17 00:00:00,LAA @ CLE,CLE,LAA,TOTALS,OVER 8.5,0.958,1.9,82.1,0.96
2026-09-17 00:00:00,TOR @ CLE,CLE,TOR,TOTALS,OVER 8.5,0.91,1.9,72.8,0.91
2026-09-17 00:00:00,STL @ MIL,MIL,STL,TOTALS,OVER 8.5,0.955,1.9,81.5,0.96
2026-09-18 00:00:00,PIT @ CHC,CHC,PIT,TOTALS,OVER 8.5,0.969,1.9,84.0,0.97
2026-09-18 00:00:00,DET @ BOS,BOS,DET,TOTALS,OVER 8.5,0.909,1.9,72.7,0.91
2026-09-18 00:00:00,PHI @ NYM,NYM,PHI,TOTALS,OVER 8.5,0.829,1.9,57.6,0.83
2026-09-18 00:00:00,PHI @ WSH,WSH,PHI,TOTALS,OVER 8.5,0.996,1.9,89.3,1.0
2026-09-18 00:00:00,TEX @ NYM,NYM,TEX,TOTALS,OVER 8.5,0.737,1.9,40.1,0.74
2026-09-18 00:00:00,ATL @ DET,DET,ATL,TOTALS,OVER 8.5,0.987,1.9,87.6,0.99
2026-09-18 00:00:00,TOR @ BOS,BOS,TOR,TOTALS,OVER 8.5,0.889,1.9,68.9,0.89
2026-09-18 00:00:00,WSH @ NYY,NYY,WSH,TOTALS,OVER 8.5,0.911,1.9,73.1,0.91
2026-09-18 00:00:00,NYM @ HOU,HOU,NYM,TOTALS,OVER 8.5,0.953,1.9,81.2,0.95
2026-09-18 00:00:00,MIA @ CLE,CLE,MIA,TOTALS,OVER 8.5,0.929,1.9,76.6,0.93
2026-09-18 00:00:00,NYM @ ARZ,ARZ,NYM,TOTALS,OVER 8.5,0.996,1.9,89.3,1.0
2026-09-18 00:00:00,DET @ TOR,TOR,DET,TOTALS,OVER 8.5,0.994,1.9,88.9,0.99
